department_en;org_id;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;volume_meeting_target;total_volume;performance;issue;description_en;action_en;description_fr;action_fr
Canada Revenue Agency;46;2023-2024;3710;Deferred Income and savings plans specimens reviews;Régimes de revenu différé et d’épargne (spécimens);STAN00006273;Our goal is to respond to a written enquiry within 60 calendar days of receiving your enquiry and any required supporting documents.;Notre objectif est de répondre à une demande de renseignements écrite dans un délai de 60 jours civils suivant la réception de votre demande et des pièces justificatives requises.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Food Inspection Agency;65;2023-2024;2;Import Live Animal, Hatching Eggs and Germplasm (Semen and Embryos);Importation d'animaux vivants, d'oeufs d'incubation et de germoplasme d'animaux;3716;Import Live Animals;Importation des animaux;3177;3068;1.0355;qa_performance_over_100;The volume of interactions meeting the target exceeds the total volume, indicating a service standard performance over 100%.;Correct the volumes listed for 'total_volume' and 'volume_meeting_target';Le volume d'intéractions qui ont atteint la cible dépasse le volume total d'intéractions, ce qui indique un rendement de la norme de service supérieur à 100%.;Corriger les montants inscrits pour le volume total (total_volume) et le volume qui a atteint la cible (volume_meeting_target)
Canadian Grain Commission;69;2023-2024;1991;Harvest Sample Crop Quality Results (Unofficial Results);Programme d'échantillons de récolte (résultats non officiels);2497;Results are available within 20 business days from when the Canadian Grain Commission receives your samples.;Les résultats sont offerts dans les 20 jours ouvrables suivant la réception des échantillons par la Commission canadienne des grains.;9903;9873;1.003;qa_performance_over_100;The volume of interactions meeting the target exceeds the total volume, indicating a service standard performance over 100%.;Correct the volumes listed for 'total_volume' and 'volume_meeting_target';Le volume d'intéractions qui ont atteint la cible dépasse le volume total d'intéractions, ce qui indique un rendement de la norme de service supérieur à 100%.;Corriger les montants inscrits pour le volume total (total_volume) et le volume qui a atteint la cible (volume_meeting_target)
Canadian Radio-television and Telecommunications Commission;93;2023-2024;1887;Client Services;Services à la clientèle;2190;"Telephone, TTY and chats: Mon to Fri, 8:30 a.m. to noon and 1:00 p.m. to 4:30 p.m. ET; Social media: Mon to Fri, 8:30 a.m. to noon and 1:00 p.m. to 4:30 p.m. ET; Online Support Centre available 24/7; Inquiries via email and webform within 10 business days; Voicemails: callbacks within 48 hours";"Téléphone, téléscripteur et clavardage : lun au ven, 8h30 à midi et de 13h00 à 16h30 HE; Médias sociaux,  lun au ven, 8h30 à midi et de 13h00 à 16h30 HE; Centre de soutien en ligne en tout temps; Courriel et formulaire en ligne délai de 10 jours ouvrables;  Messages vocaux : délai de 48 heures";0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Space Agency;95;2023-2024;1671;Canadian Space Agency Class Grants and Contributions Program;Programme global des subventions et contributions de l'Agence spatiale canadienne;STAN00005280;The applicant will receive an acknowledgement of receipt within a maximum of 2 weeks following receipt of the application.;Le demandeur va recevoir un accusé réception dans un maximum de 2 semaines suivant la réception de sa demande.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Space Agency;95;2023-2024;1671;Canadian Space Agency Class Grants and Contributions Program;Programme global des subventions et contributions de l'Agence spatiale canadienne;STAN00005281;The applicant will receive a selection decision in a maximum of 26 to 46 weeks (Research component), a maximum of 18 weeks (Awareness and Education component).;Le demandeur va recevoir une décision de sélection dans un maximum de 26 à 46 semaines (volet Recherche), maximum de 18 semaines (volet sensibilisation et éducation);0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Space Agency;95;2023-2024;1671;Canadian Space Agency Class Grants and Contributions Program;Programme global des subventions et contributions de l'Agence spatiale canadienne;STAN00005283;The applicant will receive the issuance of payment within 4 weeks for a grant and 6 weeks for a contribution;Le demandeur va recevoir l'émission du paiement dans les 4 semaines pour une subvention et dans 6 semaines pour une contribution;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Space Agency;95;2023-2024;3638;Stratospheric Balloon Flight Opportunities (STRATOS);Opportunités de vols de ballons stratosphériques (STRATOS);8620;An answer is provided within 14 business following the request.;Une réponse est fournie dans les 14 jours ouvrables suivant la demande;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Space Agency;95;2023-2024;SRV02873;Transfer and diffusion of space technology;Diffusion et transfert de technologies spatiales;STAN00005264;10 working days, acknowledgment of receipt following receipt of the customer's email;10 jours ouvrables, accusé de réception suivant la réception du courriel du client.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Space Agency;95;2023-2024;SRV03429;Core geospatial observation sites in remote locations of Canada (GO Canada);Sites de base d'observation géospatiale en régions éloignées du Canada (GO Canada);8729;No service standard established.;Aucune norme de service établie;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Space Agency;95;2023-2024;SRV03434;Ground support for space science (THEMIS);Soutien au sol des sciences spatiales (THEMIS);8727;No service standard established.;Aucune norme de service établie;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canadian Transportation Agency;99;2023-2024;165;Dispute Resolution;Règlement des Différends;139;Percentage of air consumer protection disputes resolved within service standards;Pourcentage de différends relatifs à la protection des consommateurs dans le domaine du transport aérien qui ont été réglés en conformité avec les normes de services établies;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Communications Security Establishment Canada;110;2023-2024;3181;Cyber Defence Services;Services de cyberdéfense;5913;Remain accessible to provide custom advice and guidance to federal institutions. CCID is accessible to respond to requests from 8 am - 4 pm (Eastern Standard Time) on all working days.;Demeurer accessible pour fournir des conseils et des recommandations en matière de cyberdéfense. Le CCID est accessible pour répondre aux demandes tous les jours ouvrables de 8 h à 16 h (heure normale de l’Est).;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Communications Security Establishment Canada;110;2023-2024;3413;Access to Information and Priavacy - Privacy Act;Accès à l’information et protection des renseignements personnels - Loi sur la protection des renseignements personnels;5909;Timeframe for responding to a Privacy Act request is 30 days. The Act allows for legal extensions to this first 30 calendar-day response;Le délai pour répondre à une demande en vertu de la Loi sur la protection des renseignements personnels est de 30 jours. La Loi autorise des prolongations légales de ce premier délai de réponse de 30 jours civils.;52;33;1.5758;qa_performance_over_100;The volume of interactions meeting the target exceeds the total volume, indicating a service standard performance over 100%.;Correct the volumes listed for 'total_volume' and 'volume_meeting_target';Le volume d'intéractions qui ont atteint la cible dépasse le volume total d'intéractions, ce qui indique un rendement de la norme de service supérieur à 100%.;Corriger les montants inscrits pour le volume total (total_volume) et le volume qui a atteint la cible (volume_meeting_target)
Communications Security Establishment Canada;110;2023-2024;3414;Access to Information and Privacy - Access to Information;Accès à l’information et protection des renseignements personnels - Loi sur l'accès à l'information;5910;Timeframe for responding to an Access to Information Act request is 30 days. The Act allows for legal extensions to this first 30 calendar-day response.;Le délai pour répondre à une demande en vertu de la Loi sur l’accès à l’information est de 30 jours. La Loi autorise des prolongations légales de ce premier délai de réponse de 30 jours civils.;30;21;1.4286;qa_performance_over_100;The volume of interactions meeting the target exceeds the total volume, indicating a service standard performance over 100%.;Correct the volumes listed for 'total_volume' and 'volume_meeting_target';Le volume d'intéractions qui ont atteint la cible dépasse le volume total d'intéractions, ce qui indique un rendement de la norme de service supérieur à 100%.;Corriger les montants inscrits pour le volume total (total_volume) et le volume qui a atteint la cible (volume_meeting_target)
Copyright Board Canada;114;2023-2024;1119;Copyright Tariff Setting;Établissement de tarifs liés au droit d’auteur;3961;Percentage of tariff decisions published within 12 months;Pourcentage de décisions relatives aux tarifs publiées dans un délai d’au plus 12 mois;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Copyright Board Canada;114;2023-2024;1120;Issuance of licences for the use of copyright works when the owner is unlocatable;Délivrance de licences pour les oeuvres protégées par un droit d'auteur lorsque le titulaire est introuvable;1073;Licences are issued within 45 days once the file is considered complete;Les licences sont délivrées dans un délai de 45 jours une fois le dossier considéré complet;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Correctional Service Canada;117;2023-2024;155;CSC National Victim Services Program;Programme national de services aux victims du SCC;974;Notify registered victims of an offender’s conditional release 14 or more calendar days in advance.;Aviser les victimes inscrites de la libération conditionnelle d’un délinquant au moins 14 jours civils à l’avance.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Correctional Service Canada;117;2023-2024;155;CSC National Victim Services Program;Programme national de services aux victims du SCC;975;Notify registered victims of an offender’s conditional release 14 or more calendar days in advance.;Aviser les victimes inscrites de la libération conditionnelle d’un délinquant au moins 14 jours civils à l’avance.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Correctional Service Canada;117;2023-2024;155;CSC National Victim Services Program;Programme national de services aux victims du SCC;980;Notify registered victims of an offender’s transfer to a minimum-security facility 3 or more calendar days in advance.;Aviser les victimes inscrites du transfèrement d’un délinquant vers un établissement à sécurité minimale au moins trois jours civils à l’avance.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Correctional Service Canada;117;2023-2024;160;Information Services;Services d'information;STAN00005164;Number of media queries answered within timelines given by requestor(s).;Nombre de demandes de renseignements des médias auxquelles on a répondu dans les délais prescrits par le demandeur .;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1134;Aboriginal and Treaty Rights Information System (ATRIS) and Training on using the system.;Système d'information sur les droits ancestraux et issus de traités (SIDAIT) et formation sur l'utilisation du système.;STAN00005305;The ATRIS website is available to all Canadians. ATRIS training is available to all Canadians. They can choose to take the training in either English or in French.;Aucune norme de service existe actuellement. Le site web de SIDAIT est accessible à tous les Canadiens. La formation sur SIDAIT est disponible pour tous les Canadiens. Ils peuvent choisir de suivre la formation en anglais ou en français.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1135;Modern Treaty Management Environment (MTME);Environnement de gestion des traités modernes (EGTM);STAN00005277;Throughout 2023-24, users accessed the system to track, monitor, and report on Modern Treaty and Self-government agreements. By the end of the period, the system's information began transitioning to a new solution. Previous users can request support or provide updates via email, while internal staff maintain access during the transition. Service standards are currently changing due to this technological shift.;En 2023-24, les utilisateurs ont accédé au système pour suivre et faire des comptes rendy des traités modernes et des accords d'autonomie gouvernementale. À la fin de l'année, les données du système ont commencé à être transférées vers une nouvelle technologie. Les anciens utilisateurs peuvent demander de l'aide par e-mail, tandis que le personnel interne conserve l'accès pendant la transition. Les normes de service changent en raison de cette transition.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1138;Training & Education on Modern treaties & Self-Government Agreements;Formation et éducation sur les traités modernes et les ententes sur l’autonomie gouvernementale;1076;Training is available to all core federal public servants on the Canada School of Public Service Platform in the official language of their choice;La formation est disponible à tous les employés de la fonction publique fédérale centrale sur le site de l'école de la fonction publique dans la langue officielle de leur choix.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1163;Provide coal exploration licenses, location permits and leases;Délivrer des permis de recherche de gisement de houille, des permis et des concessions d'un emplacement;3886;Authorizations are dependent upon the Nunavut regulatory system which dictates timelines and as such when we are in a position to approve the issuance of an authorization;Les autorisations dépendent du système de réglementation du Nunavut qui dicte les délais et, par conséquent, lorsque nous sommes en mesure d'approuver la délivrance d'une autorisation;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2122;Northern Contaminants Program;Programme de lutte contre les contaminants dans le Nord;3881;To make payments under all funding agreements in accordance with the payment schedule and the agreement terms and conditions;Effectuer les paiements prévus dans toutes les ententes de financement conformément au calendrier de paiement et aux modalités des ententes;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2126;Support in accordance with the Addition of Lands to Reserve and Reserve Creation Act, the First Nations Fiscal Management Act and the Framework Agreement on First Nation Land Management Act and the related institutions;Appui portant sur la Loi sur l’ajout de terres aux réserves et la création de réserves, la Loi sur la gestion financière des premières nations et la Loi sur l’Accord-cadre relatif à la gestion des terres de premières nations.;3876;Scheduling of First Nations to the FNFMA;Ajout des Premières Nations à la LGFPN;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2128;Ministerial Correspondence;Correspondence ministérielle;3894;Urgent correspondence: 6 business days, SVIP correspondence: 20 business days, VIP correspondence: 25 business days, and general public correspondence: 30 business days;Correspondance urgente : 6 jours ouvrables, correspondance SVIP : 20 jours ouvrables, correspondance VIP : 25 jours ouvrables, et correspondance du grand public : 30 jours ouvrables;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2477;Support in accordance with the First Nations Fiscal Management Act, and its institutions;Support en lien avec la Loi sur la gestion financière des Premières Nations et ses institutions.;3878;Scheduling of First Nations;Ajout des Premières Nations;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2515;Northern Contaminated Sites Program;Programme des sites contaminés du Nord;3893;Northern lands, water and natural resources are sustainably managed. The Program manages contaminated sites in a cost-effective and consistent manner by reducing or eliminating, where possible, risks to human & environmental health, and decreasing the federal environmental liability associated with contaminated sites in the North, including Yukon, Nunavut, and the Northwest Territories. On an annual basis the Program measures the percentage of high-priority sites that are being actively managed.;Les terres, eaux, et ressources naturelles dans le Nord sont gérées de façon durable. L'objectif du Programme est de gérer les sites contaminés de façon rentable et uniforme. Le programme vise à réduire ou à éliminer, si possible, les risques pour la santé humaine et l'environnement et à réduire le passif environnemental fédéral associé aux sites contaminés du Nord. Chaque année, le programme mesure le pourcentage de sites contaminés hautement prioritaires dans le Nord qui sont activement gérés.;100;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2515;Northern Contaminated Sites Program;Programme des sites contaminés du Nord;3893;Northern lands, water and natural resources are sustainably managed. The Program manages contaminated sites in a cost-effective and consistent manner by reducing or eliminating, where possible, risks to human & environmental health, and decreasing the federal environmental liability associated with contaminated sites in the North, including Yukon, Nunavut, and the Northwest Territories. On an annual basis the Program measures the percentage of high-priority sites that are being actively managed.;Les terres, eaux, et ressources naturelles dans le Nord sont gérées de façon durable. L'objectif du Programme est de gérer les sites contaminés de façon rentable et uniforme. Le programme vise à réduire ou à éliminer, si possible, les risques pour la santé humaine et l'environnement et à réduire le passif environnemental fédéral associé aux sites contaminés du Nord. Chaque année, le programme mesure le pourcentage de sites contaminés hautement prioritaires dans le Nord qui sont activement gérés.;100;0;;qa_performance_over_100;The volume of interactions meeting the target exceeds the total volume, indicating a service standard performance over 100%.;Correct the volumes listed for 'total_volume' and 'volume_meeting_target';Le volume d'intéractions qui ont atteint la cible dépasse le volume total d'intéractions, ce qui indique un rendement de la norme de service supérieur à 100%.;Corriger les montants inscrits pour le volume total (total_volume) et le volume qui a atteint la cible (volume_meeting_target)
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2564;Contribution and Loan Funding to support Indigenous Communities Programs;Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. s;3925;To send an acknowledgement of receipt of a proposal within 10 working days of receipt of a proposal.;Envoyer un accusé de réception d'une proposition dans les dix jours ouvrables suivant la réception de la proposition.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2564;Contribution and Loan Funding to support Indigenous Communities Programs;Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. S;STAN00005336;To make payments under all funding agreements in accordance with the payment schedule and the agreement terms and conditions;Effectuer les paiements prévus dans toutes les ententes de financement conformément au calendrier de paiement et aux modalités des ententes.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2564;Contribution and Loan Funding to support Indigenous Communities Programs;Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. S;STAN00005337;To send correspondence to each recipient required to submit Annual Audited Financial Statements, within 30 days of receipt, advising whether these financial statements include each document the Reporting Guide requires;Communiquer avec chaque demandeur devant présenter des états financiers annuels vérifiés, dans les trente jours suivant la réception des documents, afin de l'aviser si les états financiers fournis comprennent tous les documents exigés selon le Guide de présentation des rapports.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2565;Negotiations;Négociations;3926;Service standards established with clients on a table by table basis so all involved stakeholders in a given negotiation can have access to the negotiation table.;Normes de services établies avec les clients table par table afin que toutes les parties prenantes à une négociation donnée puissent avoir accès à la table de négociation.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Department of Indigenous Services;348;2023-2024;2047;Indian Registry;Registre indien;2693;Percentage of newly registered applicants processed within the established service standard.;Pourcentage de demandeurs nouvellement enregistrés traités selon la norme de service établie.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Department of Indigenous Services;348;2023-2024;2047;Indian Registry;Registre indien;2695;Percentage of newly registered applicants processed within the established service standard.;Pourcentage de demandeurs nouvellement enregistrés traités selon la norme de service établie.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
