"org_id","dept_id","pop_id","abbr_en","legal_title","applied_title","old_applied_title","description_en","min_port_en","min_1","min_2","min_3","inst_struct_en","start","end_fin","status","enabling_instr","FAA_LRC_inst","FAA_LRC_HR_RH","auditor","fed_rep_en","notes_en","website"
8,,,,"Asian Development Bank",,,"The Asian Development Bank (ADB) aims for an Asia and Pacific free from poverty. The ADB is an international development finance institution whose mission is to help its developing member countries reduce poverty and improve the quality of life of their people.","Global Affairs",,,,"International Organizations",1966,,"a","Articles of Agreement of the Asian Development Bank, 1965; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18",,,"Deloitte & Touche LLP","5.2% ownership",,"www.adb.org"
8,,,,"Asian Development Bank",,,"The Asian Development Bank (ADB) aims for an Asia and Pacific free from poverty. The ADB is an international development finance institution whose mission is to help its developing member countries reduce poverty and improve the quality of life of their people.","Global Affairs",,,,"International Organizations",1966,,"a","Articles of Agreement of the Asian Development Bank, 1965; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18",,,"Deloitte & Touche LLP","5.2% ownership",,"www.adb.org"
9,,,,"Asia-Pacific Foundation of Canada",,,"The Asia-Pacific Foundation of Canada is an independent, not-for-profit think tank on Canada’s relations with Asia. The Foundation functions as a knowledge broker, bringing together people and knowledge to provide the most current and comprehensive research, analysis, and information on Canada’s trans-Pacific relations. It promotes dialogue on economic, security, political, and social issues, helping to influence public policy and foster informed decision making in Canadian public, private, and non-governmental sectors.","Global Affairs",,,,"Shared-Governance Corporations",1984,,"a","Asia-Pacific Foundation of Canada Act, R.S.C. 1985, c. A-13",,,"Deloitte & Touche LLP","5/24 board members",,"www.asiapacific.ca"
9,,,,"Asia-Pacific Foundation of Canada",,,"The Asia-Pacific Foundation of Canada is an independent, not-for-profit think tank on Canada’s relations with Asia. The Foundation functions as a knowledge broker, bringing together people and knowledge to provide the most current and comprehensive research, analysis, and information on Canada’s trans-Pacific relations. It promotes dialogue on economic, security, political, and social issues, helping to influence public policy and foster informed decision making in Canadian public, private, and non-governmental sectors.","Global Affairs",,,,"Shared-Governance Corporations",1984,,"a","Asia-Pacific Foundation of Canada Act, R.S.C. 1985, c. A-13",,,"Deloitte & Touche LLP","5/24 board members",,"www.asiapacific.ca"
10,"AHRAC",,"AHRAC","Assisted Human Reproduction Agency of Canada",,,"To protect and promote the health, safety, dignity, and rights of Canadians and to foster the application of ethical principles in relation to assisted human reproduction and other matters to which the Assisted Human Reproduction Act applies.",,,,,"Departmental Corporations",2006,2012,"d","Assisted Human Reproduction Act, S.C. 2004, c. 2",,,,,"Bill C-38 (41/1), as passed by the House of Commons on June 29, 2012, dissolves the Agency by amending section 3 of the Assisted Human Reproduction Act to repeal the definition of Agency. P.C. decision 2012-1136 fixes September 30, 2012 as the day in which this amendment comes into force.",
11,,,,"Association of Canada Lands Surveyors",,,"To establish and maintain qualification standards and regulate Canada Lands Surveyors; to establish and maintain standards of conduct, knowledge, and skill among members of the Association and permit holders; to govern the activities of the members and permit holders; to cooperate with other organizations for the advancement of surveying; and to perform the duties and exercise the powers that are imposed or conferred on the Association by the Canada Lands Surveyors Act.","Natural Resources",,,,"Shared-Governance Corporations",1985,,"a","Canada Lands Surveyors Act, S.C. 1998, c. 14 Canada Lands Surveys Act, R.S.C. 1985, c. L-6",,,"Leslie, MacLeod","3/9 board members",,"www.acls-aatc.ca"
11,,,,"Association of Canada Lands Surveyors",,,"To establish and maintain qualification standards and regulate Canada Lands Surveyors; to establish and maintain standards of conduct, knowledge, and skill among members of the Association and permit holders; to govern the activities of the members and permit holders; to cooperate with other organizations for the advancement of surveying; and to perform the duties and exercise the powers that are imposed or conferred on the Association by the Canada Lands Surveyors Act.","Natural Resources",,,,"Shared-Governance Corporations",1985,,"a","Canada Lands Surveyors Act, S.C. 1998, c. 14 Canada Lands Surveys Act, R.S.C. 1985, c. L-6",,,"Leslie, MacLeod","3/9 board members",,"www.acls-aatc.ca"
12,"ACOA","ACO","ACOA","Atlantic Canada Opportunities Agency",,,"Established in 1987 (Part I of the Government Organization Act, Atlantic Canada 1987, R.S.C., 1985, c.41 (4th Supp.), also known as the Atlantic Canada Opportunities Agency Act), the Atlantic Canada Opportunities Agency (ACOA) is the federal department responsible for the Government of Canada’s economic development efforts in the provinces of New Brunswick, Prince Edward Island, Nova Scotia, and Newfoundland and Labrador. ACOA works to create opportunities for economic growth in Atlantic Canada by helping businesses become more competitive, innovative and  productive, by working with diverse communities to develop and diversify local economies, and by championing the strengths of Atlantic Canada. Together, with Atlantic Canadians, it is building a stronger economy. The Minister of Economic Development and Official Languages is responsible for this organization.","Innovation, Science and Economic Development",,,,"Departmental Agencies",1987,,"a","Atlantic Canada Opportunities Agency Act, R.S.C. 1985, c. 41 (4th Supp.)","I.1","IV",,,,"www.acoa-apeca.gc.ca"
12,"ACOA","ACO","ACOA","Atlantic Canada Opportunities Agency",,,"Established in 1987 (Part I of the Government Organization Act, Atlantic Canada 1987, R.S.C., 1985, c.41 (4th Supp.), also known as the Atlantic Canada Opportunities Agency Act), the Atlantic Canada Opportunities Agency (ACOA) is the federal department responsible for the Government of Canada’s economic development efforts in the provinces of New Brunswick, Prince Edward Island, Nova Scotia, and Newfoundland and Labrador. ACOA works to create opportunities for economic growth in Atlantic Canada by helping businesses become more competitive, innovative and  productive, by working with diverse communities to develop and diversify local economies, and by championing the strengths of Atlantic Canada. Together, with Atlantic Canadians, it is building a stronger economy. The Minister of Economic Development and Official Languages is responsible for this organization.","Innovation, Science and Economic Development",,,,"Departmental Agencies",1987,,"a","Atlantic Canada Opportunities Agency Act, R.S.C. 1985, c. 41 (4th Supp.)","I.1","IV",,,,"www.acoa-apeca.gc.ca"
13,,"PAA",,"Atlantic Pilotage Authority","Atlantic Pilotage Authority Canada",,"To establish, operate, maintain, and administer, in the interest of safety, an efficient pilotage service within the designated waters set out in respect of the Authority.","Transport",,,,"Crown Corporations",1972,,"a","Pilotage Act, R.S.C. 1985, c. P-14","III",,"Auditor General of Canada",,,"www.atlanticpilotage.com"
13,,"PAA",,"Atlantic Pilotage Authority","Atlantic Pilotage Authority Canada",,"To establish, operate, maintain, and administer, in the interest of safety, an efficient pilotage service within the designated waters set out in respect of the Authority.","Transport",,,,"Crown Corporations",1972,,"a","Pilotage Act, R.S.C. 1985, c. P-14","III",,"Auditor General of Canada",,,"www.atlanticpilotage.com"
14,"AECL","AEC","AECL","Atomic Energy of Canada Limited",,,"Atomic Energy of Canada Limited (AECL) is a federal Crown corporation responsible for enabling nuclear science and technology and managing Canada's radioactive waste and decommissioning responsibilities. It delivers its mandate through a long-term, contractual arrangement for the management and operation of Canadian Nuclear Laboratories (CNL) under a Government-owned, Contractor-operated (GoCo) model.","Natural Resources",,,,"Crown Corporations",1952,,"a","Canada Business Corporations Act (R.S.C. 1985, c. C-44)","III",,"Auditor General of Canada",,,"www.aecl.ca"
14,"AECL","AEC","AECL","Atomic Energy of Canada Limited",,,"Atomic Energy of Canada Limited (AECL) is a federal Crown corporation responsible for enabling nuclear science and technology and managing Canada's radioactive waste and decommissioning responsibilities. It delivers its mandate through a long-term, contractual arrangement for the management and operation of Canadian Nuclear Laboratories (CNL) under a Government-owned, Contractor-operated (GoCo) model.","Natural Resources",,,,"Crown Corporations",1952,,"a","Canada Business Corporations Act (R.S.C. 1985, c. C-44)","III",,"Auditor General of Canada",,,"www.aecl.ca"
15,,"BNK",,"Bank of Canada",,,"The mandate of the Bank is to regulate credit and currency in the best interests of the economic life of the nation, to control and protect the external value of the national monetary unit and to mitigate by its influence fluctuations in the general level of production, trade, prices and employment, so far as may be possible within the scope of monetary action, and generally to promote the economic and financial welfare of Canada. The Bank shall act as fiscal agent of the Government of Canada. The Bank has the sole right to issue notes.","Finance",,,,"Crown Corporations",1934,,"a","Bank of Canada Act, R.S.C. 1985, c. B-2",,,"Ernst & Young LLP and PricewaterhouseCoopers LLP",,,"www.bankofcanada.ca"
15,,"BNK",,"Bank of Canada",,,"The mandate of the Bank is to regulate credit and currency in the best interests of the economic life of the nation, to control and protect the external value of the national monetary unit and to mitigate by its influence fluctuations in the general level of production, trade, prices and employment, so far as may be possible within the scope of monetary action, and generally to promote the economic and financial welfare of Canada. The Bank shall act as fiscal agent of the Government of Canada. The Bank has the sole right to issue notes.","Finance",,,,"Crown Corporations",1934,,"a","Bank of Canada Act, R.S.C. 1985, c. B-2",,,"Ernst & Young LLP and PricewaterhouseCoopers LLP",,,"www.bankofcanada.ca"
16,,,,"Belledune Port Authority",,,"To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.","Transport",,,,"Shared-Governance Corporations",2000,,"a","Canada Marine Act, S.C. 1998, c. 10",,,"Grant Thornton LLP","5/7 board members",,"www.portofbelledune.ca"
16,,,,"Belledune Port Authority",,,"To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.","Transport",,,,"Shared-Governance Corporations",2000,,"a","Canada Marine Act, S.C. 1998, c. 10",,,"Grant Thornton LLP","5/7 board members",,"www.portofbelledune.ca"
17,,,,"Blue Water Bridge Authority",,,"To operate, maintain, and repair the Canadian halves of the two bridges spanning the St. Clair River between Point Edward (Sarnia), Ontario, and Port Huron, Michigan, and the approaches and structures.",,,,,"Crown Corporations",1964,2015,"d","Blue Water Bridge Authority Act, S.C. 1964-65, c. 6",,,,,,
18,,,,"Employment Insurance Boards of Referees",,,"To make decisions on all issues arising from an appeal lodged under subsection 114(1) of the Employment Insurance Act.",,,,,"Departmental Agencies",1940,2013,"t","Employment Insurance Act, S.C. 1996, c. 23",,,,,,
19,,,,"Buffalo and Fort Erie Public Bridge Authority",,,"To construct, maintain, and operate the Peace Bridge between Buffalo, New York, and Fort Erie, Ontario.","Transport",,,,"Shared-Governance Corporations",1923,,"a","Buffalo and Fort Erie Public Bridge Company Act, S.C. 1934, c. 63",,,"Lumsden & McCormick, LLP","5/10 board members",,"www.peacebridge.com"
19,,,,"Buffalo and Fort Erie Public Bridge Authority",,,"To construct, maintain, and operate the Peace Bridge between Buffalo, New York, and Fort Erie, Ontario.","Transport",,,,"Shared-Governance Corporations",1923,,"a","Buffalo and Fort Erie Public Bridge Company Act, S.C. 1934, c. 63",,,"Lumsden & McCormick, LLP","5/10 board members",,"www.peacebridge.com"
20,,"FBD",,"Business Development Bank of Canada","Business Development Bank of Canada",,"The purpose of the Bank is to support Canadian entrepreneurship by providing financial and management services and by issuing securities or otherwise raising funds or capital in support of those services. In carrying out its activities, the Bank must give a particular consideration to the needs of small and medium-sized enterprises.","Innovation, Science and Economic Development",,,,"Crown Corporations",1974,,"a","Business Development Bank of Canada Act, S.C. 1995, c. 28","III",,"Auditor General of Canada and Deloitte LLP",,,"www.bdc.ca"
20,,"FBD",,"Business Development Bank of Canada","Business Development Bank of Canada",,"The purpose of the Bank is to support Canadian entrepreneurship by providing financial and management services and by issuing securities or otherwise raising funds or capital in support of those services. In carrying out its activities, the Bank must give a particular consideration to the needs of small and medium-sized enterprises.","Innovation, Science and Economic Development",,,,"Crown Corporations",1974,,"a","Business Development Bank of Canada Act, S.C. 1995, c. 28","III",,"Auditor General of Canada and Deloitte LLP",,,"www.bdc.ca"
21,,,,"Calgary Airport Authority",,,"To manage, operate, and develop the airport.","Transport",,,,"Shared-Governance Corporations",1992,,"a","Regional Airports Authorities Act, R.S.A. 2000, c. R-9",,,"PricewaterhouseCoopers LLP","2/17 board members",,"www.yyc.com"
21,,,,"Calgary Airport Authority",,,"To manage, operate, and develop the airport.","Transport",,,,"Shared-Governance Corporations",1992,,"a","Regional Airports Authorities Act, R.S.A. 2000, c. R-9",,,"PricewaterhouseCoopers LLP","2/17 board members",,"www.yyc.com"
22,,,,"WinSport",,,"To provide opportunities for Canadians to discover, develop and excel at sport through world-class training, facilities and exceptional experiences.","Canadian Heritage",,,,"Shared-Governance Corporations",1979,,"a","Societies Act, R.S.A. 2000, c. S-14",,,"KPMG LLG","1/20 board members",,"www.winsport.ca"
22,,,,"WinSport",,,"To provide opportunities for Canadians to discover, develop and excel at sport through world-class training, facilities and exceptional experiences.","Canadian Heritage",,,,"Shared-Governance Corporations",1979,,"a","Societies Act, R.S.A. 2000, c. S-14",,,"KPMG LLG","1/20 board members",,"www.winsport.ca"
24,,,,"Canada Agricultural Review Tribunal",,,"The primary role of CART is to provide independent oversight, through the exercise of its review jurisdiction, of federal agencies' use of Administrative Monetary Penalties (AMP) under the Agriculture and Agri-Food Administrative Monetary Penalties Act. Alleged violators have the right to seek a review of any AMP violation before CART. Three agencies—the Canadian Food Inspection Agency, the Canada Border Services Agency and the Pest Management Regulatory Agency—currently fall under CART's review jurisdiction.",,,,,"Departmental Agencies",1983,2013,"t","Canada Agricultural Products Act, R.S.C. 1985, c. 20 (4th Supp.)",,,,,,
26,"CBSA","BSF","CBSA","Canada Border Services Agency","Canada Border Services Agency",,"The Minister of Public Safety is responsible for the Canada Border Services Agency (CBSA). The CBSA provides integrated border services that support national security priorities and facilitate the flow of people and goods across the border. Responsibilities include:
• Administering legislation that governs the admissibility of people and goods into and out of Canada;   
• Identifying, detaining and removing people who are inadmissible to Canada;   
• Interdicting illegal goods at Canada's border;   
• Protecting food safety, plant and animal health, and Canada’s resource base;   
• Administering trade legislation and agreements, including the enforcement of trade remedies that protect Canadian industry;  
• Administering a fair and impartial redress mechanism; and   
• Collecting duties and taxes on imported goods.","Public Safety and Emergency Preparedness",,,,"Departmental Corporations",2003,,"a","Canada Border Services Agency Act, S.C. 2005, c. 38 Order-in-Council P.C. 2003-2066","II","IV",,,,"www.cbsa.gc.ca"
26,"CBSA","BSF","CBSA","Canada Border Services Agency","Canada Border Services Agency",,"The Minister of Public Safety is responsible for the Canada Border Services Agency (CBSA). The CBSA provides integrated border services that support national security priorities and facilitate the flow of people and goods across the border. Responsibilities include:
• Administering legislation that governs the admissibility of people and goods into and out of Canada;   
• Identifying, detaining and removing people who are inadmissible to Canada;   
• Interdicting illegal goods at Canada's border;   
• Protecting food safety, plant and animal health, and Canada’s resource base;   
• Administering trade legislation and agreements, including the enforcement of trade remedies that protect Canadian industry;  
• Administering a fair and impartial redress mechanism; and   
• Collecting duties and taxes on imported goods.","Public Safety and Emergency Preparedness",,,,"Departmental Corporations",2003,,"a","Canada Border Services Agency Act, S.C. 2005, c. 38 Order-in-Council P.C. 2003-2066","II","IV",,,,"www.cbsa.gc.ca"
28,,,,"Canada Commonwealth Legacy Fund",,,"To finance programming dedicated to developing standards of high performance and competitive excellence in domestic and international amateur sport.",,,,,"Shared-Governance Corporations",1994,2014,"d","Society Act, R.S.B.C. 1996, c. 433.  Canada Corporations Act, R.S.C. 1970, c. C-32",,,,,,
29,"CC","CCL","CCA","Canada Council for the Arts",,,"To foster and promote the study, enjoyment of, and the production of works in, the arts.","Canadian Heritage",,,,"Crown Corporations",1957,,"a","Canada Council for the Arts Act, R.S.C. 1985, c. C-2",,,"Auditor General of Canada",,,"www.canadacouncil.ca"
29,"CC","CCL","CCA","Canada Council for the Arts",,,"To foster and promote the study, enjoyment of, and the production of works in, the arts.","Canadian Heritage",,,,"Crown Corporations",1957,,"a","Canada Council for the Arts Act, R.S.C. 1985, c. C-2",,,"Auditor General of Canada",,,"www.canadacouncil.ca"
30,"CDINS","DIC","CDIC","Canada Deposit Insurance Corporation","Canada Deposit Insurance Corporation",,"To provide insurance against the loss of all or part of deposits and to promote and otherwise contribute to the stability of the financial system in Canada, for the benefit of those with deposits in CDIC member institutions while minimizing the Corporation's exposure to loss.","Finance",,,,"Crown Corporations",1967,,"a","Canada Deposit Insurance Corporation Act (R.S.C., 1985, c. C-3; R.S., 1985, c. 18 (2nd Supp.); R.S., 1985, c. 18 (3rd Supp.); S.C., 1991, c. 45; S.C., 1992, cc. 1, 26, 27; S.C., 1993, c. 34; S.C., 1996, c. 6; S.C., 1997, c. 15; S.C., 1999, cc. 28, 31; S.C., 2001, c. 9; S.C., 2002, c. 8; S.C., 2003, c. 22; S.C., 2005, c. 30; S.C., 2007, cc. 6, 29; S.C., 2009, c. 2; S.C., 2010, c. 12; S.C., 2012, c. 5; S.C., 2012, c. 31; S.C., 2014, c. 20; S.C., 2016, c.7).","III",,"Auditor General of Canada",,,"www.cdic.ca"
30,"CDINS","DIC","CDIC","Canada Deposit Insurance Corporation","Canada Deposit Insurance Corporation",,"To provide insurance against the loss of all or part of deposits and to promote and otherwise contribute to the stability of the financial system in Canada, for the benefit of those with deposits in CDIC member institutions while minimizing the Corporation's exposure to loss.","Finance",,,,"Crown Corporations",1967,,"a","Canada Deposit Insurance Corporation Act (R.S.C., 1985, c. C-3; R.S., 1985, c. 18 (2nd Supp.); R.S., 1985, c. 18 (3rd Supp.); S.C., 1991, c. 45; S.C., 1992, cc. 1, 26, 27; S.C., 1993, c. 34; S.C., 1996, c. 6; S.C., 1997, c. 15; S.C., 1999, cc. 28, 31; S.C., 2001, c. 9; S.C., 2002, c. 8; S.C., 2003, c. 22; S.C., 2005, c. 30; S.C., 2007, cc. 6, 29; S.C., 2009, c. 2; S.C., 2010, c. 12; S.C., 2012, c. 5; S.C., 2012, c. 31; S.C., 2014, c. 20; S.C., 2016, c.7).","III",,"Auditor General of Canada",,,"www.cdic.ca"
31,,"CDI",,"Canada Development Investment Corporation","Canada Development Investment Corporation",,"The objects of the Corporation are: to assist in the creation or development of businesses, resources, properties and industries of Canada; to expand, widen and develop opportunities for Canadians to participate in the economic development of Canada through the application of their skills and capital in any activities carried on by the Corporation; to invest in the shares or securities of any corporation owning property or carrying on business related to the economic interests of Canada; to invest in ventures or enterprises, including the acquisition of property, likely to benefit Canada; and to carry out all activities in the best interests of Canada, operating in a commercial manner.","Finance",,,,"Crown Corporations",1982,,"a","Canada Business Corporations Act, R.S.C. 1985, c. C-44","III",,"Auditor General of Canada and KPMG LLP",,,"www.cdev.gc.ca"
31,,"CDI",,"Canada Development Investment Corporation","Canada Development Investment Corporation",,"The objects of the Corporation are: to assist in the creation or development of businesses, resources, properties and industries of Canada; to expand, widen and develop opportunities for Canadians to participate in the economic development of Canada through the application of their skills and capital in any activities carried on by the Corporation; to invest in the shares or securities of any corporation owning property or carrying on business related to the economic interests of Canada; to invest in ventures or enterprises, including the acquisition of property, likely to benefit Canada; and to carry out all activities in the best interests of Canada, operating in a commercial manner.","Finance",,,,"Crown Corporations",1982,,"a","Canada Business Corporations Act, R.S.C. 1985, c. C-44","III",,"Auditor General of Canada and KPMG LLP",,,"www.cdev.gc.ca"
32,"CERIA","RED",,"Canada Emission Reduction Incentives Agency",,,,"Innovation, Science and Economic Development",,,,"Departmental Corporations",2005,,"a","Canada Emission Reduction Incentives Agency Act, S.C. 2005, c. 30, s. 87","II","IV",,,"Non-operational on July 31, 2007.",
32,"CERIA","RED",,"Canada Emission Reduction Incentives Agency",,,,"Innovation, Science and Economic Development",,,,"Departmental Corporations",2005,,"a","Canada Emission Reduction Incentives Agency Act, S.C. 2005, c. 30, s. 87","II","IV",,,"Non-operational on July 31, 2007.",
33,,"CEI",,"Canada Employment Insurance Commission","Canada Employment Insurance Commission",,"To exercise powers and perform duties in relation to employment insurance, employment services, and the development and utilization of labour market resources.","Families, Children and Social Development",,,,"Departmental Corporations",1940,,"a","Department of Employment and Social Development Act, S.C. 2005, c. 34","II",,,,,"www.esdc.gc.ca/eng/jobs/ei/commission/index.shtml"
33,,"CEI",,"Canada Employment Insurance Commission","Canada Employment Insurance Commission",,"To exercise powers and perform duties in relation to employment insurance, employment services, and the development and utilization of labour market resources.","Families, Children and Social Development",,,,"Departmental Corporations",1940,,"a","Department of Employment and Social Development Act, S.C. 2005, c. 34","II",,,,,"www.esdc.gc.ca/eng/jobs/ei/commission/index.shtml"
34,,,,"Canada Employment Insurance Financing Board",,,"To set the premium rate under section 66 of the Employment Insurance Act;   to maintain a reserve in accordance with that section; to manage any amounts paid to it under section 77.1 of that Act; and to invest its financial assets with a view to meeting its financial obligations.",,,,,"Crown Corporations",2008,2013,"d","Canada Employment Insurance Financing Board Act,   S.C. 2008, c. 28, s. 121",,,,,,
35,,,,"Canada Foundation for Innovation",,,"To provide funding for research infrastructure at Canadian universities, colleges, research hospitals and non-profit research organizations to enhance their capacity to carry out world-class research and technology development for the benefit of Canadians.","Innovation, Science and Economic Development",,,,"Shared-Governance Corporations",1997,,"a","Budget Implementation Act, 1997, S.C. 1997, c. 26",,,"Ernst & Young LLP","6/13 board members",,"www.innovation.ca"
35,,,,"Canada Foundation for Innovation",,,"To provide funding for research infrastructure at Canadian universities, colleges, research hospitals and non-profit research organizations to enhance their capacity to carry out world-class research and technology development for the benefit of Canadians.","Innovation, Science and Economic Development",,,,"Shared-Governance Corporations",1997,,"a","Budget Implementation Act, 1997, S.C. 1997, c. 26",,,"Ernst & Young LLP","6/13 board members",,"www.innovation.ca"
36,,,,"Canada Foundation for Sustainable Development Technology",,,"To fund projects that develop and demonstrate new clean technologies that promote sustainable development, including technologies to address issues related to climate change and the quality of air, water and soil.","Innovation, Science and Economic Development",,,,"Shared-Governance Corporations",2001,,"a","Canada Foundation for Sustainable Development Technology Act, S.C. 2001, c. 23",,,"KPMG LLP","7/15 board members",,"www.sdtc.ca"
36,,,,"Canada Foundation for Sustainable Development Technology",,,"To fund projects that develop and demonstrate new clean technologies that promote sustainable development, including technologies to address issues related to climate change and the quality of air, water and soil.","Innovation, Science and Economic Development",,,,"Shared-Governance Corporations",2001,,"a","Canada Foundation for Sustainable Development Technology Act, S.C. 2001, c. 23",,,"KPMG LLP","7/15 board members",,"www.sdtc.ca"
37,,,,"Canada Games Council",,,"To provide a major national multi-sport event for the best young athletes in all provinces and territories.","Canadian Heritage",,,,"Shared-Governance Corporations",1991,,"a","Canada-Not-For-Profit Corporations Act, S.C. 2009, c. 23",,,"Deloitte & Touche LLP","0/12 board members and 1 PCH observer",,"www.canadagames.ca"
37,,,,"Canada Games Council",,,"To provide a major national multi-sport event for the best young athletes in all provinces and territories.","Canadian Heritage",,,,"Shared-Governance Corporations",1991,,"a","Canada-Not-For-Profit Corporations Act, S.C. 2009, c. 23",,,"Deloitte & Touche LLP","0/12 board members and 1 PCH observer",,"www.canadagames.ca"
38,,,,"Canada Health Infoway Inc.",,,"Infoway is an independent, not-for-profit corporation that is federally funded to work with jurisdictions and other stakeholders to support the development and adoption of digital health technologies across Canada. Between 2001 and 2010, the Government of Canada has invested $2.1 billion in Infoway, through grants or up-front multi-year funding, to focus on electronic health records, and other priorities in digital health. Budget 2016 allocated $50 million over two years to Infoway to support short-term digital health activities in e-prescribing and telehomecare, with the funds flowing as a Contribution Agreement. Budget 2017 allocated $300 million over five years to Infoway to expand e-prescribing and virtual care initiatives, support the continued adoption and use of electronic medical records, help patients to access their own health records electronically, and better link electronic health record systems to improve access by all providers and institutions. These funds are to flow as a Contribution agreement.","Health",,,,"Shared-Governance Corporations",2001,,"a","Canada Not-for-profit Corporations Act, S.C. 2009, C. 23",,,"Ernst & Young LLP","1/14 Corporate Members; 2/13 Board directors",,"www.infoway-inforoute.ca"
