Ministry_name-Portefeuilleministériel_nom,Other-than-budgetary-expenditures_Autres-que-depenses-budgetaires,EntityDept_name_fra-EntitéMin_nom_fra,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_code_PROG,ProgramorCoreResponsibility_name-ProgrammeouResponsabilitéessentielle_nom_PROG,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_description_PROG,ProgramInventory-Répertoiredesprogrammes_code_PROG,ProgramInventory_name-Répertoiredesprogrammes_nom_PROG,ProgramInventory-Répertoiredesprogrammes_description_PROG,Notes,Department_specific-Particulier_au_ministère
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","Agriculture et Agroalimentaire Canada mène des recherches scientifiques, développe de nouvelles connaissances et de nouvelles technologies et transfère les résultats au secteur de l’agriculture et de l’agroalimentaire. Agriculture et Agroalimentaire Canada travaille également avec l'industrie et d'autres partenaires pour renforcer la capacité du secteur à développer et à adopter des pratiques, des produits et des procédés novateurs.","BWO03","Agri-innover","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","Agriculture et Agroalimentaire Canada mène des recherches scientifiques, développe de nouvelles connaissances et de nouvelles technologies et transfère les résultats au secteur de l’agriculture et de l’agroalimentaire. Agriculture et Agroalimentaire Canada travaille également avec l'industrie et d'autres partenaires pour renforcer la capacité du secteur à développer et à adopter des pratiques, des produits et des procédés novateurs.","BWO04","Programme de lutte contre les gaz à effet de serre en agriculture","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","Agriculture et Agroalimentaire Canada mène des recherches scientifiques, développe de nouvelles connaissances et de nouvelles technologies et transfère les résultats au secteur de l’agriculture et de l’agroalimentaire. Agriculture et Agroalimentaire Canada travaille également avec l'industrie et d'autres partenaires pour renforcer la capacité du secteur à développer et à adopter des pratiques, des produits et des procédés novateurs.","BWO05","Programme canadien d'adaptation agricole","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","Agriculture et Agroalimentaire Canada mène des recherches scientifiques, développe de nouvelles connaissances et de nouvelles technologies et transfère les résultats au secteur de l’agriculture et de l’agroalimentaire. Agriculture et Agroalimentaire Canada travaille également avec l'industrie et d'autres partenaires pour renforcer la capacité du secteur à développer et à adopter des pratiques, des produits et des procédés novateurs.","BWO06","Programmes à frais partagés fédéral, provinciaux et territoriaux reliés à la science, à la recherche, à l'innovation et à l'environnement","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP01","Agri-stabilité","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP02","Agri-investissement","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP03","Agri-relance","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP04","Agri-protection","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP05","Agri-risques","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP06","Programmes de garantie de prêts","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP07","Service de médiation en matière d'endettement agricole","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP08","Lutte antiparasitaire","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP09","Programme d'assurance","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP10","Programmes à frais partagés fédéral, provinciaux et territoriaux reliés à l'assurance","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.","BWP11","Retour de paiements","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA1","Services de gestion et de surveillance","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA2","Services de communication","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA3","Services juridiques","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA4","Services de gestion des ressources humaines","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA5","Services de gestion financière","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA6","Services de gestion de l'information","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA7","Services de gestion de la technologie de l'information","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA8","Services de gestion des biens immobiliers","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSA9","Services de gestion du matériel","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.","ISSAZ","Services de gestion des acquisitions","","2 La note relative au code ISSA0 s’applique.","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Commission canadienne du lait","BGA00","Commission canadienne du lait","De permettre aux producteurs de lait et de crème dont l’entreprise est efficace d’obtenir une juste rétribution de leur travail et de leur investissement et d’assurer aux consommateurs un approvisionnement continu et suffisant de produits laitiers de qualité. ",,,"","","134 - Commission canadienne du lait"
"Agriculture et Agroalimentaire",,"Commission canadienne des grains","BGB00","Réglementation des grains","La Commission canadienne des grains réglemente la manutention du grain au Canada, et elle établit et maintient des normes des qualité du grain canadien fondées sur la science.","BGB01","Qualité des grains","","","133 - Commission canadienne des grains"
"Agriculture et Agroalimentaire",,"Commission canadienne des grains","BGB00","Réglementation des grains","La Commission canadienne des grains réglemente la manutention du grain au Canada, et elle établit et maintient des normes des qualité du grain canadien fondées sur la science.","BGB02","Recherches sur les grains","","","133 - Commission canadienne des grains"
"Agriculture et Agroalimentaire",,"Commission canadienne des grains","BGB00","Réglementation des grains","La Commission canadienne des grains réglemente la manutention du grain au Canada, et elle établit et maintient des normes des qualité du grain canadien fondées sur la science.","BGB03","Mesures de protection des producteurs de grain","","","133 - Commission canadienne des grains"
"Agriculture et Agroalimentaire",,"Commission canadienne des grains","ISSA0","Services internes","Les services de soutien internes sont des groupes d'activités et de ressources connexes qui sont gérés de façon à répondre aux besoins des programmes et des autres obligations générales d'une organisation. Les services internes comprennent uniquement les activités et les ressources destinées à l'ensemble d'une organisation et non celles fournies à un programme particulier.",,,""," - 1 La majorité des ministères et des organismes doit remplacer le A par un zéro (0). Toutefois, dans de rares cas, lorsqu’un ministère ou un organisme a plus d'un crédit par type de crédit (dépenses de programme, de fonctionnement, en capital) ou lorsqu’un ministère ou un organisme est autorisé à utiliser le système financier d’un ministère d’accueil et que sa comptabilité est incluse dans la balance de vérification du Système central de gestion des rapports financiers (SCGRF) de ce ministère d’accueil, le A serait remplacé séquentiellement par un 1 pour le premier crédit/organisme, et par un 2 pour un deuxième crédit/organisme, etc.

 - 3 Ce ministère n'a pas à ventiler les dépenses relatives aux services internes en utilisant les codes de programmes spécifiques aux groupes suivants : services de gestion et de surveillance, services des communications, services juridiques, services de gestion des ressources humaines, services de gestion des finances, services de gestion de l'information, services des technologies de l'information, services de gestion des biens, services de gestion du matériel, services de gestion des acquisitions et autres services administratifs. Ce ministère utilisera strictement le code des services internes.","133 - Commission canadienne des grains"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA01","Services fiscaux et traitement","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA02","Observation en matière de déclarations","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA03","Recouvrements","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA04","Observation nationale","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA05","Observation du secteur international et grandes entreprises et enquêtes criminelles","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA06","Oppositions et appels","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA07","Allègement pour les contribuables","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA08","Plaintes liées au service","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA09","Organismes de bienfaisance","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA10","Régimes enregistrés","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
"Revenu national",,"Agence du revenu du Canada","BRA00","Impôt","S'assurer que le système fiscal d'autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.","BRA11","Politique, décisions et interprétations","",""," - 130 - Agence du revenu du Canada

 - 122 - Agence du revenu du Canada - (activités administrées)"
