"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2019-2020",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED07","Policy Research and Engagement",10820485.00,14433423.62,10820485.00,10635693.00,66.00,68.00,66.00,66.00,,
"2019-2020",12,"Atlantic Canada Opportunities Agency","Internal Services","ISS00","Internal Services",26553941.00,27141436.09,26501876.00,26062242.00,196.00,197.00,196.00,196.00,,
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF01","Targeting",48751981.00,71707505.01,50005621.00,45579065.00,377.00,339.00,382.00,350.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF02","Intelligence Collection and Analysis",65853542.00,82960023.95,65656171.00,64934363.00,720.00,561.00,720.00,686.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF03","Security Screening",9124824.00,13755107.51,9329690.00,14765964.00,88.00,143.00,90.00,142.00,,"Actual expenditures exceeded planned expenditures mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan) and Budget 2019 implementation vote process (Temporary Resident and Asylum).


Actual FTEs exceeded planned FTEs mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan) and Budget 2019 implementation vote process (Temporary Resident and Asylum).


As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF04","Traveller Facilitation and Compliance",533627790.00,628359930.57,524680389.00,520920483.00,5075.00,5029.00,5058.00,5052.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF05","Commercial-Trade Facilitation and Compliance",347250700.00,369330981.29,324606467.00,307371146.00,3049.00,3200.00,3052.00,2920.00,,
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF06","Anti-Dumping and Countervailing",20880141.00,8989128.41,34601876.00,11265348.00,114.00,81.00,115.00,92.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF07","Trusted Traveller",24923675.00,7140358.47,24904254.00,15322425.00,328.00,197.00,328.00,282.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF08","Trusted Trader",8225180.00,11302205.37,8220331.00,9122627.00,73.00,92.00,73.00,85.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF09","Recourse",13308449.00,18629356.03,13299760.00,11404710.00,135.00,130.00,135.00,118.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF10","Force Generation",55861931.00,65048093.72,50935788.00,48157647.00,358.00,417.00,339.00,323.00,,"Actual expenditures exceeded planned expenditures mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan) and Budget 2019 implementation vote process (African Swine Fever).


Actual FTEs exceeded planned FTEs mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan) and Budget 2019 implementation vote process (African Swine Fever).

As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF11","Buildings and Equipment",91965631.00,123103429.26,109647202.00,102780691.00,114.00,132.00,114.00,208.00,,"Actual expenditures exceeded planned expenditures mainly due to an influx of new funding received through the Budget 2019 implementation vote process (Asylum and Modernizing Canada’s Border Operations - Investment Planning).

Actual FTEs exceeded planned FTEs mainly due to an influx of new funding received through the Budget 2019 implementation vote process (Asylum and Modernizing Canada’s Border Operations - Investment Planning).

As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Management","BUF12","Field Technology Support",62749266.00,35962253.98,42547389.00,39756812.00,120.00,134.00,119.00,138.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Enforcement","BUG01","Immigration Investigations",43063514.00,46673689.65,41802194.00,47073902.00,401.00,489.00,398.00,442.00,,"Actual FTEs exceeded planned FTEs mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan and Sanctions) and Budget 2019 implementation vote process (Temporary Resident and Asylum).

As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Enforcement","BUG02","Detentions",66864715.00,71377021.13,63819450.00,51304585.00,178.00,146.00,179.00,130.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Enforcement","BUG03","Hearings",29338562.00,37361533.35,23998666.00,28849735.00,260.00,376.00,227.00,282.00,,"Actual expenditures exceeded planned expenditures mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan and Sanctions) and Budget 2019 implementation vote process (Temporary Resident and Asylum).

Actual FTEs exceeded planned FTEs mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan and Sanctions) and Budget 2019 implementation vote process (Temporary Resident and Asylum).

As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Enforcement","BUG04","Removals",33097542.00,51046409.41,25767690.00,36513681.00,216.00,340.00,207.00,280.00,,"Actual expenditures exceeded planned expenditures mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan and Sanctions) and Budget 2019 implementation vote process (Temporary Resident and Asylum).

Actual FTEs exceeded planned FTEs mainly due to an influx of new funding received through the Supplementary Estimates (B) (2019–20 Multi-year Levels Plan and Sanctions) and Budget 2019 implementation vote process (Temporary Resident and Asylum).

As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Border Enforcement","BUG05","Criminal Investigations",34329564.00,37876761.22,34163490.00,42566215.00,323.00,314.00,324.00,397.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS01","Management and Oversight Services",67183983.00,85688006.40,66869952.00,70667384.00,596.00,630.00,575.00,614.00,,"Actual expenditures exceeded planned expenditures mainly due to an influx of new funding received through the Supplementary Estimates (A) (Assessment and Revenue Management project, Passenger Protect Program, Duty Relief and Duty Drawback Programs, National Strategy to Combat Human Trafficking) and Supplementary Estimates (B) (2019–20 Multi-year Levels Plan and Sanctions) and Budget 2019 implementation vote process (Temporary Resident and Asylum).

As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS02","Communications Services",11290290.00,13178101.41,11188153.00,10043212.00,109.00,131.00,108.00,101.00,,"Actual expenditures exceeded planned expenditures mainly due to an influx of new funding received through the Supplementary Estimates (B) (Sanctions). 

Actual FTEs exceeded planned FTEs mainly due to an influx of new funding received through the Supplementary Estimates (B) (Sanctions).

As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS03","Legal Services",18786675.00,18641261.03,18231143.00,23280754.00,5.00,10.00,5.00,20.00,,"Actual FTEs exceeded planned FTEs mainly due to an influx of new funding received through the Supplementary Estimates (A) (Passenger Protect Program, Duties Relief and Duty Drawback Programs and Human Trafficking), Supplementary Estimates (B) (2019–20 Multi-year Levels Plan) and Budget 2019 implementation vote process (Temporary Resident, Asylum, African Swine Fever and Modernizing Canada’s Border Operations).

As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS04","Human Resources Management Services",67851778.00,63475245.77,67569336.00,62527263.00,635.00,614.00,633.00,607.00,,
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS05","Financial Management Services",28482557.00,29379995.86,28216445.00,23896743.00,249.00,240.00,246.00,239.00,,
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS06","Information Management Services",8830458.00,5928079.49,8562138.00,9183612.00,65.00,46.00,64.00,68.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS07","Information Technology Services",138201789.00,129496945.58,133600265.00,143423922.00,431.00,445.00,430.00,421.00,,
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS08","Real Property Management Services",26120208.00,19519992.94,19565059.00,18045102.00,153.00,151.00,153.00,59.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS09","Materiel Management Services",3370322.00,12891520.34,2207293.00,3583298.00,24.00,37.00,23.00,30.00,,"As 2019–20 represents the CBSA’s second year of transition to the new reporting structure under its Departmental Results Framework, the Agency continues to enhance planning and reporting capabilities by program inventory to ensure proper alignment of authorities and expenditures."
"2019-2020",26,"Canada Border Services Agency","Internal Services","ISS0Z","Acquisition Management Services",6062068.00,5517069.62,6054537.00,5748190.00,49.00,51.00,49.00,48.00,,
"2019-2020",46,"Canada Revenue Agency","Tax","BRA01","Tax Services and Processing",799714403.00,880135329.79,780887056.00,780881295.00,7842.00,8786.00,7611.00,7558.00,,"The increase in spending and FTEs is primarily due to incremental funding for major project investments and operational priorities including reducing call centre wait times and addressing pressures in individual returns workload. Additional increases are as a result of new funding received to improve T1 adjustments and address pressures related to the Government pay system as well as to implement other measures announced as part of Budget 2019 and the carbon fuel charge."
"2019-2020",46,"Canada Revenue Agency","Tax","BRA02","Returns Compliance",337219351.00,333528851.94,335855871.00,337389141.00,5531.00,5287.00,5507.00,5503.00,,
"2019-2020",46,"Canada Revenue Agency","Tax","BRA03","Collections",427121027.00,428224546.21,420026118.00,416632351.00,5856.00,5903.00,5702.00,5678.00,,
"2019-2020",46,"Canada Revenue Agency","Tax","BRA04","Domestic Compliance",751522536.00,798143772.01,751364285.00,749552257.00,7181.00,7294.00,7175.00,7137.00,,
"2019-2020",46,"Canada Revenue Agency","Tax","BRA05","International and Large Business Compliance and Criminal Investigations",438503187.00,443165658.01,427415167.00,421051516.00,3416.00,3251.00,3318.00,3274.00,,
"2019-2020",46,"Canada Revenue Agency","Tax","BRA06","Objections and Appeals",199956689.00,197775838.60,213168754.00,212331604.00,1618.00,1551.00,1707.00,1703.00,,
"2019-2020",46,"Canada Revenue Agency","Tax","BRA07","Taxpayer Relief",18522382.00,18875596.83,18607441.00,19755419.00,272.00,266.00,281.00,297.00,,
"2019-2020",46,"Canada Revenue Agency","Tax","BRA08","Service Complaints",13553654.00,16150870.84,10310985.00,8223515.00,137.00,150.00,108.00,94.00,,"The increase in spending is primarily due to transfers from the Objections and Appeals program to address Service Complaints workload."
"2019-2020",46,"Canada Revenue Agency","Tax","BRA09","Charities",37353828.00,38951232.60,36609831.00,36632408.00,370.00,363.00,362.00,362.00,,
"2019-2020",46,"Canada Revenue Agency","Tax","BRA10","Registered Plans",19004650.00,20647399.87,19133908.00,19138525.00,201.00,196.00,200.00,198.00,,
