Ministry_name-Portefeuilleministériel_nom,Other-than-budgetary-expenditures_Autres-que-depenses-budgetaires,EntityDept_name_Eng-EntitéMin_nom_ang,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_code_PROG,ProgramorCoreResponsibility_name-ProgrammeouResponsabilitéessentielle_nom_PROG,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_description_PROG,ProgramInventory-Répertoiredesprogrammes_code_PROG,ProgramInventory_name-Répertoiredesprogrammes_nom_PROG,ProgramInventory-Répertoiredesprogrammes_description_PROG,Notes,Department_specific-Particulier_au_ministère
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","Agriculture and Agri-Food Canada conducts scientific research, develops new knowledge and new technologies, and transfers the results to the agriculture and agri-food sector.  Agriculture and Agri-Food Canada also works with industry and other partners to strengthen the sector’s capacity to develop and adopt innovative practices, products and processes. ","BWO03","AgriInnovate","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","Agriculture and Agri-Food Canada conducts scientific research, develops new knowledge and new technologies, and transfers the results to the agriculture and agri-food sector.  Agriculture and Agri-Food Canada also works with industry and other partners to strengthen the sector’s capacity to develop and adopt innovative practices, products and processes. ","BWO04","Agricultural Greenhouse Gases Program","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","Agriculture and Agri-Food Canada conducts scientific research, develops new knowledge and new technologies, and transfers the results to the agriculture and agri-food sector.  Agriculture and Agri-Food Canada also works with industry and other partners to strengthen the sector’s capacity to develop and adopt innovative practices, products and processes. ","BWO05","Canadian Agricultural Strategic Priorities Program","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","Agriculture and Agri-Food Canada conducts scientific research, develops new knowledge and new technologies, and transfers the results to the agriculture and agri-food sector.  Agriculture and Agri-Food Canada also works with industry and other partners to strengthen the sector’s capacity to develop and adopt innovative practices, products and processes. ","BWO06","Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP01","AgriStability","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP02","AgriInvest","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP03","AgriRecovery","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP04","AgriInsurance","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP05","AgriRisk","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP06","Loan Guarantee Programs","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP07","Farm Debt Mediation Service","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP08","Pest Management","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP09","Assurance Program","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP10","Federal, Provincial and Territorial Cost-shared Assurance","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP11","Return of Payments","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","Agriculture and Agri-Food Canada provides tools to mitigate the financial impact of risks beyond producers’ control that threaten the viability of their operation.  Agriculture and Agri-Food Canada also works with the sector to ensure that systems, standards and tools are developed to support its ability to prevent and control risks and address market demands.","BWP12","Mandatory Isolation Support for Temporary Foreign Workers Program","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS01","Management and Oversight Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS02","Communications Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS03","Legal Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS04","Human Resources Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS05","Financial Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS06","Information Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS07","Information Technology Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS08","Real Property Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS09","Materiel Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS0Z","Acquisition Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Canadian Dairy Commission","BGA00","Canadian Dairy Commission","To provide efficient producers of milk and cream with the opportunity of obtaining a fair return for their labour and investment and to provide consumers of dairy products with a continuous and adequate supply of dairy products of high quality.",,,"","","134 - Canadian Dairy Commission"
"Agriculture and Agri-Food",,"Canadian Grain Commission","BGB00","Grain Regulation","The Canadian Grain Commission regulates grain handling in Canada and establishes and maintains science based standards of quality for Canadian grain.","BGB01","Grain Quality","","","133 - Canadian Grain Commission"
"Agriculture and Agri-Food",,"Canadian Grain Commission","BGB00","Grain Regulation","The Canadian Grain Commission regulates grain handling in Canada and establishes and maintains science based standards of quality for Canadian grain.","BGB02","Grain Research","","","133 - Canadian Grain Commission"
"Agriculture and Agri-Food",,"Canadian Grain Commission","BGB00","Grain Regulation","The Canadian Grain Commission regulates grain handling in Canada and establishes and maintains science based standards of quality for Canadian grain.","BGB03","Safeguards for Grain Farmers","","","133 - Canadian Grain Commission"
"Agriculture and Agri-Food",,"Canadian Grain Commission","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",,,"","1 This department is not required to use specific program codes to allocate the internal service expenses between the following groups: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Other Administrative Services. This department will exclusively use the internal services code.","133 - Canadian Grain Commission"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA01","Tax Services and Processing","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA02","Returns Compliance","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA03","Collections","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA04","Domestic Compliance","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA05","International and Large Business Compliance and Criminal Investigations","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA06","Objections and Appeals","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA07","Taxpayer Relief","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA08","Service Complaints","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA09","Charities","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA10","Registered Plans","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRA00","Tax","To ensure that Canada’s self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.","BRA11","Policy, Rulings, and Interpretations","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRB00","Benefits","To ensure that Canadians obtain the support and information they need to know what benefits they may be eligible to receive, that they receive their benefit payments in a timely manner, and have avenues of redress when they disagree with a decision on their benefit eligibility.","BRB01","Benefits","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","BRC00","Taxpayers' Ombudsman","Canadians have access to trusted and independent review of service complaints about the Canada Revenue Agency.","BRC01","Taxpayers' Ombudsman","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS01","Management and Oversight Services","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS02","Communications Services","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS03","Legal Services","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS04","Human Resources Management Services","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS05","Financial Management Services","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS06","Information Management Services","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
"National Revenue",,"Canada Revenue Agency","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS07","Information Technology Services","",""," - 130 - Canada Revenue Agency;  - 122 - Canada Revenue Agency - (Administered Activities)"
