Ministry_name-Portefeuilleministériel_nom,Other-than-budgetary-expenditures_Autres-que-depenses-budgetaires,EntityDept_name_Eng-EntitéMin_nom_ang,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_code_PROG,ProgramorCoreResponsibility_name-ProgrammeouResponsabilitéessentielle_nom_PROG,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_description_PROG,ProgramInventory-Répertoiredesprogrammes_code_PROG,ProgramInventory_name-Répertoiredesprogrammes_nom_PROG,ProgramInventory-Répertoiredesprogrammes_description_PROG,Notes,Department_specific-Particulier_au_ministère
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","","BWO03","AgriInnovate","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","","BWO04","Environment and Climate Change Programs","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","","BWO05","Canadian Agricultural Strategic Priorities Program","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","","BWO06","Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP01","AgriStability","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP02","AgriInvest","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP03","AgriRecovery","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP04","AgriInsurance","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP06","Loan Guarantee Programs","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP07","Farm Debt Mediation Service","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP08","Pest Management","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP09","Assurance Program","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP10","Federal, Provincial and Territorial Cost-shared Assurance","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP11","Return of Payments","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP13","African Swine Fever Response","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWP00","Sector Risk","","BWP14","Livestock Price Insurance Program","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS01","Management and Oversight Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS02","Communications Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS03","Legal Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS04","Human Resources Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS05","Financial Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS06","Information Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS07","Information Technology Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS08","Real Property Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS09","Materiel Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS0Z","Acquisition Management Services","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Canadian Dairy Commission","BGA00","Canadian Dairy Commission","",,,"","","134 - Canadian Dairy Commission"
"Agriculture and Agri-Food",,"Canadian Grain Commission","BGB00","Grain Regulation","","BGB01","Grain Quality","","","133 - Canadian Grain Commission"
"Agriculture and Agri-Food",,"Canadian Grain Commission","BGB00","Grain Regulation","","BGB02","Grain Research","","","133 - Canadian Grain Commission"
"Agriculture and Agri-Food",,"Canadian Grain Commission","BGB00","Grain Regulation","","BGB03","Safeguards for Grain Farmers","","","133 - Canadian Grain Commission"
"Agriculture and Agri-Food",,"Canadian Grain Commission","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",,,"","1 This department is not required to use specific program codes to allocate the internal service expenses between the following groups: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Other Administrative Services. This department will exclusively use the internal services code.","133 - Canadian Grain Commission"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSD00","Creativity, Arts and Culture","","BSD01","Arts","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSD00","Creativity, Arts and Culture","","BSD02","Cultural Marketplace Framework","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSD00","Creativity, Arts and Culture","","BSD03","Cultural Industries Support and Development","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSE00","Heritage and Celebration","","BSE01","National Celebrations, Commemorations and Symbols","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSE00","Heritage and Celebration","","BSE02","Community Engagement and Heritage","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSE00","Heritage and Celebration","","BSE03","Preservation of and Access to Heritage","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSE00","Heritage and Celebration","","BSE04","Learning About Canadian History","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSF00","Sport","","BSF01","Sport Development and High Performance","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSG00","Diversity and Inclusion","","BSG01","Multiculturalism and Anti-Racism","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSG00","Diversity and Inclusion","","BSG02","Human Rights","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSG00","Diversity and Inclusion","","BSG03","Indigenous Languages","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSG00","Diversity and Inclusion","","BSG04","Youth Engagement","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","BSH00","Official Languages","","BSH01","Official Languages","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS01","Management and Oversight Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS02","Communications Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS03","Legal Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS04","Human Resources Management Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS05","Financial Management Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS06","Information Management Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS07","Information Technology Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS08","Real Property Management Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS09","Materiel Management Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Heritage (Department of)","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","ISS0Z","Acquisition Management Services","","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canada Council for the Arts","BFJ00","Canada Council for the Arts","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Broadcasting Corporation","BFD00","Canadian Broadcasting Corporation","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Museum of History","BRI00","Canadian Museum of History","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Museum for Human Rights","BRL00","Canadian Museum for Human Rights","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Museum of Nature","BRQ00","Canadian Museum of Nature","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Museum of Immigration at Pier 21","BRN00","Canadian Museum of Immigration at Pier 21","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Race Relations Foundation","BYF00","Canadian Race Relations Foundation","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Canadian Radio-television and Telecommunications Commission","BRT00","Regulate and Supervise the Communications System","","BRT01","Support for Canadian Content Creation","","","016 - Canadian Radio-television and Telecommunications Commission"
"Canadian Heritage",,"Canadian Radio-television and Telecommunications Commission","BRT00","Regulate and Supervise the Communications System","","BRT02","Connection to the Communications System","","","016 - Canadian Radio-television and Telecommunications Commission"
"Canadian Heritage",,"Canadian Radio-television and Telecommunications Commission","BRT00","Regulate and Supervise the Communications System","","BRT03","Protection Within the Communications System","","","016 - Canadian Radio-television and Telecommunications Commission"
"Canadian Heritage",,"Canadian Radio-television and Telecommunications Commission","ISS00","Internal services ","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",,,"","1 This department is not required to use specific program codes to allocate the internal service expenses between the following groups: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Other Administrative Services. This department will exclusively use the internal services code.","016 - Canadian Radio-television and Telecommunications Commission"
"Canadian Heritage",,"Library and Archives of Canada","BSI00","Acquiring and preserving documentary heritage","","BSI01","Acquisition and processing of government records","","","145 - Library and Archives of Canada"
"Canadian Heritage",,"Library and Archives of Canada","BSI00","Acquiring and preserving documentary heritage","","BSI02","Acquisition and processing of published heritage","","","145 - Library and Archives of Canada"
"Canadian Heritage",,"Library and Archives of Canada","BSI00","Acquiring and preserving documentary heritage","","BSI03","Acquisition and processing of private archives","","","145 - Library and Archives of Canada"
"Canadian Heritage",,"Library and Archives of Canada","BSI00","Acquiring and preserving documentary heritage","","BSI04","Preservation","","","145 - Library and Archives of Canada"
"Canadian Heritage",,"Library and Archives of Canada","BSJ00","Providing access to documentary heritage","","BSJ01","Public services","","","145 - Library and Archives of Canada"
"Canadian Heritage",,"Library and Archives of Canada","BSJ00","Providing access to documentary heritage","","BSJ02","Outreach and support to communities","","","145 - Library and Archives of Canada"
"Canadian Heritage",,"Library and Archives of Canada","BSJ00","Providing access to documentary heritage","","BSJ03","Access to information and privacy","","","145 - Library and Archives of Canada"
"Canadian Heritage",,"Library and Archives of Canada","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",,,"","1 This department is not required to use specific program codes to allocate the internal service expenses between the following groups: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Other Administrative Services. This department will exclusively use the internal services code.","145 - Library and Archives of Canada"
"Canadian Heritage",,"National Arts Centre Corporation","BSK00","National Arts Centre Corporation","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"The National Battlefields Commission","BFO00","Conservation","","BFO01","Maintenance of infrastructure and security","","","102 - The National Battlefields Commission"
"Canadian Heritage",,"The National Battlefields Commission","BFY00","Promotion of Heritage","","BFY01","Educational, cultural and heritage activities","","","102 - The National Battlefields Commission"
"Canadian Heritage",,"The National Battlefields Commission","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",,,"","1 This department is not required to use specific program codes to allocate the internal service expenses between the following groups: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Other Administrative Services. This department will exclusively use the internal services code.","102 - The National Battlefields Commission"
"Canadian Heritage",,"National Film Board","BSM00","Audiovisual programming and production","","BSM01","Audiovisual programming and production","","","039 - National Film Board"
"Canadian Heritage",,"National Film Board","BSP00","Content accessibility and audience engagement","","BSP01","Distribution of works and audience engagement","","","039 - National Film Board"
"Canadian Heritage",,"National Film Board","BSP00","Content accessibility and audience engagement","","BSP02","Promotion of works and National Film Board outreach","","","039 - National Film Board"
"Canadian Heritage",,"National Film Board","BSP00","Content accessibility and audience engagement","","BSP03","Preservation, conservation and digitization of works","","","039 - National Film Board"
"Canadian Heritage",,"National Film Board","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",,,"","1 This department is not required to use specific program codes to allocate the internal service expenses between the following groups: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Other Administrative Services. This department will exclusively use the internal services code.","039 - National Film Board"
"Canadian Heritage",,"National Gallery of Canada","BRY00","National Gallery of Canada","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"National Museum of Science and Technology","BRU00","National Museum of Science and Technology","",,,"","","135 - Canadian Heritage (Department of)"
"Canadian Heritage",,"Telefilm Canada","BSQ00","Funding the production of Canadian content","",,,"","","037 - Telefilm Canada"
"Canadian Heritage",,"Telefilm Canada","BSR00","Promoting Canadian talent and content","",,,"","","037 - Telefilm Canada"
"Canadian Heritage",,"Telefilm Canada","ISS00","Internal services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",,,"","1 This department is not required to use specific program codes to allocate the internal service expenses between the following groups: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Other Administrative Services. This department will exclusively use the internal services code.","037 - Telefilm Canada"
"Crown-Indigenous Relations",,"Crown-Indigenous Relations and Northern Affairs (Department of)","BWM00","Crown-Indigenous Relations","","BWM02","Negotiations of Claims and Self-Government Agreements","","","042 - Department of Crown-Indigenous Relations and Northern Affairs"
