"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2020-2021",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO03","AgriInnovate",25220521.00,35723614.48,25220521.00,25220521.00,20.00,29.00,20.00,20.00,,"Actual spending was greater than planned spending as uptake under this program has been high. Funding was reallocated between programs to further support projects that were in demand and considered key priorities.

Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Canadian Agricultural Partnership program initiatives."
"2020-2021",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO04","Agricultural Greenhouse Gases Program",5676632.00,5712118.97,5685094.00,5686976.00,8.00,9.00,8.00,8.00,,"Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2020-2021",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO05","Canadian Agricultural Strategic Priorities Program",10113906.00,118915408.13,10122688.00,11124642.00,8.00,12.00,8.00,8.00,"The increase in planned spending in 2022-23 is due to an internal reallocation of resources.","Actual spending was greater than planned spending as it reflects emergency support provided in response to COVID-19 under the Emergency Processing Fund and the Emergency On-Farm Support Fund.

Actual full-time equivalents were highter than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including COVID-19."
"2020-2021",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO06","Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment",124561885.00,116926443.92,114679725.00,114679725.00,17.00,23.00,13.00,13.00,"The decrease in planned spending in 2021-22 is due to the expiry of the Agricultural Clean Technology Program. 

The decrease in full-time equivalents in 2021-22 reflects the expiry of the Agricultural Clean Technology Program.","Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Canadian Agricultural Partnership program initiatives."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP01","AgriStability",441617418.00,230929126.33,441617418.00,441617418.00,162.00,150.00,162.00,162.00,,"AgriStability is demand-driven, rather than being funded from a set allocation for each fiscal year. Although the administrative costs of the program remain relatively constant, the variance of year-to-year grant and contribution payments is directly related to participation and industry conditions. Actual spending was lower than planned spending due to a decrease in demand and participation in the program."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP02","AgriInvest",152218529.00,166589608.71,152218529.00,152218529.00,122.00,117.00,122.00,122.00,,
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP03","AgriRecovery",124193255.00,22278681.81,124193255.00,124193255.00,4.00,5.00,4.00,4.00,,"AgriRecovery is demand-driven. Spending under the framework varies from year to year depending on the need for disaster response initiatives. Actual spending was lower than planned spending as only six initiatives were delivered in 2020-21, of which five initiatives were implemented in response to COVID-19 and only 4 provinces participated in those five initiatives. The negative actual spending in 2020-21 reflects a credit from a previous year related to British Columbia wildfires.

Actual full-time equivalents were highter than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including COVID-19."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP04","AgriInsurance",627605104.00,648855740.55,627605104.00,627605104.00,24.00,18.00,24.00,24.00,,"Actual spending was greater than planned spending due to an increase in Wildlife Damage Compensation contributions in 2020-21 as well as an average increase in indemnity claims under the Canadian Agricultural Partnership which has increased administration costs. The program has also had higher system maintenance and support costs and larger investments in capital expenditures, particularly as it relates to the renewal of their IT infrastructure.

Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP05","AgriRisk",11950350.00,5824991.10,11950350.00,11950350.00,6.00,7.00,6.00,6.00,,"Actual spending was lower than planned spending due to fewer Administrative Capacity Building and Research and Development projects than anticipated.

Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Canadian Agricultural Partnership program initiatives."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP06","Loan Guarantee Programs",111319160.00,30256230.42,125852456.00,130061977.00,31.00,27.00,31.00,31.00,"Increases in planned spending in 2021-22 and 2022-23 are due to the forecast increase for the Advance Payments Program under the Agricultural Marketing Programs Act resulting from regulation changes, including for Canola producers.","Actual spending was lower than planned spending due to current low interest rates and several stays of default which extended the repayment deadlines, resulting in lower defaults and loan guarantee payments under the Advance Payments Program. In addition, claims for losses were lower under the Canadian Agricultural Loans Act program due to the slow down in realization and collection efforts by the lenders as a result of COVID-19.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP07","Farm Debt Mediation Service",1824628.00,2635127.47,1833403.00,1835356.00,15.00,13.00,15.00,15.00,,"Farm Debt Mediation Services is a demand-driven program based on participants' individual financial situations and whether or not they seek mediation services.

Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including COVID-19."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP08","Pest Management",12284790.00,9328111.38,12358718.00,12395917.00,57.00,57.00,57.00,57.00,,"Actual spending was lower than planned spending due to delayed project acivities as a result of COVID-19."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP09","Assurance Program",15413004.00,13748277.65,15413004.00,15413004.00,18.00,26.00,18.00,18.00,,"Actual spending was lower than planned spending since some of the approved project activities were shifted from year three to subsequent years. The Assurance program also faced delays as a result of the COVID-19 pandemic.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Canadian Agricultural Partnership program initiatives."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP10","Federal, Provincial and Territorial Cost-shared Assurance",33203451.00,26841608.29,33203451.00,33203451.00,6.00,8.00,6.00,6.00,,"As part of the Canadian Agricultural Partnership (the Partnership) five-year Framework, Federal-Provincial-Territorial Cost-shared programming is designed and delivered by the provinces and territories. Actual spending was lower than planned spending due to lower than expected program uptake as well as a shift in priorites due to COVID-19.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Canadian Agricultural Partnership program initiatives."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP11","Return of Payments",0.00,-11915931.47,0.00,0.00,0.00,0.00,0.00,0.00,"Return of Payments is used to record repayments to Agriculture and Agri-Food Canada for programs that have previously sunset. The actual repayments will be reported at year end.

Full-time equivalents in support of this program are shared and are reported under other programs.","The $11.9 million is related to a return of funding from statutory grant and contribution programs that have expired and are not included in the current Program Inventory. This is primarily related to the Hog Industry Loan Loss Reserve program."
"2020-2021",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP12","Mandatory Isolation Support for Temporary Foreign Workers Program",,72586283.52,,,,10.00,,,,
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS01","Management and Oversight Services",37534218.00,45762679.87,37398485.00,37085434.00,304.00,329.00,304.00,304.00,,"Actual spending was greater than planned spending due to efforts related to the Retail and Consumer Taskforce Team, the Mandatory Isolation for Temporary Foreign Workers Program, Environmental Policy, the Indigenous Agriculture Secretariat and the Next Policy Framework."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS02","Communications Services",11295902.00,13134549.40,11272291.00,11177934.00,94.00,90.00,94.00,94.00,,"Actual spending was greater than planned spending due to the Buy Canadian Promotion Campaign."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS03","Legal Services",2893643.00,4517473.74,2887594.00,2863423.00,5.00,7.00,5.00,5.00,,"Actual spending was greater than planned spending due to Bovine Spongiform Encephalopathy (BSE) Litigation costs.

Actual full-time equivalents were higher than planned as some vacant positions within the organization have been filled in 2020–21."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS04","Human Resources Management Services",20017329.00,25635836.42,19975488.00,19808280.00,217.00,231.00,217.00,217.00,,"Actual spending was greater than planned spending as it reflected on going needs of employees and meeting government priorities such as Diversity and Inclusion, Workplace Wellness and Occupational Health and Safety programs."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS05","Financial Management Services",10176918.00,20389540.60,10155646.00,10070636.00,224.00,238.00,224.00,224.00,,"Actual spending was greater than planned spending as it reflected ongoing service delivery improvements as well as the provision of support of the “SAP Solution” and transition to S4/HANNA."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS06","Information Management Services",21686997.00,18939192.97,21641667.00,21460512.00,129.00,125.00,129.00,129.00,,"Actual spending was lower than planned spending primarily due to timing of project delivery and services."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS07","Information Technology Services",39274839.00,51656771.24,39192746.00,38864676.00,175.00,209.00,175.00,175.00,,"Actual spending was greater than planned spending primarily due to amounts carried forward from 2019-20 and increased investment in Information Technology.

Actual full-time equivalents were higher than planned as some vacant positions within the organization have been filled in 2020–21."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS08","Real Property Management Services",9087534.00,10228042.73,9068539.00,8992629.00,52.00,49.00,52.00,52.00,,"Actual spending was greater than planned spending reflecting support for service delivery improvements, work on the Fixed Asset Review, modernization of the work place and agriculture science and technology initiatives."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS09","Materiel Management Services",229115.00,323427.12,228636.00,226723.00,1.00,1.00,1.00,1.00,,"Actual spending was greater than planned spending primarily due to amounts carried forward from 2019-20 and a realignment among programs."
"2020-2021",1,"Department of Agriculture and Agri-Food","Internal Services","ISS0Z","Acquisition Management Services",1443599.00,1627231.40,1440581.00,1428523.00,16.00,15.00,16.00,16.00,,"Actual spending was greater than planned spending primarily due to amounts carried forward from 2019-20 and a realignment among programs."
"2020-2021",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED01","Inclusive Communities",28144292.00,125967182.68,27237771.00,27202465.00,32.00,36.00,32.00,32.00,,
"2020-2021",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED02","Diversified Communities",75648154.00,57848085.86,72670826.00,72682467.00,76.00,71.00,76.00,76.00,,
"2020-2021",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED03","Research and Development and Commercialization",36634813.00,38143196.44,35782724.00,43192108.00,57.00,58.00,57.00,57.00,,
"2020-2021",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED04","Innovation Ecosystem",46971642.00,50379061.56,46886986.00,46888619.00,14.00,14.00,14.00,14.00,,
"2020-2021",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED05","Business Growth",51303012.00,245917056.48,50224681.00,50236759.00,93.00,99.00,93.00,93.00,,
"2020-2021",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED06","Trade and Investment",24112651.00,13618402.36,24013147.00,24179775.00,41.00,39.00,41.00,41.00,,
"2020-2021",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED07","Policy Research and Engagement",11240044.00,13163971.21,11016813.00,11034170.00,68.00,66.00,68.00,68.00,,
"2020-2021",12,"Atlantic Canada Opportunities Agency","Internal Services","ISS00","Internal Services",26793576.00,30008659.47,26265143.00,26345015.00,196.00,201.00,196.00,196.00,,
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF01","Targeting",82441338.00,70620698.85,82195883.00,81354911.00,369.00,306.00,370.00,363.00,,"Spending: Actual spending was less than planned spending mainly due to the COVID-19 pandemic and Canada’s pandemic response, including border restrictions throughout the fiscal year.

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF02","Intelligence Collection and Analysis",95736057.00,93063335.71,94197939.00,94012929.00,724.00,606.00,715.00,718.00,,"Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF03","Security Screening",19150306.00,14101824.13,13968722.00,13806909.00,162.00,132.00,136.00,135.00,,"Spending: Actual spending was less than planned spending mainly due to the COVID-19 pandemic and Canada’s pandemic response, including border restrictions throughout the fiscal year.

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF04","Traveller Facilitation and Compliance",655886415.00,535971121.56,544647730.00,535496191.00,5344.00,4463.00,5208.00,5144.00,,"Spending: Actual spending was less than planned spending mainly due to the COVID-19 pandemic and Canada’s pandemic response, including border restrictions throughout the fiscal year.

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF05","Commercial-Trade Facilitation and Compliance",422300276.00,432160413.44,342464203.00,327317060.00,3146.00,3407.00,3016.00,3015.00,,
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF06","Anti-Dumping and Countervailing",13375083.00,9092287.90,13225260.00,13189921.00,119.00,81.00,119.00,119.00,,"Spending: Actual spending was less than planned spending mainly due to COVID-19 impacts on program-related activities during the fiscal year, including delayed staffing plans. 

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF07","Trusted Traveller",18360495.00,11910057.07,17365096.00,17289789.00,198.00,176.00,197.00,196.00,,"Spending: Actual spending was less than planned spending mainly due to the COVID-19 pandemic and Canada’s pandemic response, including border restrictions throughout the fiscal year.

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF08","Trusted Trader",8301369.00,10305398.83,8252350.00,8222872.00,83.00,81.00,82.00,82.00,,"Spending: The variance between actual spending and planned spending is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF09","Recourse",16907494.00,19437620.96,17020320.00,16100239.00,139.00,123.00,140.00,132.00,,"Spending: The variance between actual spending and planned spending is mainly attributable to additional program-related activities during the fiscal year, including the implementation of a digitized recourse process. 

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF10","Force Generation",67764577.00,51775764.97,59632013.00,55379612.00,410.00,375.00,399.00,381.00,,"Spending: Actual spending was less than planned spending mainly due to the temporary closure of the CBSA College, Main Campus due to COVID-19 restrictions during the fiscal year."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF11","Buildings and Equipment",115689808.00,166095745.32,97056114.00,72245371.00,131.00,152.00,113.00,112.00,,"Spending: The variance between actual spending and planned spending is mainly attributable to new funding for this program. 

Full-time equivalents: Actual FTEs exceeded planned FTEs mainly due to the realignment of the CBSA’s human resources and activities by program in response to the COVID-19 pandemic, as well as evolving needs for project delivery in line with project lifecycles."
"2020-2021",26,"Canada Border Services Agency","Border Management","BUF12","Field Technology Support",47813319.00,38287862.94,35859242.00,36668379.00,134.00,121.00,130.00,127.00,,"Spending: Actual spending was less than planned spending mainly due to a change in the Government of Canada’s security posture in the procurement of specialized equipment, as well as the COVID-19 pandemic and Canada’s pandemic response, including the realignment of program-related activities given the reduction in border volumes during the fiscal year. 

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Enforcement","BUG01","Immigration Investigations",66302937.00,67176271.14,51020533.00,49633185.00,551.00,525.00,488.00,478.00,,
"2020-2021",26,"Canada Border Services Agency","Border Enforcement","BUG02","Detentions",68187050.00,64408133.98,66871073.00,52462262.00,168.00,132.00,171.00,153.00,,"Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Enforcement","BUG03","Hearings",51268900.00,41463838.99,41907880.00,38308834.00,464.00,381.00,397.00,370.00,,"Spending: Actual spending was less than planned spending mainly due to the COVID-19 pandemic and Canada’s pandemic response, including border restrictions throughout the fiscal year.

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Enforcement","BUG04","Removals",81376399.00,37295223.22,90598104.00,46543204.00,420.00,301.00,456.00,344.00,,"Spending: Actual spending was less than planned spending mainly due to the COVID-19 pandemic and Canada’s pandemic response, including border restrictions throughout the fiscal year.

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Border Enforcement","BUG05","Criminal Investigations",41444625.00,40789889.68,40003008.00,42215994.00,377.00,308.00,375.00,388.00,,"Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS01","Management and Oversight Services",63807187.00,104105559.54,64168506.00,62884482.00,558.00,771.00,562.00,549.00,,"Spending: Actual spending exceeded planned spending mainly due to the realignment of the CBSA’s planning and reporting capabilities by program to support its Functional Management Model.

Full-time equivalents: The increase in FTEs aligns with the continued implementation of the Agency’s Functional Management Model following the creation of the Strategic Policy Branch last fiscal year."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS02","Communications Services",14468439.00,15021645.30,13239236.00,10884812.00,106.00,121.00,105.00,105.00,,"Full-time equivalents: Actual FTEs exceeded planned FTEs mainly due to the realignment of the CBSA’s human resources and activities by program in response to the COVID-19 pandemic."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS03","Legal Services",11577733.00,15865357.04,11142044.00,10632623.00,6.00,8.00,6.00,6.00,,"Spending: Actual spending exceeded planned spending mainly due to additional charges for this program. 

Full-time equivalents: Actual FTEs exceeded planned FTEs mainly due to the realignment of the CBSA’s human resources and activities by program in response to the COVID-19 pandemic."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS04","Human Resources Management Services",58825742.00,71545007.74,59688113.00,59612808.00,553.00,635.00,559.00,558.00,,"Spending: Actual spending exceeded planned spending mainly due to the realignment of the CBSA’s planning and reporting capabilities by program to support its Functional Management Model.

Full-time equivalents: Actual FTEs exceeded planned FTEs mainly due to the realignment of the CBSA’s human resources and activities by program in response to the COVID-19 pandemic."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS05","Financial Management Services",33292152.00,41828744.95,34949174.00,31017827.00,239.00,256.00,242.00,233.00,,"Spending: Actual spending exceeded planned spending mainly due to the realignment of the CBSA’s planning and reporting capabilities by program to support its Functional Management Model."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS06","Information Management Services",16468350.00,18302417.72,18882550.00,20388722.00,66.00,61.00,71.00,70.00,,"Spending: Actual spending exceeded planned spending mainly due to the realignment of the CBSA’s planning and reporting capabilities by program to support its Functional Management Model."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS07","Information Technology Services",95755157.00,159311191.60,85342977.00,84734727.00,341.00,630.00,347.00,346.00,,"Spending: Actual spending exceeded planned spending due to new programming for Cloud and Information Technology Infrastructure, as well as increases in charges from Other Government Departments. This program also saw increased spending as a result of the realignment of the CBSA’s planning and reporting capabilities by program to support its Functional Management Model. 

Full-time equivalents: Actual FTEs exceeded planned FTEs mainly due to the realignment of the CBSA’s human resources and activities by program in response to the COVID-19 pandemic."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS08","Real Property Management Services",20012230.00,20942921.06,18142441.00,16355588.00,128.00,160.00,127.00,127.00,,"Full-time equivalents: Actual FTEs exceeded planned FTEs mainly due to the realignment of the CBSA’s human resources and activities by program in response to the COVID-19 pandemic."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS09","Materiel Management Services",11658729.00,9890228.82,11568028.00,11508976.00,26.00,35.00,26.00,26.00,,"Spending: Actual spending was less than planned spending mainly due to the realignment of the CBSA’s planning and reporting capabilities by program to support its Functional Management Model.

Full-time equivalents: Actual FTEs exceeded planned FTEs mainly due to the realignment of the CBSA’s human resources and activities by program in response to the COVID-19 pandemic."
"2020-2021",26,"Canada Border Services Agency","Internal Services","ISS0Z","Acquisition Management Services",9095668.00,6669285.44,8936333.00,8904892.00,73.00,49.00,71.00,71.00,,"Spending: Actual spending was less than planned spending mainly due to the realignment of the CBSA’s planning and reporting capabilities by program to support its Functional Management Model.

Full-time equivalents: Actual FTEs were less than planned FTEs, which is mainly attributable to the shifting of priorities and resources throughout the fiscal year in response to the COVID-19 pandemic, including delayed staffing plans for the front lines."
