fiscal_yr;org_id;service_id;channel;volume_meeting_target;total_volume;volume_not_meeting_target
2019-2020;136;909;OTH;304.0;305.0;1.0
2019-2020;136;910;OTH;109.0;112.0;3.0
2019-2020;136;914;TEL;3087.0;3087.0;0.0
2019-2020;136;916;OTH;282.0;292.0;10.0
2019-2020;136;938;ONL;101395.0;109384.0;7989.0
2019-2020;136;938;OTH;52615.0;57819.0;5204.0
2019-2020;136;938;TEL;32220.0;35407.0;3187.0
2019-2020;136;939;ONL;26480.0;26747.0;267.0
2019-2020;136;940;ONL;2909.0;6542.0;3633.0
2019-2020;136;960;ONL;3555.0;4086.0;531.0
2019-2020;136;984;EML;0.0;0.0;0.0
2019-2020;137;1208;EML;22.0;25.0;3.0
2019-2020;137;1992;ONL;2276.0;2278.0;2.0
2019-2020;137;1993;ONL;2444.0;3300.0;856.0
2019-2020;137;1994;EML;3.0;3.0;0.0
2019-2020;137;1995;TEL;5840.0;6146.0;306.0
2019-2020;137;2007;ONL;6570.0;6710.0;140.0
2019-2020;137;2038;OTH;120.0;131.0;11.0
2019-2020;137;2094;ONL;0.0;0.0;0.0
2019-2020;137;2095;ONL;0.0;0.0;0.0
2019-2020;137;243;ONL;50.0;53.0;3.0
2019-2020;137;245;ONL;25.0;26.0;1.0
2019-2020;137;247;ONL;71.0;129.0;58.0
2019-2020;137;254;ONL;0.0;0.0;0.0
2019-2020;137;255;EML;27.0;27.0;0.0
2019-2020;137;261;EML;84.0;84.0;0.0
2019-2020;137;262;ONL;1720.0;1800.0;80.0
2019-2020;137;263;EML;146.0;182.0;36.0
2019-2020;137;263;ONL;34.0;34.0;0.0
2019-2020;137;263;POST;39.0;67.0;28.0
2019-2020;137;263;TEL;42.0;53.0;11.0
2019-2020;137;265;EML;82.0;82.0;0.0
2019-2020;137;267;ONL;0.0;0.0;0.0
2019-2020;137;268;ONL;37.0;37.0;0.0
2019-2020;137;687;ONL;2185.0;2185.0;0.0
2019-2020;137;688;ONL;0.0;10248.0;10248.0
2019-2020;137;689;ONL;67163.0;68583.0;1420.0
2019-2020;137;950;EML;605.0;605.0;0.0
2019-2020;137;950;ONL;0.0;0.0;0.0
2019-2020;137;950;PERSON;252.0;252.0;0.0
2019-2020;137;950;TEL;77.0;77.0;0.0
2019-2020;137;965;EML;4.0;4.0;0.0
2019-2020;137;977;OTH;77.0;81.0;4.0
2019-2020;137;979;ONL;193.0;354.0;161.0
2019-2020;137;980;ONL;954.0;987.0;33.0
2019-2020;137;985;OTH;11.0;11.0;0.0
2019-2020;137;986;OTH;4656.0;5382.0;726.0
2019-2020;137;987;OTH;2820.0;2873.0;53.0
2019-2020;137;988;OTH;213.0;222.0;9.0
2019-2020;138;1535;OTH;1.0;1.0;0.0
2019-2020;138;1536;OTH;224.0;225.0;1.0
2019-2020;138;1538;OTH;17.0;20.0;3.0
2019-2020;138;1539;OTH;8.0;8.0;0.0
2019-2020;138;1540;OTH;0.0;0.0;0.0
2019-2020;138;1541;OTH;6.0;6.0;0.0
2019-2020;138;1542;OTH;6.0;9.0;3.0
2019-2020;138;1543;OTH;245.0;252.0;7.0
2019-2020;138;1564;OTH;399.0;399.0;0.0
2019-2020;138;1579;OTH;9.0;9.0;0.0
2019-2020;138;1581;OTH;197.0;199.0;2.0
2019-2020;138;1584;OTH;190.0;219.0;29.0
2019-2020;138;1585;OTH;36.0;38.0;2.0
2019-2020;138;1586;OTH;11.0;12.0;1.0
2019-2020;138;1587;OTH;28.0;29.0;1.0
2019-2020;138;1589;OTH;2.0;2.0;0.0
2019-2020;138;1590;OTH;1.0;1.0;0.0
2019-2020;138;1591;OTH;1.0;1.0;0.0
2019-2020;138;1592;OTH;3.0;3.0;0.0
2019-2020;138;1593;OTH;4.0;4.0;0.0
2019-2020;138;1594;OTH;11.0;12.0;1.0
2019-2020;138;1595;OTH;8.0;8.0;0.0
2019-2020;138;1596;OTH;11.0;12.0;1.0
2019-2020;138;1612;OTH;0.0;0.0;0.0
2019-2020;138;1614;OTH;0.0;0.0;0.0
2019-2020;138;1616;OTH;29.0;29.0;0.0
2019-2020;138;1620;OTH;0.0;0.0;0.0
2019-2020;138;1621;OTH;21.0;22.0;1.0
2019-2020;138;1622;OTH;0.0;0.0;0.0
2019-2020;138;1623;OTH;3.0;3.0;0.0
2019-2020;138;1624;OTH;215.0;215.0;0.0
2019-2020;138;1629;OTH;0.0;4909.0;4909.0
2019-2020;138;1631;OTH;27.0;29.0;2.0
2019-2020;138;1632;OTH;24.0;26.0;2.0
2019-2020;138;1634;OTH;31.0;32.0;1.0
2019-2020;138;1635;OTH;1.0;1.0;0.0
2019-2020;138;1636;OTH;1.0;1.0;0.0
2019-2020;138;1637;OTH;829.0;1128.0;299.0
2019-2020;138;1638;OTH;2769.0;3207.0;438.0
2019-2020;138;1646;OTH;0.0;19039.0;19039.0
2019-2020;138;1648;OTH;13893.0;19642.0;5749.0
2019-2020;138;1649;OTH;4346.0;5140.0;794.0
2019-2020;138;1650;OTH;112.0;117.0;5.0
2019-2020;138;1655;OTH;873.0;1232.0;359.0
2019-2020;138;1659;OTH;28.0;65.0;37.0
2019-2020;138;1660;OTH;18030.0;18292.0;262.0
2019-2020;138;1664;OTH;721.0;826.0;105.0
2019-2020;138;2055;OTH;65265.0;82362.0;17097.0
2019-2020;138;2070;OTH;1.0;1.0;0.0
2019-2020;138;2073;OTH;1.0;1.0;0.0
2019-2020;138;2074;OTH;28.0;34.0;6.0
2019-2020;138;2075;OTH;15.0;15.0;0.0
2019-2020;138;2076;OTH;18.0;18.0;0.0
2019-2020;138;2085;OTH;36.0;36.0;0.0
2019-2020;139;1257;OTH;5877.0;25286.0;19409.0
2019-2020;139;1264;OTH;888.0;1020.0;132.0
2019-2020;139;1269;OTH;785.0;903.0;118.0
2019-2020;139;1270;OTH;7179.0;7179.0;0.0
2019-2020;139;1271;OTH;31645.0;31645.0;0.0
2019-2020;139;1273;OTH;209.0;209.0;0.0
2019-2020;139;1277;OTH;444.0;444.0;0.0
2019-2020;139;1279;OTH;14427.0;14429.0;2.0
2019-2020;139;1280;OTH;198.0;206.0;8.0
2019-2020;139;1281;OTH;1208.0;1359.0;151.0
2019-2020;139;1283;OTH;1078.0;1416.0;338.0
2019-2020;139;1561;OTH;1452.0;2712.0;1260.0
2019-2020;139;1707;OTH;1049.0;1223.0;174.0
2019-2020;139;1973;OTH;396.0;400.0;4.0
2019-2020;139;1996;OTH;3135.0;3344.0;209.0
2019-2020;139;2005;OTH;590.0;1533.0;943.0
2019-2020;140;21;ONL;888.0;898.0;10.0
2019-2020;140;21;OTH;1002.0;1045.0;43.0
2019-2020;140;22;OTH;213.0;224.0;11.0
2019-2020;140;57;OTH;54.0;66.0;12.0
2019-2020;141;849;OTH;60.0;61.0;1.0
2019-2020;141;851;ONL;0.0;0.0;0.0
2019-2020;141;851;OTH;0.0;0.0;0.0
2019-2020;141;869;ONL;19.0;19.0;0.0
2019-2020;150;2158;EML;386.0;400.0;14.0
2019-2020;151;1871;ONL;8.0;13.0;5.0
2019-2020;151;907;TEL;8153.0;9265.0;1112.0
2019-2020;152;172;OTH;0.0;0.0;0.0
2019-2020;152;172;TEL;0.0;0.0;0.0
2019-2020;152;195;ONL;0.0;0.0;0.0
2019-2020;174;429;OTH;99.0;2668.0;2569.0
2019-2020;199;1854;OTH;1754.0;2454.0;700.0
2019-2020;199;1868;ONL;0.0;0.0;0.0
2019-2020;221;2013;ONL;5.0;8.0;3.0
2019-2020;221;2014;EML;4.0;4.0;0.0
2019-2020;221;2023;ONL;3.0;3.0;0.0
2019-2020;221;289;ONL;26.0;26.0;0.0
2019-2020;221;290;ONL;1.0;2.0;1.0
2019-2020;221;291;ONL;17.0;21.0;4.0
2019-2020;221;292;ONL;207.0;219.0;12.0
2019-2020;221;293;ONL;11.0;11.0;0.0
2019-2020;221;294;ONL;21.0;25.0;4.0
2019-2020;221;296;OTH;25.0;27.0;2.0
2019-2020;221;299;OTH;40.0;40.0;0.0
2019-2020;221;304;OTH;0.0;0.0;0.0
2019-2020;221;309;OTH;29.0;29.0;0.0
2019-2020;221;314;OTH;548.0;613.0;65.0
2019-2020;221;315;OTH;34.0;38.0;4.0
2019-2020;223;1506;OTH;5585.0;6205.0;620.0
2019-2020;223;1526;OTH;4536.0;5040.0;504.0
2019-2020;223;1728;OTH;10.0;14.0;4.0
2019-2020;227;1892;POST;10391.0;10415.0;24.0
2019-2020;227;1894;EML;6919.0;6970.0;51.0
2019-2020;227;1896;POST;41.0;41.0;0.0
2019-2020;227;1899;OTH;0.0;0.0;0.0
2019-2020;227;1917;OTH;390.0;396.0;6.0
2019-2020;227;1931;EML;0.0;0.0;0.0
2019-2020;227;1931;OTH;0.0;0.0;0.0
2019-2020;227;1931;POST;0.0;0.0;0.0
2019-2020;228;1275;ONL;27679.0;28953.0;1274.0
2019-2020;228;1339;TEL;6641.0;10380.0;3739.0
2019-2020;228;1549;OTH;579.0;579.0;0.0
2019-2020;228;1550;OTH;55.0;71.0;16.0
2019-2020;228;1553;ONL;0.0;113316.0;113316.0
2019-2020;228;1553;OTH;12131.0;12506.0;375.0
2019-2020;228;1556;OTH;18.0;23.0;5.0
2019-2020;228;1557;OTH;1243.0;1243.0;0.0
2019-2020;230;169;ONL;14483.0;14854.0;371.0
2019-2020;230;690;OTH;345.0;350.0;5.0
2019-2020;230;691;OTH;0.0;0.0;0.0
2019-2020;230;757;ONL;10618.0;10890.0;272.0
2019-2020;230;758;ONL;4934.0;5060.0;126.0
2019-2020;230;759;OTH;41.0;41.0;0.0
2019-2020;237;1772;OTH;37.0;53.0;16.0
2019-2020;237;1773;OTH;506.0;538.0;32.0
2019-2020;237;1774;OTH;171.0;185.0;14.0
2019-2020;237;1775;OTH;124.0;128.0;4.0
2019-2020;237;1776;OTH;139.0;145.0;6.0
2019-2020;237;1779;OTH;33.0;36.0;3.0
2019-2020;237;1780;OTH;0.0;0.0;0.0
2019-2020;237;1781;OTH;2.0;3.0;1.0
2019-2020;237;1785;OTH;137.0;139.0;2.0
2019-2020;237;1789;OTH;223.0;243.0;20.0
2019-2020;237;1790;OTH;700.0;740.0;40.0
2019-2020;237;1828;OTH;12.0;13.0;1.0
2019-2020;246;2104;ONL;566.0;723.0;157.0
2019-2020;246;2105;ONL;54.0;73.0;19.0
2019-2020;246;2106;ONL;13.0;15.0;2.0
2019-2020;247;1823;TEL;3787.0;4470.0;683.0
2019-2020;247;1824;ONL;36.0;43.0;7.0
2019-2020;247;1825;TEL;20.0;20.0;0.0
2019-2020;253;1220;OTH;723.0;769.0;46.0
2019-2020;253;1228;OTH;0.0;0.0;0.0
2019-2020;253;1249;OTH;791.0;791.0;0.0
2019-2020;253;1251;OTH;21.0;21.0;0.0
2019-2020;253;1326;PERSON;0.0;0.0;0.0
2019-2020;253;1328;OTH;42.0;45.0;3.0
2019-2020;26;1548;OTH;2047.0;2049.0;2.0
2019-2020;26;664;ONL;510670.0;527116.0;16446.0
2019-2020;26;665;POST;1553.0;1627.0;74.0
2019-2020;26;667;ONL;13746.0;13746.0;0.0
2019-2020;26;668;POST;514.0;514.0;0.0
2019-2020;26;669;PERSON;257080.0;267068.0;9988.0
2019-2020;26;679;TEL;280714.0;370824.0;90110.0
2019-2020;26;680;OTH;2282.0;2284.0;2.0
2019-2020;26;719;OTH;1748.0;1961.0;213.0
2019-2020;26;723;POST;249.0;260.0;11.0
2019-2020;26;728;ONL;288831.0;461517.0;172686.0
2019-2020;26;728;PERSON;4619720.0;4634237.0;14517.0
2019-2020;26;731;POST;18.0;18.0;0.0
2019-2020;26;733;POST;32.0;32.0;0.0
2019-2020;26;734;POST;160.0;166.0;6.0
2019-2020;26;737;POST;1287.0;1598.0;311.0
2019-2020;26;740;POST;14.0;14.0;0.0
2019-2020;26;741;POST;0.0;0.0;0.0
2019-2020;26;742;OTH;71.0;71.0;0.0
2019-2020;26;743;POST;125604.0;125604.0;0.0
2019-2020;26;744;POST;124958.0;197963.0;73005.0
2019-2020;26;745;POST;1025.0;1190.0;165.0
2019-2020;26;746;POST;2948.0;3369.0;421.0
2019-2020;26;748;OTH;6500.0;7404.0;904.0
2019-2020;26;749;OTH;4970.0;6238.0;1268.0
2019-2020;26;750;OTH;564.0;706.0;142.0
2019-2020;26;752;OTH;21227.0;21819.0;592.0
2019-2020;26;755;OTH;8016.0;8056.0;40.0
2019-2020;263;1223;EML;0.0;0.0;0.0
2019-2020;263;961;ONL;77.0;133.0;56.0
2019-2020;266;1821;EML;0.0;0.0;0.0
2019-2020;266;1821;ONL;26.0;29.0;3.0
2019-2020;266;1821;POST;0.0;0.0;0.0
2019-2020;280;1132;OTH;67236.0;74444.0;7208.0
2019-2020;280;1142;PERSON;7.0;7.0;0.0
2019-2020;280;1720;OTH;17.0;17.0;0.0
2019-2020;280;1870;OTH;907.0;907.0;0.0
2019-2020;280;1870;TEL;825.0;825.0;0.0
2019-2020;280;888;OTH;1978.0;2125.0;147.0
2019-2020;280;890;OTH;20.0;20.0;0.0
2019-2020;280;891;ONL;313.0;325.0;12.0
2019-2020;280;892;OTH;106.0;110.0;4.0
2019-2020;280;895;OTH;1190.0;1190.0;0.0
2019-2020;280;896;OTH;100.0;153.0;53.0
2019-2020;280;898;TEL;3003.0;3618.0;615.0
2019-2020;280;899;OTH;3982.0;4279.0;297.0
2019-2020;282;1042;EML;12.0;16.0;4.0
2019-2020;282;1154;ONL;988.0;988.0;0.0
2019-2020;282;1155;ONL;55316.0;55316.0;0.0
2019-2020;282;1156;ONL;153.0;153.0;0.0
2019-2020;282;1176;ONL;152.0;154.0;2.0
2019-2020;282;1180;ONL;912.0;1105.0;193.0
2019-2020;282;1195;ONL;43914.0;45520.0;1606.0
2019-2020;282;1202;ONL;1861.0;2546.0;685.0
2019-2020;282;1204;ONL;144000.0;200000.0;56000.0
2019-2020;282;1372;EML;985.0;985.0;0.0
2019-2020;282;1397;ONL;494.0;548.0;54.0
2019-2020;282;1407;ONL;62.0;64.0;2.0
2019-2020;282;1505;ONL;42.0;42.0;0.0
2019-2020;282;1507;EML;127.0;127.0;0.0
2019-2020;282;1509;EML;43.0;43.0;0.0
2019-2020;295;1866;EML;51500.0;53600.0;2100.0
2019-2020;295;1872;OTH;0.0;9806.0;9806.0
2019-2020;295;1872;TEL;0.0;9806.0;9806.0
2019-2020;295;1873;OTH;150647.0;150647.0;0.0
2019-2020;295;1873;TEL;150647.0;150647.0;0.0
2019-2020;295;926;ONL;418672.0;460332.0;41660.0
2019-2020;295;926;POST;418672.0;460332.0;41660.0
2019-2020;295;927;POST;0.0;1020.0;1020.0
2019-2020;295;928;OTH;0.0;0.0;0.0
2019-2020;295;929;OTH;630000.0;700000.0;70000.0
2019-2020;295;937;ONL;5907.0;8500.0;2593.0
2019-2020;295;937;OTH;5907.0;8500.0;2593.0
2019-2020;296;1472;OTH;4.0;5.0;1.0
2019-2020;305;15;ONL;0.0;30347.0;30347.0
2019-2020;305;1849;ONL;0.0;0.0;0.0
2019-2020;305;1989;ONL;0.0;34564.0;34564.0
2019-2020;305;34;ONL;0.0;45997.0;45997.0
2019-2020;305;36;ONL;0.0;165758.0;165758.0
2019-2020;305;37;ONL;0.0;10011457.0;10011457.0
2019-2020;305;46;ONL;0.0;28.0;28.0
2019-2020;305;47;ONL;0.0;8.0;8.0
2019-2020;305;48;ONL;0.0;10290.0;10290.0
2019-2020;305;8;ONL;0.0;11408.0;11408.0
2019-2020;306;1445;OTH;47.0;50.0;3.0
2019-2020;306;173;EML;2465.0;3626.0;1161.0
2019-2020;306;173;ONL;2783.0;2783.0;0.0
2019-2020;306;173;OTH;948.0;948.0;0.0
2019-2020;306;178;ONL;4605.0;4961.0;356.0
2019-2020;306;178;OTH;11589.0;11719.0;130.0
2019-2020;306;357;OTH;1120.0;1222.0;102.0
2019-2020;306;425;OTH;1244.0;1352.0;108.0
2019-2020;306;655;ONL;11.0;12.0;1.0
2019-2020;306;656;OTH;0.0;0.0;0.0
2019-2020;313;1002;ONL;0.0;0.0;0.0
2019-2020;313;1046;ONL;0.0;0.0;0.0
2019-2020;313;1047;ONL;0.0;0.0;0.0
2019-2020;313;1299;EML;0.0;0.0;0.0
2019-2020;313;1299;ONL;0.0;0.0;0.0
2019-2020;313;1299;OTH;0.0;0.0;0.0
2019-2020;313;1299;TEL;0.0;0.0;0.0
2019-2020;313;1309;ONL;0.0;0.0;0.0
2019-2020;313;1317;ONL;0.0;0.0;0.0
2019-2020;313;1318;ONL;0.0;0.0;0.0
2019-2020;313;1319;ONL;0.0;0.0;0.0
2019-2020;313;1320;ONL;0.0;0.0;0.0
2019-2020;313;1321;ONL;0.0;0.0;0.0
2019-2020;313;1327;ONL;0.0;0.0;0.0
2019-2020;313;1330;OTH;0.0;0.0;0.0
2019-2020;313;1343;OTH;0.0;0.0;0.0
2019-2020;313;1351;ONL;0.0;0.0;0.0
2019-2020;313;1352;OTH;0.0;0.0;0.0
2019-2020;313;1353;OTH;0.0;0.0;0.0
2019-2020;313;1354;OTH;0.0;0.0;0.0
2019-2020;313;1355;OTH;0.0;0.0;0.0
2019-2020;313;1391;ONL;0.0;0.0;0.0
2019-2020;313;1393;ONL;0.0;0.0;0.0
2019-2020;313;1414;ONL;0.0;0.0;0.0
2019-2020;313;1415;OTH;0.0;0.0;0.0
2019-2020;313;995;ONL;0.0;0.0;0.0
2019-2020;326;1347;EML;70.0;88.0;18.0
2019-2020;326;1347;OTH;134.0;420.0;286.0
2019-2020;326;1348;EML;12985.0;18550.0;5565.0
2019-2020;326;2016;EML;820.0;863.0;43.0
2019-2020;326;2017;ONL;136.0;136.0;0.0
2019-2020;326;2035;EML;5637.0;5694.0;57.0
2019-2020;333;53;OTH;1216.0;2285.0;1069.0
2019-2020;333;800;OTH;52.0;52.0;0.0
2019-2020;348;1366;ONL;0.0;0.0;0.0
2019-2020;348;1367;ONL;0.0;73366.0;73366.0
2019-2020;348;1717;OTH;1209.0;1452.0;243.0
2019-2020;348;2041;OTH;3985.0;3985.0;0.0
2019-2020;348;2043;PERSON;291.0;343.0;52.0
2019-2020;348;2047;EML;0.0;0.0;0.0
2019-2020;348;2047;PERSON;0.0;0.0;0.0
2019-2020;348;2047;POST;0.0;0.0;0.0
2019-2020;348;2047;TEL;0.0;0.0;0.0
2019-2020;348;2048;OTH;49832.0;52924.0;3092.0
2019-2020;348;2058;EML;0.0;260.0;260.0
2019-2020;348;2058;TEL;0.0;100.0;100.0
2019-2020;348;2060;ONL;0.0;0.0;0.0
2019-2020;46;1097;ONL;21843142.0;22468376.0;625234.0
2019-2020;46;1097;OTH;2101988.0;2157061.0;55073.0
2019-2020;46;1098;ONL;2367841.0;2393970.0;26129.0
2019-2020;46;1098;OTH;345000.0;458874.0;113874.0
2019-2020;46;1099;ONL;6900588.0;7219208.0;318620.0
2019-2020;46;1099;OTH;468723.0;477990.0;9267.0
2019-2020;46;1100;OTH;1187.0;1366.0;179.0
2019-2020;46;1101;ONL;2208219.0;2293873.0;85654.0
2019-2020;46;1104;OTH;95.0;112.0;17.0
2019-2020;46;1107;ONL;4539.0;4706.0;167.0
2019-2020;46;1107;OTH;4148.0;4231.0;83.0
2019-2020;46;1113;OTH;56996.0;63338.0;6342.0
2019-2020;46;1115;OTH;300634.0;304238.0;3604.0
2019-2020;46;1117;OTH;0.0;0.0;0.0
2019-2020;46;1139;TEL;6728235.0;14032392.0;7304157.0
2019-2020;46;1141;TEL;2427998.0;4340157.0;1912159.0
2019-2020;46;1143;TEL;1620456.0;3979725.0;2359269.0
2019-2020;47;18;OTH;24080.0;30739.0;6659.0
2019-2020;47;18;TEL;38665.0;44175.0;5510.0
2019-2020;47;943;ONL;60.0;60.0;0.0
2019-2020;539;1818;ONL;194.0;206.0;12.0
2019-2020;539;712;OTH;0.0;0.0;0.0
2019-2020;552;993;ONL;56.0;56.0;0.0
2019-2020;552;994;ONL;47.0;47.0;0.0
2019-2020;63;1678;ONL;1260.0;1385.0;125.0
2019-2020;63;1679;ONL;6000.0;6000.0;0.0
2019-2020;63;1710;OTH;5.0;5.0;0.0
2019-2020;63;1714;OTH;0.0;0.0;0.0
2019-2020;63;2115;ONL;0.0;0.0;0.0
2019-2020;63;2117;OTH;1.0;1.0;0.0
2019-2020;63;2121;OTH;0.0;0.0;0.0
2019-2020;65;1;POST;2098.0;3311.0;1213.0
2019-2020;65;1978;ONL;5147.0;5199.0;52.0
2019-2020;65;1978;POST;16.0;18.0;2.0
2019-2020;65;1979;ONL;298.0;320.0;22.0
2019-2020;65;1982;ONL;0.0;332893.0;332893.0
2019-2020;65;2;ONL;0.0;3815.0;3815.0
2019-2020;65;2;POST;0.0;496.0;496.0
2019-2020;65;3;POST;102.0;104.0;2.0
2019-2020;65;4;ONL;114.0;127.0;13.0
2019-2020;65;5;OTH;14.0;29.0;15.0
2019-2020;65;6;OTH;23.0;26.0;3.0
2019-2020;69;1977;EML;275.0;276.0;1.0
2019-2020;69;1988;EML;13.0;13.0;0.0
2019-2020;69;1991;ONL;14669.0;15116.0;447.0
2019-2020;69;1997;EML;5.0;5.0;0.0
2019-2020;69;1998;EML;901.0;901.0;0.0
2019-2020;69;1999;EML;18615.0;18615.0;0.0
2019-2020;69;2000;EML;979.0;980.0;1.0
2019-2020;69;2001;EML;9332.0;9332.0;0.0
2019-2020;69;2002;EML;204.0;210.0;6.0
2019-2020;69;2003;ONL;670.0;670.0;0.0
2019-2020;71;1187;ONL;65.0;87.0;22.0
2019-2020;74;1122;OTH;23037.0;30635.0;7598.0
2019-2020;74;2155;ONL;10452.0;10452.0;0.0
2019-2020;76;1862;TEL;98.0;191.0;93.0
2019-2020;86;1533;ONL;2.0;6.0;4.0
2019-2020;86;657;ONL;231.0;252.0;21.0
2019-2020;87;912;POST;129.0;147.0;18.0
2019-2020;87;915;EML;248.0;256.0;8.0
2019-2020;87;917;EML;44.0;49.0;5.0
2019-2020;87;918;EML;1733.0;2149.0;416.0
2019-2020;87;919;EML;979.0;1022.0;43.0
2019-2020;87;920;EML;67.0;76.0;9.0
2019-2020;87;921;EML;169.0;206.0;37.0
2019-2020;93;1874;OTH;82.0;83.0;1.0
2019-2020;93;1875;FAX;64.0;64.0;0.0
2019-2020;93;1875;ONL;710180.0;710180.0;0.0
2019-2020;93;1875;PERSON;21817.0;22727.0;910.0
2019-2020;93;1875;TEL;77619.0;77619.0;0.0
2019-2020;95;1458;EML;13.0;15.0;2.0
2019-2020;95;1458;ONL;51.0;60.0;9.0
2019-2020;95;1458;POST;3.0;3.0;0.0
2019-2020;95;1462;EML;2.0;2.0;0.0
2019-2020;95;1467;EML;0.0;0.0;0.0
2019-2020;95;1467;ONL;536.0;595.0;59.0
2019-2020;95;1467;TEL;0.0;0.0;0.0
2019-2020;95;1468;EML;0.0;0.0;0.0
2019-2020;95;1469;ONL;0.0;0.0;0.0
2019-2020;95;1473;ONL;732.0;732.0;0.0
2019-2020;95;1474;ONL;19.0;19.0;0.0
2019-2020;95;1475;ONL;112.0;112.0;0.0
2019-2020;95;1658;EML;0.0;0.0;0.0
2019-2020;95;1658;ONL;1369.0;1488.0;119.0
2019-2020;95;1671;POST;1812.0;1839.0;27.0
2019-2020;99;165;ONL;3103.0;5965.0;2862.0
2019-2020;99;167;ONL;787.0;846.0;59.0
2019-2020;99;2114;ONL;647.0;688.0;41.0
2020-2021;1;127;EML;84.0;86.0;2.0
2020-2021;1;129;EML;97.0;97.0;0.0
2020-2021;1;130;EML;63.0;63.0;0.0
2020-2021;1;130;TEL;19.0;19.0;0.0
2020-2021;1;131;EML;21.0;22.0;1.0
2020-2021;1;131;TEL;0.0;0.0;0.0
2020-2021;1;132;EML;72.0;84.0;12.0
2020-2021;1;132;ONL;5.0;5.0;0.0
2020-2021;1;132;TEL;94.0;101.0;7.0
2020-2021;1;133;ONL;103842.0;104419.0;577.0
2020-2021;1;134;ONL;4669.0;5333.0;664.0
2020-2021;1;135;EML;308.0;318.0;10.0
2020-2021;1;135;TEL;1410.0;1464.0;54.0
2020-2021;1;136;EML;29.0;30.0;1.0
2020-2021;1;136;ONL;90.0;92.0;2.0
2020-2021;1;136;TEL;14.0;14.0;0.0
2020-2021;1;137;EML;62.0;64.0;2.0
2020-2021;1;137;ONL;145.0;152.0;7.0
2020-2021;1;137;TEL;12.0;12.0;0.0
2020-2021;1;138;EML;141.0;152.0;11.0
2020-2021;1;138;ONL;117.0;124.0;7.0
2020-2021;1;138;TEL;53.0;53.0;0.0
2020-2021;1;139;EML;158.0;194.0;36.0
2020-2021;1;139;ONL;16.0;21.0;5.0
2020-2021;1;139;TEL;153.0;153.0;0.0
2020-2021;1;140;EML;8.0;9.0;1.0
2020-2021;1;140;ONL;0.0;0.0;0.0
2020-2021;1;140;TEL;4.0;4.0;0.0
2020-2021;1;144;EML;43.0;47.0;4.0
2020-2021;1;144;ONL;33.0;33.0;0.0
2020-2021;1;144;TEL;11.0;11.0;0.0
2020-2021;1;145;EML;2405.0;2480.0;75.0
2020-2021;1;145;ONL;638.0;797.0;159.0
2020-2021;1;145;TEL;370.0;374.0;4.0
2020-2021;1;146;EML;37.0;54.0;17.0
2020-2021;1;146;ONL;10.0;11.0;1.0
2020-2021;1;146;TEL;9.0;9.0;0.0
2020-2021;1;147;EML;0.0;0.0;0.0
2020-2021;1;147;ONL;39.0;43.0;4.0
2020-2021;1;147;TEL;0.0;0.0;0.0
2020-2021;1;148;EML;84.0;87.0;3.0
2020-2021;1;148;ONL;63.0;63.0;0.0
2020-2021;1;149;EML;175.0;175.0;0.0
2020-2021;1;149;TEL;17.0;17.0;0.0
2020-2021;1;152;EML;97.0;99.0;2.0
2020-2021;1;152;ONL;37.0;37.0;0.0
2020-2021;1;152;TEL;0.0;0.0;0.0
2020-2021;1;154;EML;13.0;14.0;1.0
2020-2021;1;154;ONL;56.0;74.0;18.0
2020-2021;1;154;TEL;46.0;46.0;0.0
2020-2021;1;156;EML;371.0;410.0;39.0
2020-2021;1;156;ONL;420.0;472.0;52.0
2020-2021;1;156;TEL;414.0;424.0;10.0
2020-2021;1;158;EML;16.0;17.0;1.0
2020-2021;1;158;ONL;12.0;13.0;1.0
2020-2021;1;158;TEL;3.0;3.0;0.0
2020-2021;1;161;EML;48.0;51.0;3.0
2020-2021;1;161;ONL;12.0;16.0;4.0
2020-2021;1;161;TEL;25.0;25.0;0.0
2020-2021;1;162;EML;377.0;431.0;54.0
2020-2021;1;162;ONL;18.0;22.0;4.0
2020-2021;1;162;TEL;81.0;83.0;2.0
2020-2021;1;163;EML;0.0;0.0;0.0
2020-2021;1;163;ONL;8.0;8.0;0.0
2020-2021;1;163;TEL;3.0;3.0;0.0
2020-2021;1;1980;EML;7.0;12.0;5.0
2020-2021;1;1980;ONL;4.0;4.0;0.0
2020-2021;1;1980;TEL;4.0;4.0;0.0
2020-2021;1;1981;EML;10.0;12.0;2.0
2020-2021;1;1981;ONL;13.0;17.0;4.0
2020-2021;1;1981;TEL;11.0;11.0;0.0
2020-2021;1;1984;EML;220.0;224.0;4.0
2020-2021;1;1984;ONL;26.0;26.0;0.0
2020-2021;1;1984;TEL;41.0;41.0;0.0
2020-2021;1;1985;EML;1257.0;1409.0;152.0
2020-2021;1;1985;ONL;367.0;388.0;21.0
2020-2021;1;1985;TEL;501.0;501.0;0.0
2020-2021;1;1986;EML;0.0;0.0;0.0
2020-2021;1;1986;TEL;2500.0;2500.0;0.0
2020-2021;1;2201;EML;8265.0;10679.0;2414.0
2020-2021;1;2201;ONL;2289.0;3323.0;1034.0
2020-2021;1;2201;TEL;2779.0;2944.0;165.0
2020-2021;1;2213;EML;349.0;382.0;33.0
2020-2021;1;2213;ONL;67.0;79.0;12.0
2020-2021;1;2213;TEL;164.0;166.0;2.0
