fiscal_yr;department_en;department_fr;org_id;online_e2e_count;service_count_maf5;maf5_score
2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;10;63;15.873015873015872
2018-2019;Department of Finance Canada;Ministère des Finances Canada;124;0;1;0.0
2018-2019;Department of Indigenous Services;Ministère des Services aux Autochtones;348;5;65;7.6923076923076925
2018-2019;Department of Justice Canada;Ministère de la Justice Canada;132;1;6;16.666666666666664
2018-2019;Employment and Social Development Canada;Emploi et Développement social Canada;128;12;36;33.33333333333333
2018-2019;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;5;33;15.151515151515152
2018-2019;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;4;0.0
2018-2019;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;0;3;0.0
2018-2019;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;2;7;28.57142857142857
2018-2019;Fisheries and Oceans Canada;Pêches et Océans Canada;125;3;55;5.454545454545454
2018-2019;Global Affairs Canada;Affaires mondiales Canada;126;7;36;19.444444444444446
2018-2019;Health Canada;Santé Canada;127;3;84;3.571428571428571
2018-2019;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;2;19;10.526315789473683
2018-2019;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1;6;16.666666666666664
2018-2019;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;21;74;28.37837837837838
2018-2019;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;3;8;37.5
2018-2019;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;12;44;27.27272727272727
2018-2019;Invest in Canada Hub;Investir au Canada;347;0;5;0.0
2018-2019;Library and Archives Canada;Bibliothèque et Archives Canada;199;0;8;0.0
2018-2019;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;2;0.0
2018-2019;National Defence;Défense nationale;133;1;11;9.090909090909092
2018-2019;National Film Board;Office national du film;223;1;3;33.33333333333333
2018-2019;National Research Council Canada;Conseil national de recherches Canada;228;6;15;40.0
2018-2019;Natural Resources Canada;Ressources naturelles Canada;134;14;33;42.42424242424242
2018-2019;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;5;6;83.33333333333334
2018-2019;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;2;6;33.33333333333333
2018-2019;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;0;7;0.0
2018-2019;Parks Canada;Parcs Canada;263;0;14;0.0
2018-2019;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;4;11;36.36363636363637
2018-2019;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1;2;50.0
2018-2019;Polar Knowledge Canada;Savoir polaire Canada;552;0;3;0.0
2018-2019;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;2;4;50.0
2018-2019;Privy Council Office;Bureau du Conseil privé;278;1;11;9.090909090909092
2018-2019;Public Health Agency of Canada;Agence de la santé publique du Canada;280;1;13;7.6923076923076925
2018-2019;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;1;0.0
2018-2019;Public Safety Canada;Sécurité publique Canada;135;0;53;0.0
2018-2019;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;17;25;68.0
2018-2019;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;13;43;30.23255813953488
2018-2019;RCMP External Review Committee;Comité externe d'examen de la GRC;296;0;1;0.0
2018-2019;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;2;15;13.333333333333334
2018-2019;Shared Services Canada;Services partagés Canada;305;7;26;26.923076923076923
2018-2019;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;3;7;42.857142857142854
2018-2019;Statistics Canada;Statistique Canada;313;21;23;91.30434782608695
2018-2019;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;3;0.0
2018-2019;The National Battlefields Commission;Commission des champs de bataille nationaux;218;3;7;42.857142857142854
2018-2019;Transport Canada;Transports Canada;138;0;96;0.0
2018-2019;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;3;0.0
2018-2019;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;3;7;42.857142857142854
2018-2019;Veterans Affairs Canada;Anciens Combattants Canada;139;16;30;53.333333333333336
2018-2019;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;0;2;0.0
2019-2020;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;5;0.0
2019-2020;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;9;35;25.71428571428571
2019-2020;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;1;5;20.0
2019-2020;Canada Border Services Agency;Agence des services frontaliers du Canada;26;4;42;9.523809523809524
2019-2020;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;0;3;0.0
2019-2020;Canada Energy Regulator;Régie de l'énergie du Canada;221;0;16;0.0
2019-2020;Canada Revenue Agency;Agence du revenu du Canada;46;6;24;25.0
2019-2020;Canada School of Public Service;École de la fonction publique du Canada;47;1;3;33.33333333333333
2019-2020;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;1;9;11.11111111111111
2019-2020;Canadian Grain Commission;Commission canadienne des grains;69;0;14;0.0
2019-2020;Canadian Heritage;Patrimoine canadien;122;0;27;0.0
2019-2020;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;1;3;33.33333333333333
2019-2020;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;0;6;0.0
2019-2020;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;0;2;0.0
2019-2020;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;1;3;33.33333333333333
2019-2020;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;0;7;0.0
2019-2020;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;2;4;50.0
2019-2020;Canadian Space Agency;Agence spatiale canadienne;95;2;11;18.181818181818183
2019-2020;Canadian Transportation Agency;Office des transports du Canada;99;0;6;0.0
2019-2020;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;0;3;0.0
2019-2020;Copyright Board Canada;Commission du droit d'auteur Canada;114;0;3;0.0
2019-2020;Correctional Service Canada;Service correctionnel Canada;117;1;3;33.33333333333333
2019-2020;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;1;0.0
2019-2020;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;4;32;12.5
2019-2020;Department of Finance Canada;Ministère des Finances Canada;124;0;3;0.0
2019-2020;Department of Indigenous Services;Ministère des Services aux Autochtones;348;8;88;9.090909090909092
2019-2020;Department of Justice Canada;Ministère de la Justice Canada;132;1;7;14.285714285714285
2019-2020;Employment and Social Development Canada;Emploi et Développement social Canada;128;12;29;41.37931034482759
2019-2020;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;8;43;18.6046511627907
2019-2020;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;4;0.0
2019-2020;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;0;2;0.0
2019-2020;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;0;3;0.0
2019-2020;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;2;7;28.57142857142857
2019-2020;Fisheries and Oceans Canada;Pêches et Océans Canada;125;4;64;6.25
2019-2020;Global Affairs Canada;Affaires mondiales Canada;126;7;35;20.0
2019-2020;Health Canada;Santé Canada;127;2;82;2.4390243902439024
2019-2020;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;1;12;8.333333333333332
2019-2020;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1;6;16.666666666666664
2019-2020;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;20;72;27.77777777777778
2019-2020;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;6;12;50.0
2019-2020;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;14;47;29.78723404255319
2019-2020;Invest in Canada Hub;Investir au Canada;347;0;3;0.0
2019-2020;Library and Archives Canada;Bibliothèque et Archives Canada;199;1;9;11.11111111111111
2019-2020;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;2;0.0
2019-2020;National Defence;Défense nationale;133;2;10;20.0
2019-2020;National Film Board;Office national du film;223;0;3;0.0
2019-2020;National Research Council Canada;Conseil national de recherches Canada;228;6;15;40.0
2019-2020;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2019-2020;Natural Resources Canada;Ressources naturelles Canada;134;14;33;42.42424242424242
2019-2020;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;5;6;83.33333333333334
2019-2020;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;2;6;33.33333333333333
2019-2020;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;0;8;0.0
2019-2020;Parks Canada;Parcs Canada;263;0;12;0.0
2019-2020;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;5;11;45.45454545454545
2019-2020;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1;2;50.0
2019-2020;Polar Knowledge Canada;Savoir polaire Canada;552;0;2;0.0
2019-2020;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;2;4;50.0
2019-2020;Privy Council Office;Bureau du Conseil privé;278;1;6;16.666666666666664
2019-2020;Public Health Agency of Canada;Agence de la santé publique du Canada;280;1;13;7.6923076923076925
2019-2020;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;1;0.0
2019-2020;Public Safety Canada;Sécurité publique Canada;135;0;54;0.0
2019-2020;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;13;25;52.0
2019-2020;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;10;46;21.73913043478261
2019-2020;RCMP External Review Committee;Comité externe d'examen de la GRC;296;0;1;0.0
2019-2020;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;2;18;11.11111111111111
2019-2020;Shared Services Canada;Services partagés Canada;305;5;12;41.66666666666667
2019-2020;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;3;7;42.857142857142854
2019-2020;Statistics Canada;Statistique Canada;313;21;23;91.30434782608695
2019-2020;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;3;0.0
2019-2020;The National Battlefields Commission;Commission des champs de bataille nationaux;218;4;7;57.14285714285714
2019-2020;Transport Canada;Transports Canada;138;1;102;0.9803921568627451
2019-2020;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;5;0.0
2019-2020;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;10;15;66.66666666666666
2019-2020;Veterans Affairs Canada;Anciens Combattants Canada;139;15;28;53.57142857142857
2019-2020;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;0;2;0.0
2019-2020;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;0;3;0.0
2020-2021;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;4;0.0
2020-2021;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;9;39;23.076923076923077
2020-2021;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;1;5;20.0
2020-2021;Canada Border Services Agency;Agence des services frontaliers du Canada;26;3;42;7.142857142857142
2020-2021;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;0;2;0.0
2020-2021;Canada Energy Regulator;Régie de l'énergie du Canada;221;0;16;0.0
2020-2021;Canada Revenue Agency;Agence du revenu du Canada;46;16;33;48.484848484848484
2020-2021;Canada School of Public Service;École de la fonction publique du Canada;47;1;3;33.33333333333333
2020-2021;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;0;8;0.0
2020-2021;Canadian Grain Commission;Commission canadienne des grains;69;0;14;0.0
2020-2021;Canadian Heritage;Patrimoine canadien;122;0;29;0.0
2020-2021;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;1;3;33.33333333333333
2020-2021;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;0;6;0.0
2020-2021;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;0;2;0.0
2020-2021;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;1;4;25.0
2020-2021;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;0;9;0.0
2020-2021;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;2;4;50.0
2020-2021;Canadian Space Agency;Agence spatiale canadienne;95;6;10;60.0
2020-2021;Canadian Transportation Agency;Office des transports du Canada;99;0;5;0.0
2020-2021;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;0;3;0.0
2020-2021;Copyright Board Canada;Commission du droit d'auteur Canada;114;1;3;33.33333333333333
2020-2021;Correctional Service Canada;Service correctionnel Canada;117;1;3;33.33333333333333
2020-2021;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;1;0.0
2020-2021;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;9;44;20.454545454545457
2020-2021;Department of Finance Canada;Ministère des Finances Canada;124;0;3;0.0
2020-2021;Department of Indigenous Services;Ministère des Services aux Autochtones;348;4;85;4.705882352941177
2020-2021;Department of Justice Canada;Ministère de la Justice Canada;132;9;13;69.23076923076923
2020-2021;Employment and Social Development Canada;Emploi et Développement social Canada;128;15;31;48.38709677419355
2020-2021;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;9;42;21.428571428571427
2020-2021;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;4;0.0
2020-2021;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;0;2;0.0
2020-2021;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;0;2;0.0
2020-2021;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;2;7;28.57142857142857
2020-2021;Fisheries and Oceans Canada;Pêches et Océans Canada;125;4;71;5.633802816901409
2020-2021;Global Affairs Canada;Affaires mondiales Canada;126;10;30;33.33333333333333
2020-2021;Health Canada;Santé Canada;127;10;88;11.363636363636363
2020-2021;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;0;3;0.0
2020-2021;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1;6;16.666666666666664
2020-2021;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;30;73;41.0958904109589
2020-2021;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;8;9;88.88888888888889
2020-2021;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;24;72;33.33333333333333
2020-2021;Invest in Canada Hub;Investir au Canada;347;0;3;0.0
2020-2021;Library and Archives Canada;Bibliothèque et Archives Canada;199;0;20;0.0
2020-2021;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;1;0.0
2020-2021;National Defence;Défense nationale;133;2;10;20.0
2020-2021;National Film Board;Office national du film;223;0;5;0.0
2020-2021;National Research Council Canada;Conseil national de recherches Canada;228;6;16;37.5
2020-2021;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2020-2021;Natural Resources Canada;Ressources naturelles Canada;134;27;70;38.57142857142858
2020-2021;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;5;6;83.33333333333334
2020-2021;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;2;6;33.33333333333333
2020-2021;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;0;8;0.0
2020-2021;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;0;11;0.0
2020-2021;Parks Canada;Parcs Canada;263;0;12;0.0
2020-2021;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;3;11;27.27272727272727
2020-2021;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1;2;50.0
2020-2021;Polar Knowledge Canada;Savoir polaire Canada;552;0;2;0.0
2020-2021;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;2;3;66.66666666666666
2020-2021;Privy Council Office;Bureau du Conseil privé;278;0;10;0.0
2020-2021;Public Health Agency of Canada;Agence de la santé publique du Canada;280;3;20;15.0
2020-2021;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;3;0.0
2020-2021;Public Safety Canada;Sécurité publique Canada;135;3;57;5.263157894736842
2020-2021;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;13;20;65.0
2020-2021;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;9;48;18.75
2020-2021;RCMP External Review Committee;Comité externe d'examen de la GRC;296;0;1;0.0
2020-2021;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;3;27;11.11111111111111
2020-2021;Shared Services Canada;Services partagés Canada;305;5;12;41.66666666666667
2020-2021;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;3;6;50.0
2020-2021;Statistics Canada;Statistique Canada;313;21;23;91.30434782608695
2020-2021;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;3;0.0
2020-2021;The National Battlefields Commission;Commission des champs de bataille nationaux;218;4;7;57.14285714285714
2020-2021;Transport Canada;Transports Canada;138;4;107;3.7383177570093453
2020-2021;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;4;0.0
2020-2021;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;19;24;79.16666666666666
2020-2021;Veterans Affairs Canada;Anciens Combattants Canada;139;17;29;58.620689655172406
2020-2021;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;0;1;0.0
2020-2021;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;0;3;0.0
2021-2022;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;3;0.0
2021-2022;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;11;41;26.82926829268293
2021-2022;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;0;5;0.0
2021-2022;Canada Border Services Agency;Agence des services frontaliers du Canada;26;3;35;8.571428571428571
2021-2022;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;0;2;0.0
2021-2022;Canada Energy Regulator;Régie de l'énergie du Canada;221;0;14;0.0
2021-2022;Canada Revenue Agency;Agence du revenu du Canada;46;18;40;45.0
2021-2022;Canada School of Public Service;École de la fonction publique du Canada;47;1;1;100.0
2021-2022;Canadian Centre for Occupational Health and Safety;Centre canadien d’hygiène et de sécurité au travail;55;0;1;0.0
2021-2022;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;1;114;0.8771929824561403
2021-2022;Canadian Grain Commission;Commission canadienne des grains;69;0;13;0.0
2021-2022;Canadian Heritage;Patrimoine canadien;122;2;28;7.142857142857142
2021-2022;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;1;3;33.33333333333333
2021-2022;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;0;6;0.0
2021-2022;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;0;2;0.0
2021-2022;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;2;4;50.0
2021-2022;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;0;9;0.0
2021-2022;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;2;4;50.0
2021-2022;Canadian Space Agency;Agence spatiale canadienne;95;10;16;62.5
2021-2022;Canadian Transportation Agency;Office des transports du Canada;99;0;5;0.0
2021-2022;Copyright Board Canada;Commission du droit d'auteur Canada;114;1;3;33.33333333333333
2021-2022;Correctional Service Canada;Service correctionnel Canada;117;1;5;20.0
2021-2022;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;1;0.0
2021-2022;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;12;39;30.76923076923077
2021-2022;Department of Finance Canada;Ministère des Finances Canada;124;0;6;0.0
2021-2022;Department of Indigenous Services;Ministère des Services aux Autochtones;348;5;87;5.747126436781609
2021-2022;Department of Justice Canada;Ministère de la Justice Canada;132;14;16;87.5
2021-2022;Employment and Social Development Canada;Emploi et Développement social Canada;128;14;30;46.666666666666664
2021-2022;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;11;48;22.916666666666664
2021-2022;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;2;0.0
2021-2022;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;0;2;0.0
2021-2022;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;0;2;0.0
2021-2022;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;0;6;0.0
2021-2022;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2;73;2.73972602739726
2021-2022;Global Affairs Canada;Affaires mondiales Canada;126;17;49;34.69387755102041
2021-2022;Health Canada;Santé Canada;127;8;88;9.090909090909092
2021-2022;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;0;3;0.0
2021-2022;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1;6;16.666666666666664
2021-2022;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;30;73;41.0958904109589
2021-2022;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;9;10;90.0
2021-2022;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;19;75;25.333333333333336
2021-2022;Invest in Canada Hub;Investir au Canada;347;0;3;0.0
2021-2022;Library and Archives Canada;Bibliothèque et Archives Canada;199;0;20;0.0
2021-2022;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;1;0.0
2021-2022;National Defence;Défense nationale;133;1;10;10.0
2021-2022;National Film Board;Office national du film;223;0;5;0.0
2021-2022;National Research Council Canada;Conseil national de recherches Canada;228;6;16;37.5
2021-2022;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2021-2022;Natural Resources Canada;Ressources naturelles Canada;134;29;82;35.36585365853659
2021-2022;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2021-2022;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;1;9;11.11111111111111
2021-2022;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;2;6;33.33333333333333
2021-2022;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;0;8;0.0
2021-2022;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;0;11;0.0
2021-2022;Parks Canada;Parcs Canada;263;2;18;11.11111111111111
2021-2022;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;3;12;25.0
2021-2022;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1;2;50.0
2021-2022;Polar Knowledge Canada;Savoir polaire Canada;552;0;2;0.0
2021-2022;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;1;3;33.33333333333333
2021-2022;Privy Council Office;Bureau du Conseil privé;278;1;3;33.33333333333333
2021-2022;Public Health Agency of Canada;Agence de la santé publique du Canada;280;4;24;16.666666666666664
2021-2022;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;3;0.0
2021-2022;Public Safety Canada;Sécurité publique Canada;135;2;59;3.389830508474576
2021-2022;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;12;20;60.0
2021-2022;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;12;45;26.666666666666668
2021-2022;RCMP External Review Committee;Comité externe d'examen de la GRC;296;0;1;0.0
2021-2022;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;31;51;60.78431372549019
2021-2022;Shared Services Canada;Services partagés Canada;305;5;12;41.66666666666667
