fiscal_yr;department_en;department_fr;org_id;service_standard_id_met;service_standard_id_total;maf2_score
2018-2019;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;44.0;69;63.76811594202898
2018-2019;RCMP External Review Committee;Comité externe d'examen de la GRC;296;1.0;1;100.0
2018-2019;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;4.0;18;22.22222222222222
2018-2019;Shared Services Canada;Services partagés Canada;305;;21;
2018-2019;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;5.0;14;35.714285714285715
2018-2019;Statistics Canada;Statistique Canada;313;3.0;91;3.296703296703297
2018-2019;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;5.0;5;100.0
2018-2019;The National Battlefields Commission;Commission des champs de bataille nationaux;218;5.0;5;100.0
2018-2019;Transport Canada;Transports Canada;138;74.0;254;29.133858267716533
2018-2019;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;1.0;5;20.0
2018-2019;Veterans Affairs Canada;Anciens Combattants Canada;139;16.0;22;72.72727272727273
2018-2019;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;1.0;2;50.0
2019-2020;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;1.0;2;50.0
2019-2020;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;117.0;146;80.13698630136986
2019-2020;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;4.0;7;57.14285714285714
2019-2020;Canada Border Services Agency;Agence des services frontaliers du Canada;26;33.0;45;73.33333333333333
2019-2020;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;8.0;9;88.88888888888889
2019-2020;Canada Energy Regulator;Régie de l'énergie du Canada;221;12.0;24;50.0
2019-2020;Canada Revenue Agency;Agence du revenu du Canada;46;14.0;18;77.77777777777779
2019-2020;Canada School of Public Service;École de la fonction publique du Canada;47;3.0;4;75.0
2019-2020;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;6.0;15;40.0
2019-2020;Canadian Grain Commission;Commission canadienne des grains;69;10.0;11;90.9090909090909
2019-2020;Canadian Heritage;Patrimoine canadien;122;44.0;50;88.0
2019-2020;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;;1;
2019-2020;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2.0;6;33.33333333333333
2019-2020;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;;3;
2019-2020;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;1.0;4;25.0
2019-2020;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;7.0;11;63.63636363636363
2019-2020;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;12.0;13;92.3076923076923
2019-2020;Canadian Space Agency;Agence spatiale canadienne;95;13.0;19;68.42105263157895
2019-2020;Canadian Transportation Agency;Office des transports du Canada;99;5.0;6;83.33333333333334
2019-2020;Copyright Board Canada;Commission du droit d'auteur Canada;114;;2;
2019-2020;Correctional Service Canada;Service correctionnel Canada;117;1.0;15;6.666666666666667
2019-2020;Courts Administration Service;Service administratif des tribunaux judiciaires;118;;1;
2019-2020;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;3.0;10;30.0
2019-2020;Department of Finance Canada;Ministère des Finances Canada;124;;1;
2019-2020;Department of Indigenous Services;Ministère des Services aux Autochtones;348;2.0;14;14.285714285714285
2019-2020;Department of Justice Canada;Ministère de la Justice Canada;132;14.0;16;87.5
2019-2020;Employment and Social Development Canada;Emploi et Développement social Canada;128;51.0;66;77.27272727272727
2019-2020;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;63.0;113;55.75221238938053
2019-2020;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;4.0;4;100.0
2019-2020;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;2.0;3;66.66666666666666
2019-2020;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;;8;
2019-2020;Fisheries and Oceans Canada;Pêches et Océans Canada;125;76.0;119;63.86554621848739
2019-2020;Global Affairs Canada;Affaires mondiales Canada;126;;4;
2019-2020;Health Canada;Santé Canada;127;34.0;68;50.0
2019-2020;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;18.0;31;58.06451612903226
2019-2020;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;;1;
2019-2020;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;32.0;47;68.08510638297872
2019-2020;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;5.0;9;55.55555555555556
2019-2020;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;117.0;151;77.48344370860927
2019-2020;Library and Archives Canada;Bibliothèque et Archives Canada;199;1.0;2;50.0
2019-2020;National Defence;Défense nationale;133;10.0;17;58.82352941176471
2019-2020;National Film Board;Office national du film;223;5.0;6;83.33333333333334
2019-2020;National Research Council Canada;Conseil national de recherches Canada;228;13.0;21;61.904761904761905
2019-2020;Natural Resources Canada;Ressources naturelles Canada;134;;4;
2019-2020;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;7.0;11;63.63636363636363
2019-2020;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;8.0;12;66.66666666666666
2019-2020;Parks Canada;Parcs Canada;263;2.0;5;40.0
2019-2020;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;7.0;10;70.0
2019-2020;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1.0;3;33.33333333333333
2019-2020;Polar Knowledge Canada;Savoir polaire Canada;552;2.0;4;50.0
2019-2020;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;6.0;6;100.0
2019-2020;Public Health Agency of Canada;Agence de la santé publique du Canada;280;15.0;18;83.33333333333334
2019-2020;Public Safety Canada;Sécurité publique Canada;135;1.0;94;1.0638297872340425
2019-2020;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;9.0;15;60.0
2019-2020;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;45.0;64;70.3125
2019-2020;RCMP External Review Committee;Comité externe d'examen de la GRC;296;;1;
2019-2020;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;11.0;21;52.38095238095239
2019-2020;Shared Services Canada;Services partagés Canada;305;;20;
2019-2020;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;9.0;14;64.28571428571429
2019-2020;Statistics Canada;Statistique Canada;313;;98;
2019-2020;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;2.0;5;40.0
2019-2020;The National Battlefields Commission;Commission des champs de bataille nationaux;218;4.0;4;100.0
2019-2020;Transport Canada;Transports Canada;138;92.0;275;33.45454545454545
2019-2020;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;6.0;12;50.0
2019-2020;Veterans Affairs Canada;Anciens Combattants Canada;139;17.0;22;77.27272727272727
2019-2020;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;1.0;2;50.0
2019-2020;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;2.0;6;33.33333333333333
2020-2021;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;133.0;162;82.09876543209876
2020-2021;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;;7;
2020-2021;Canada Border Services Agency;Agence des services frontaliers du Canada;26;27.0;45;60.0
2020-2021;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;8.0;8;100.0
2020-2021;Canada Energy Regulator;Régie de l'énergie du Canada;221;15.0;24;62.5
2020-2021;Canada Revenue Agency;Agence du revenu du Canada;46;10.0;20;50.0
2020-2021;Canada School of Public Service;École de la fonction publique du Canada;47;2.0;4;50.0
2020-2021;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;6.0;15;40.0
2020-2021;Canadian Grain Commission;Commission canadienne des grains;69;8.0;9;88.88888888888889
2020-2021;Canadian Heritage;Patrimoine canadien;122;45.0;56;80.35714285714286
2020-2021;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;;1;
2020-2021;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;;6;
2020-2021;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2.0;3;66.66666666666666
2020-2021;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;4.0;5;80.0
2020-2021;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;8.0;11;72.72727272727273
2020-2021;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;6.0;8;75.0
2020-2021;Canadian Space Agency;Agence spatiale canadienne;95;15.0;16;93.75
2020-2021;Canadian Transportation Agency;Office des transports du Canada;99;3.0;5;60.0
2020-2021;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;1.0;3;33.33333333333333
2020-2021;Copyright Board Canada;Commission du droit d'auteur Canada;114;3.0;3;100.0
2020-2021;Correctional Service Canada;Service correctionnel Canada;117;6.0;15;40.0
2020-2021;Courts Administration Service;Service administratif des tribunaux judiciaires;118;1.0;1;100.0
2020-2021;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;11.0;25;44.0
2020-2021;Department of Finance Canada;Ministère des Finances Canada;124;;1;
2020-2021;Department of Indigenous Services;Ministère des Services aux Autochtones;348;8.0;16;50.0
2020-2021;Department of Justice Canada;Ministère de la Justice Canada;132;18.0;25;72.0
2020-2021;Employment and Social Development Canada;Emploi et Développement social Canada;128;46.0;73;63.013698630136986
2020-2021;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;53.0;98;54.08163265306123
2020-2021;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;3.0;4;75.0
2020-2021;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;2.0;2;100.0
2020-2021;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;3.0;6;50.0
2020-2021;Fisheries and Oceans Canada;Pêches et Océans Canada;125;82.0;123;66.66666666666666
2020-2021;Global Affairs Canada;Affaires mondiales Canada;126;15.0;17;88.23529411764706
2020-2021;Health Canada;Santé Canada;127;39.0;71;54.929577464788736
2020-2021;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;4.0;6;66.66666666666666
2020-2021;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1.0;7;14.285714285714285
2020-2021;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;17.0;52;32.69230769230769
2020-2021;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;13.0;19;68.42105263157895
2020-2021;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;279.0;459;60.78431372549019
2020-2021;Library and Archives Canada;Bibliothèque et Archives Canada;199;;4;
2020-2021;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;;14;
2020-2021;National Defence;Défense nationale;133;9.0;15;60.0
2020-2021;National Film Board;Office national du film;223;9.0;10;90.0
2020-2021;National Research Council Canada;Conseil national de recherches Canada;228;22.0;30;73.33333333333333
2020-2021;Natural Resources Canada;Ressources naturelles Canada;134;15.0;81;18.51851851851852
2020-2021;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;7.0;11;63.63636363636363
2020-2021;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;5.0;12;41.66666666666667
2020-2021;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;;8;
2020-2021;Parks Canada;Parcs Canada;263;5.0;7;71.42857142857143
2020-2021;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;4.0;6;66.66666666666666
2020-2021;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1.0;3;33.33333333333333
2020-2021;Polar Knowledge Canada;Savoir polaire Canada;552;2.0;4;50.0
2020-2021;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;5.0;5;100.0
2020-2021;Public Health Agency of Canada;Agence de la santé publique du Canada;280;17.0;26;65.38461538461539
2020-2021;Public Safety Canada;Sécurité publique Canada;135;51.0;90;56.666666666666664
2020-2021;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;3.0;7;42.857142857142854
2020-2021;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;48.0;69;69.56521739130434
2020-2021;RCMP External Review Committee;Comité externe d'examen de la GRC;296;;1;
2020-2021;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;10.0;24;41.66666666666667
2020-2021;Shared Services Canada;Services partagés Canada;305;;19;
2020-2021;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;6.0;13;46.15384615384615
2020-2021;Statistics Canada;Statistique Canada;313;20.0;98;20.408163265306122
2020-2021;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;;5;
2020-2021;The National Battlefields Commission;Commission des champs de bataille nationaux;218;;4;
2020-2021;Transport Canada;Transports Canada;138;107.0;278;38.489208633093526
2020-2021;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;27.0;29;93.10344827586206
2020-2021;Veterans Affairs Canada;Anciens Combattants Canada;139;17.0;21;80.95238095238095
2020-2021;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;;1;
2020-2021;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;5.0;6;83.33333333333334
2021-2022;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;119.0;172;69.18604651162791
2021-2022;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;3.0;7;42.857142857142854
2021-2022;Canada Border Services Agency;Agence des services frontaliers du Canada;26;30.0;43;69.76744186046511
2021-2022;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;3.0;8;37.5
2021-2022;Canada Energy Regulator;Régie de l'énergie du Canada;221;12.0;22;54.54545454545454
2021-2022;Canada Revenue Agency;Agence du revenu du Canada;46;13.0;30;43.333333333333336
2021-2022;Canada School of Public Service;École de la fonction publique du Canada;47;1.0;2;50.0
2021-2022;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;20.0;29;68.96551724137932
2021-2022;Canadian Grain Commission;Commission canadienne des grains;69;9.0;9;100.0
2021-2022;Canadian Heritage;Patrimoine canadien;122;43.0;55;78.18181818181819
2021-2022;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;;1;
2021-2022;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;9.0;10;90.0
2021-2022;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2.0;3;66.66666666666666
2021-2022;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;4.0;5;80.0
2021-2022;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;9.0;10;90.0
2021-2022;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;5.0;8;62.5
2021-2022;Canadian Space Agency;Agence spatiale canadienne;95;19.0;21;90.47619047619048
2021-2022;Canadian Transportation Agency;Office des transports du Canada;99;2.0;5;40.0
2021-2022;Copyright Board Canada;Commission du droit d'auteur Canada;114;;3;
2021-2022;Correctional Service Canada;Service correctionnel Canada;117;8.0;12;66.66666666666666
2021-2022;Courts Administration Service;Service administratif des tribunaux judiciaires;118;;1;
2021-2022;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;27.0;39;69.23076923076923
2021-2022;Department of Finance Canada;Ministère des Finances Canada;124;;1;
2021-2022;Department of Indigenous Services;Ministère des Services aux Autochtones;348;10.0;21;47.61904761904761
2021-2022;Department of Justice Canada;Ministère de la Justice Canada;132;23.0;28;82.14285714285714
2021-2022;Employment and Social Development Canada;Emploi et Développement social Canada;128;45.0;74;60.810810810810814
2021-2022;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;45.0;101;44.554455445544555
2021-2022;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;3.0;3;100.0
2021-2022;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;1.0;2;50.0
2021-2022;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;2.0;3;66.66666666666666
2021-2022;Fisheries and Oceans Canada;Pêches et Océans Canada;125;42.0;115;36.52173913043478
2021-2022;Global Affairs Canada;Affaires mondiales Canada;126;1.0;30;3.3333333333333335
2021-2022;Health Canada;Santé Canada;127;37.0;58;63.793103448275865
2021-2022;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;4.0;5;80.0
2021-2022;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;4.0;6;66.66666666666666
2021-2022;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;19.0;49;38.775510204081634
2021-2022;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;16.0;20;80.0
2021-2022;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;169.0;318;53.144654088050316
2021-2022;Library and Archives Canada;Bibliothèque et Archives Canada;199;;4;
2021-2022;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;;14;
2021-2022;National Defence;Défense nationale;133;9.0;12;75.0
2021-2022;National Film Board;Office national du film;223;;10;
2021-2022;National Research Council Canada;Conseil national de recherches Canada;228;28.0;32;87.5
2021-2022;Natural Resources Canada;Ressources naturelles Canada;134;95.0;144;65.97222222222221
2021-2022;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6.0;11;54.54545454545454
2021-2022;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;;9;
2021-2022;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;6.0;11;54.54545454545454
2021-2022;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;;7;
2021-2022;Parks Canada;Parcs Canada;263;1.0;2;50.0
2021-2022;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;6.0;6;100.0
2021-2022;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;;3;
2021-2022;Polar Knowledge Canada;Savoir polaire Canada;552;3.0;3;100.0
2021-2022;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;5.0;5;100.0
2021-2022;Privy Council Office;Bureau du Conseil privé;278;2.0;2;100.0
2021-2022;Public Health Agency of Canada;Agence de la santé publique du Canada;280;22.0;25;88.0
2021-2022;Public Safety Canada;Sécurité publique Canada;135;53.0;104;50.96153846153846
2021-2022;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;5.0;7;71.42857142857143
2021-2022;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;41.0;59;69.49152542372882
2021-2022;RCMP External Review Committee;Comité externe d'examen de la GRC;296;;1;
2021-2022;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;14.0;31;45.16129032258064
2021-2022;Shared Services Canada;Services partagés Canada;305;;19;
2021-2022;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;5.0;13;38.46153846153847
2021-2022;Statistics Canada;Statistique Canada;313;36.0;37;97.2972972972973
2021-2022;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;;5;
2021-2022;The National Battlefields Commission;Commission des champs de bataille nationaux;218;;4;
2021-2022;Transport Canada;Transports Canada;138;99.0;268;36.940298507462686
2021-2022;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;30.0;30;100.0
2021-2022;Veterans Affairs Canada;Anciens Combattants Canada;139;13.0;23;56.52173913043478
2021-2022;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;;1;
2021-2022;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;4.0;6;66.66666666666666
2022-2023;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;140.0;181;77.34806629834254
2022-2023;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;5.0;7;71.42857142857143
2022-2023;Canada Border Services Agency;Agence des services frontaliers du Canada;26;27.0;43;62.7906976744186
2022-2023;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;3.0;8;37.5
2022-2023;Canada Energy Regulator;Régie de l'énergie du Canada;221;17.0;26;65.38461538461539
2022-2023;Canada Revenue Agency;Agence du revenu du Canada;46;27.0;35;77.14285714285715
2022-2023;Canada School of Public Service;École de la fonction publique du Canada;47;;2;
2022-2023;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;21.0;34;61.76470588235294
2022-2023;Canadian Grain Commission;Commission canadienne des grains;69;8.0;9;88.88888888888889
2022-2023;Canadian Heritage;Patrimoine canadien;122;93.0;138;67.3913043478261
2022-2023;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;8.0;10;80.0
2022-2023;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2.0;3;66.66666666666666
2022-2023;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;3.0;5;60.0
2022-2023;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;7.0;10;70.0
2022-2023;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;5.0;7;71.42857142857143
2022-2023;Canadian Space Agency;Agence spatiale canadienne;95;21.0;24;87.5
2022-2023;Canadian Transportation Agency;Office des transports du Canada;99;;1;
2022-2023;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;1.0;3;33.33333333333333
2022-2023;Correctional Service Canada;Service correctionnel Canada;117;7.0;12;58.333333333333336
2022-2023;Courts Administration Service;Service administratif des tribunaux judiciaires;118;;1;
2022-2023;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;25.0;40;62.5
