fiscal_yr;department_en;department_fr;org_id;service_with_std_count;service_count_maf1;maf1_score
2018-2019;National Defence;Défense nationale;133;0;11;0.0
2018-2019;National Film Board;Office national du film;223;3;3;100.0
2018-2019;National Research Council Canada;Conseil national de recherches Canada;228;12;15;80.0
2018-2019;Natural Resources Canada;Ressources naturelles Canada;134;3;33;9.090909090909092
2018-2019;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2018-2019;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;0;6;0.0
2018-2019;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;7;7;100.0
2018-2019;Parks Canada;Parcs Canada;263;4;14;28.57142857142857
2018-2019;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;4;11;36.36363636363637
2018-2019;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1;2;50.0
2018-2019;Polar Knowledge Canada;Savoir polaire Canada;552;3;3;100.0
2018-2019;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;3;4;75.0
2018-2019;Privy Council Office;Bureau du Conseil privé;278;0;11;0.0
2018-2019;Public Health Agency of Canada;Agence de la santé publique du Canada;280;12;13;92.3076923076923
2018-2019;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;1;0.0
2018-2019;Public Safety Canada;Sécurité publique Canada;135;34;53;64.15094339622641
2018-2019;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;13;25;52.0
2018-2019;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;29;43;67.44186046511628
2018-2019;RCMP External Review Committee;Comité externe d'examen de la GRC;296;1;1;100.0
2018-2019;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;13;15;86.66666666666667
2018-2019;Shared Services Canada;Services partagés Canada;305;17;26;65.38461538461539
2018-2019;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;7;7;100.0
2018-2019;Statistics Canada;Statistique Canada;313;23;23;100.0
2018-2019;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;3;3;100.0
2018-2019;The National Battlefields Commission;Commission des champs de bataille nationaux;218;5;7;71.42857142857143
2018-2019;Transport Canada;Transports Canada;138;60;96;62.5
2018-2019;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;3;0.0
2018-2019;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;2;7;28.57142857142857
2018-2019;Veterans Affairs Canada;Anciens Combattants Canada;139;16;30;53.333333333333336
2018-2019;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;2;2;100.0
2019-2020;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;2;5;40.0
2019-2020;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;35;35;100.0
2019-2020;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;3;5;60.0
2019-2020;Canada Border Services Agency;Agence des services frontaliers du Canada;26;27;42;64.28571428571429
2019-2020;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;3;3;100.0
2019-2020;Canada Energy Regulator;Régie de l'énergie du Canada;221;16;16;100.0
2019-2020;Canada Revenue Agency;Agence du revenu du Canada;46;13;24;54.166666666666664
2019-2020;Canada School of Public Service;École de la fonction publique du Canada;47;2;3;66.66666666666666
2019-2020;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;9;9;100.0
2019-2020;Canadian Grain Commission;Commission canadienne des grains;69;11;14;78.57142857142857
2019-2020;Canadian Heritage;Patrimoine canadien;122;23;27;85.18518518518519
2019-2020;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;1;3;33.33333333333333
2019-2020;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2;6;33.33333333333333
2019-2020;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2;2;100.0
2019-2020;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;2;3;66.66666666666666
2019-2020;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;7;7;100.0
2019-2020;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;4;4;100.0
2019-2020;Canadian Space Agency;Agence spatiale canadienne;95;11;11;100.0
2019-2020;Canadian Transportation Agency;Office des transports du Canada;99;4;6;66.66666666666666
2019-2020;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;0;3;0.0
2019-2020;Copyright Board Canada;Commission du droit d'auteur Canada;114;2;3;66.66666666666666
2019-2020;Correctional Service Canada;Service correctionnel Canada;117;3;3;100.0
2019-2020;Courts Administration Service;Service administratif des tribunaux judiciaires;118;1;1;100.0
2019-2020;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;10;32;31.25
2019-2020;Department of Finance Canada;Ministère des Finances Canada;124;1;3;33.33333333333333
2019-2020;Department of Indigenous Services;Ministère des Services aux Autochtones;348;10;88;11.363636363636363
2019-2020;Department of Justice Canada;Ministère de la Justice Canada;132;6;7;85.71428571428571
2019-2020;Employment and Social Development Canada;Emploi et Développement social Canada;128;28;29;96.55172413793103
2019-2020;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;35;43;81.3953488372093
2019-2020;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;4;0.0
2019-2020;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;1;2;50.0
2019-2020;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;2;3;66.66666666666666
2019-2020;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;5;7;71.42857142857143
2019-2020;Fisheries and Oceans Canada;Pêches et Océans Canada;125;63;64;98.4375
2019-2020;Global Affairs Canada;Affaires mondiales Canada;126;4;35;11.428571428571429
2019-2020;Health Canada;Santé Canada;127;48;82;58.536585365853654
2019-2020;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;12;12;100.0
2019-2020;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1;6;16.666666666666664
2019-2020;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;24;72;33.33333333333333
2019-2020;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;8;12;66.66666666666666
2019-2020;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;41;47;87.2340425531915
2019-2020;Invest in Canada Hub;Investir au Canada;347;0;3;0.0
2019-2020;Library and Archives Canada;Bibliothèque et Archives Canada;199;2;9;22.22222222222222
2019-2020;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;2;0.0
2019-2020;National Defence;Défense nationale;133;5;10;50.0
2019-2020;National Film Board;Office national du film;223;3;3;100.0
2019-2020;National Research Council Canada;Conseil national de recherches Canada;228;12;15;80.0
2019-2020;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2019-2020;Natural Resources Canada;Ressources naturelles Canada;134;4;33;12.121212121212121
2019-2020;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2019-2020;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;0;6;0.0
2019-2020;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;7;8;87.5
2019-2020;Parks Canada;Parcs Canada;263;3;12;25.0
2019-2020;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;6;11;54.54545454545454
2019-2020;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1;2;50.0
2019-2020;Polar Knowledge Canada;Savoir polaire Canada;552;2;2;100.0
2019-2020;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;3;4;75.0
2019-2020;Privy Council Office;Bureau du Conseil privé;278;0;6;0.0
2019-2020;Public Health Agency of Canada;Agence de la santé publique du Canada;280;12;13;92.3076923076923
2019-2020;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;1;0.0
2019-2020;Public Safety Canada;Sécurité publique Canada;135;34;54;62.96296296296296
2019-2020;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;15;25;60.0
2019-2020;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;30;46;65.21739130434783
2019-2020;RCMP External Review Committee;Comité externe d'examen de la GRC;296;1;1;100.0
2019-2020;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;13;18;72.22222222222221
2019-2020;Shared Services Canada;Services partagés Canada;305;10;12;83.33333333333334
2019-2020;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;7;7;100.0
2019-2020;Statistics Canada;Statistique Canada;313;23;23;100.0
2019-2020;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;3;3;100.0
2019-2020;The National Battlefields Commission;Commission des champs de bataille nationaux;218;4;7;57.14285714285714
2019-2020;Transport Canada;Transports Canada;138;66;102;64.70588235294117
2019-2020;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;5;0.0
2019-2020;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;7;15;46.666666666666664
2019-2020;Veterans Affairs Canada;Anciens Combattants Canada;139;17;28;60.71428571428571
2019-2020;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;2;2;100.0
2019-2020;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;3;3;100.0
2020-2021;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;4;0.0
2020-2021;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;39;39;100.0
2020-2021;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;3;5;60.0
2020-2021;Canada Border Services Agency;Agence des services frontaliers du Canada;26;27;42;64.28571428571429
2020-2021;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;2;2;100.0
2020-2021;Canada Energy Regulator;Régie de l'énergie du Canada;221;16;16;100.0
2020-2021;Canada Revenue Agency;Agence du revenu du Canada;46;15;33;45.45454545454545
2020-2021;Canada School of Public Service;École de la fonction publique du Canada;47;2;3;66.66666666666666
2020-2021;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;8;8;100.0
2020-2021;Canadian Grain Commission;Commission canadienne des grains;69;9;14;64.28571428571429
2020-2021;Canadian Heritage;Patrimoine canadien;122;23;29;79.3103448275862
2020-2021;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;1;3;33.33333333333333
2020-2021;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2;6;33.33333333333333
2020-2021;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2;2;100.0
2020-2021;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;3;4;75.0
2020-2021;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;7;9;77.77777777777779
2020-2021;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;4;4;100.0
2020-2021;Canadian Space Agency;Agence spatiale canadienne;95;10;10;100.0
2020-2021;Canadian Transportation Agency;Office des transports du Canada;99;3;5;60.0
2020-2021;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;2;3;66.66666666666666
2020-2021;Copyright Board Canada;Commission du droit d'auteur Canada;114;3;3;100.0
2020-2021;Correctional Service Canada;Service correctionnel Canada;117;3;3;100.0
2020-2021;Courts Administration Service;Service administratif des tribunaux judiciaires;118;1;1;100.0
2020-2021;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;25;44;56.81818181818182
2020-2021;Department of Finance Canada;Ministère des Finances Canada;124;1;3;33.33333333333333
2020-2021;Department of Indigenous Services;Ministère des Services aux Autochtones;348;12;85;14.117647058823529
2020-2021;Department of Justice Canada;Ministère de la Justice Canada;132;12;13;92.3076923076923
2020-2021;Employment and Social Development Canada;Emploi et Développement social Canada;128;26;31;83.87096774193549
2020-2021;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;33;42;78.57142857142857
2020-2021;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;4;0.0
2020-2021;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;1;2;50.0
2020-2021;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;1;2;50.0
2020-2021;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;5;7;71.42857142857143
2020-2021;Fisheries and Oceans Canada;Pêches et Océans Canada;125;65;71;91.54929577464789
2020-2021;Global Affairs Canada;Affaires mondiales Canada;126;10;30;33.33333333333333
2020-2021;Health Canada;Santé Canada;127;52;88;59.09090909090909
2020-2021;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;3;3;100.0
2020-2021;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;6;6;100.0
2020-2021;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;25;73;34.24657534246575
2020-2021;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;7;9;77.77777777777779
2020-2021;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;42;72;58.333333333333336
2020-2021;Invest in Canada Hub;Investir au Canada;347;0;3;0.0
2020-2021;Library and Archives Canada;Bibliothèque et Archives Canada;199;4;20;20.0
2020-2021;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;1;1;100.0
2020-2021;National Defence;Défense nationale;133;6;10;60.0
2020-2021;National Film Board;Office national du film;223;5;5;100.0
2020-2021;National Research Council Canada;Conseil national de recherches Canada;228;16;16;100.0
2020-2021;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2020-2021;Natural Resources Canada;Ressources naturelles Canada;134;40;70;57.14285714285714
2020-2021;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2020-2021;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;0;6;0.0
2020-2021;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;7;8;87.5
2020-2021;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;8;11;72.72727272727273
2020-2021;Parks Canada;Parcs Canada;263;4;12;33.33333333333333
2020-2021;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;3;11;27.27272727272727
2020-2021;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1;2;50.0
2020-2021;Polar Knowledge Canada;Savoir polaire Canada;552;2;2;100.0
2020-2021;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;2;3;66.66666666666666
2020-2021;Privy Council Office;Bureau du Conseil privé;278;0;10;0.0
2020-2021;Public Health Agency of Canada;Agence de la santé publique du Canada;280;19;20;95.0
2020-2021;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;3;0.0
2020-2021;Public Safety Canada;Sécurité publique Canada;135;31;57;54.385964912280706
2020-2021;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;6;20;30.0
2020-2021;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;30;48;62.5
2020-2021;RCMP External Review Committee;Comité externe d'examen de la GRC;296;1;1;100.0
2020-2021;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;14;27;51.85185185185185
2020-2021;Shared Services Canada;Services partagés Canada;305;10;12;83.33333333333334
2020-2021;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;6;6;100.0
2020-2021;Statistics Canada;Statistique Canada;313;23;23;100.0
2020-2021;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;3;3;100.0
2020-2021;The National Battlefields Commission;Commission des champs de bataille nationaux;218;4;7;57.14285714285714
2020-2021;Transport Canada;Transports Canada;138;71;107;66.35514018691589
2020-2021;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;4;0.0
2020-2021;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;21;24;87.5
2020-2021;Veterans Affairs Canada;Anciens Combattants Canada;139;17;29;58.620689655172406
2020-2021;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;1;1;100.0
2020-2021;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;3;3;100.0
2021-2022;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;3;0.0
2021-2022;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;41;41;100.0
2021-2022;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;3;5;60.0
2021-2022;Canada Border Services Agency;Agence des services frontaliers du Canada;26;26;35;74.28571428571429
2021-2022;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;2;2;100.0
2021-2022;Canada Energy Regulator;Régie de l'énergie du Canada;221;14;14;100.0
2021-2022;Canada Revenue Agency;Agence du revenu du Canada;46;27;40;67.5
2021-2022;Canada School of Public Service;École de la fonction publique du Canada;47;1;1;100.0
2021-2022;Canadian Centre for Occupational Health and Safety;Centre canadien d’hygiène et de sécurité au travail;55;0;1;0.0
2021-2022;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;22;114;19.298245614035086
2021-2022;Canadian Grain Commission;Commission canadienne des grains;69;9;13;69.23076923076923
2021-2022;Canadian Heritage;Patrimoine canadien;122;24;28;85.71428571428571
2021-2022;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;1;3;33.33333333333333
2021-2022;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2;6;33.33333333333333
2021-2022;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2;2;100.0
2021-2022;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;3;4;75.0
2021-2022;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;7;9;77.77777777777779
2021-2022;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;4;4;100.0
2021-2022;Canadian Space Agency;Agence spatiale canadienne;95;14;16;87.5
2021-2022;Canadian Transportation Agency;Office des transports du Canada;99;3;5;60.0
2021-2022;Copyright Board Canada;Commission du droit d'auteur Canada;114;3;3;100.0
2021-2022;Correctional Service Canada;Service correctionnel Canada;117;2;5;40.0
2021-2022;Courts Administration Service;Service administratif des tribunaux judiciaires;118;1;1;100.0
2021-2022;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;35;39;89.74358974358975
2021-2022;Department of Finance Canada;Ministère des Finances Canada;124;1;6;16.666666666666664
2021-2022;Department of Indigenous Services;Ministère des Services aux Autochtones;348;14;87;16.091954022988507
2021-2022;Department of Justice Canada;Ministère de la Justice Canada;132;15;16;93.75
2021-2022;Employment and Social Development Canada;Emploi et Développement social Canada;128;27;30;90.0
2021-2022;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;35;48;72.91666666666666
2021-2022;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;2;0.0
2021-2022;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;1;2;50.0
2021-2022;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;1;2;50.0
2021-2022;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;3;6;50.0
2021-2022;Fisheries and Oceans Canada;Pêches et Océans Canada;125;58;73;79.45205479452055
2021-2022;Global Affairs Canada;Affaires mondiales Canada;126;25;49;51.02040816326531
2021-2022;Health Canada;Santé Canada;127;41;88;46.590909090909086
2021-2022;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;3;3;100.0
2021-2022;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;6;6;100.0
2021-2022;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;25;73;34.24657534246575
2021-2022;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;8;10;80.0
2021-2022;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;49;75;65.33333333333333
2021-2022;Invest in Canada Hub;Investir au Canada;347;0;3;0.0
2021-2022;Library and Archives Canada;Bibliothèque et Archives Canada;199;4;20;20.0
2021-2022;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;1;1;100.0
2021-2022;National Defence;Défense nationale;133;4;10;40.0
2021-2022;National Film Board;Office national du film;223;5;5;100.0
2021-2022;National Research Council Canada;Conseil national de recherches Canada;228;16;16;100.0
2021-2022;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2021-2022;Natural Resources Canada;Ressources naturelles Canada;134;56;82;68.29268292682927
2021-2022;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2021-2022;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;9;9;100.0
2021-2022;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;0;6;0.0
2021-2022;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;6;8;75.0
2021-2022;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;7;11;63.63636363636363
2021-2022;Parks Canada;Parcs Canada;263;2;18;11.11111111111111
2021-2022;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;3;12;25.0
2021-2022;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;1;2;50.0
2021-2022;Polar Knowledge Canada;Savoir polaire Canada;552;2;2;100.0
2021-2022;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;2;3;66.66666666666666
2021-2022;Privy Council Office;Bureau du Conseil privé;278;2;3;66.66666666666666
2021-2022;Public Health Agency of Canada;Agence de la santé publique du Canada;280;19;24;79.16666666666666
2021-2022;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;3;0.0
2021-2022;Public Safety Canada;Sécurité publique Canada;135;36;59;61.016949152542374
2021-2022;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;5;20;25.0
2021-2022;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;26;45;57.77777777777777
2021-2022;RCMP External Review Committee;Comité externe d'examen de la GRC;296;1;1;100.0
2021-2022;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;15;51;29.411764705882355
2021-2022;Shared Services Canada;Services partagés Canada;305;10;12;83.33333333333334
2021-2022;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;6;6;100.0
