service_id;service_name_en;service_name_fr;fiscal_yr;department_en;department_fr;org_id
1019;Métis Housing;Logement des Métis;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1020;MPA Activity Plan Application Process - Gilbert Bay MPA;Processus de demande d'activités pour la ZPM - Baie Gilbert;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1021;MPA Activity Plan Application Process - Gully MPA;Processus de demande d'activités pour la ZPM - Gully;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1022;MPA Activity Plan Application Process - Hecate Strait/Queen Charlotte Sound Glas;Processus de demande d'activités pour la ZPM - Détroit d'Hécate;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1023;Inuit Housing;Logement des Inuit;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1024;MPA Activity Plan Application Process - Musquash Estuary MPA;Processus de demande d'activités pour la ZPM - Estuaire de la Musquash;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1025;MPA Activity Plan Application Process - St. Anns Bank MPA;Processus de demande d'activités pour la ZPM - Banc de Sainte-Anne;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1026;National Online License System (NOLS);Système national d'émission de permis en ligne (SNEPL);2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1027;National Recreational Licensing System (NRLS) (Pacific Only);Système national d'émission de permis de pêche récréative (SNDPP);2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1028;Observer Designation Application and Renewal Processing;demandes de désignation d'observateur et des demandes de renouvellement;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1029;Oceans Management Contribution Program in support of oceans conservation and management;Programme de contributions pour la gestion des océans pour appuyer l'élaboration et la mise en œuvre d'activités de conservation et de gestion des océans;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1030;Oceans Management Program - Grants in support Indigenous Groups in the Development and Implementation of Oceans Conservation and Management Activities;Programme de gestion des océans - Subventions à l’appui des groupes autochtones dans l’élaboration et la mise en œuvre d’activités de conservation et de gestion des océans;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1031;Recreational Fisheries Conservation Partnerships Program Contribution Agreements;Programme de partenariats relatifs à la conservation des pêches récréatives;2019-2020;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1032;Salmon Conservation Stamp;Timbre de protection du saumon;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1033;Small Craft Harbours Class Contribution Program;Programme de contribution du MPO aux ports pour petits bateaux;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1034;Small Craft Harbours Divestiture Class Grant Program;Programme de dessaisissement des ports pour petits bateaux;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1035;Species at Risk Act Permits;Les permis de la Loi sur les espèces en péril;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1036;Marine Environmental and Hazards Response;Intervention dans le domaine de l'environnement marin et des risques;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1037;Icebreaking;Déglaçage;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1038;Provision of Distress and Safety Communications;Prestation de services de communication de détresse et de sécurité;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1039;Provision of Marine Information;Diffusion de renseignements maritimes;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1040;Provision of Radio Communications and Public Correspondence Service;Prestation de services de correspondance publique et de communications radio;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1041;Search and Rescue Coordination;Recherche et sauvetage Coordination;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1042;Orientation sessions for persons with a priority entitlement.;Droit de priorité: Séances d'orientation pour les bénéficiares d'un droit de priorité;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1043;Search and Rescue Response;Recherche et sauvetage;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1044;Vessel Screening and Regulation of Vessel Traffic Movements;Contrôle des navires et réglementation des mouvements du trafic maritime;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1045;Waterways Management;Gestion des voies navigables;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1046;Release of Statistical Data on International Trade;Diffusion de données statistiques sur le commerce international;2023-2024;Statistics Canada;Statistique Canada;313
1047;Release of Statistical Data on Balance of Payment;Diffusion de données statistiques sur la balance de paiement;2023-2024;Statistics Canada;Statistique Canada;313
1048;Ministerial Designations for Protective Services by the RCMP;Désignations ministérielles pour les Services de la protection par la GRC;2023-2024;Public Safety Canada;Sécurité publique Canada;135
1050;Cadet Online Registration;Inscription en ligne pour les cadets;2023-2024;National Defence;Défense nationale;133
1051;Military History and Heritage;Histoire et patrimoine militaires;2018-2019;National Defence;Défense nationale;133
1052;Access to Information and Privacy;Accès à l'information et de la protection des renseignements personnels;2020-2021;National Defence;Défense nationale;133
1053;Assistance connecting with foreign markets;Aide pour accéder aux marchés étrangers;2019-2020;National Defence;Défense nationale;133
1054;Acquiring Surplus Equipment;Acquisition De Biens Excédentaires;2023-2024;National Defence;Défense nationale;133
1055;Drugs and Medical Devices: Permission to Market;Médicaments et instruments médicaux : Autorisation de mise en marché;2022-2023;Health Canada;Santé Canada;127
1056;Executrek Program;Programme ExécuTrek;2019-2020;National Defence;Défense nationale;133
1057;Legacy Sites Unexploded Explosive Ordnance (UXO) Program;Programme des munitions explosives non explosées (UXO) sur le anciens sites;2020-2021;National Defence;Défense nationale;133
1058;Compensation for Employers of Reservists Program (CERP);Programme de Dédommagement des Employeurs de Réservistes;2020-2021;National Defence;Défense nationale;133
1059;Natural Health Products: Permission to Market;Produits de santé naturels : Autorisation de mise en marché;2022-2023;Health Canada;Santé Canada;127
1060;Natural Health Products: Permission to Operate;Produits de santé naturels : Autorisation d'exploitation;2022-2023;Health Canada;Santé Canada;127
1062;Drugs and Medical Devices: Right to Sell Domestically;Médicaments et instruments médicaux : Droit de vendre à l'échelle nationale;2022-2023;Health Canada;Santé Canada;127
1064;Innovation for Defence Excellence and Security (IDEaS);Innovation pour la défense, l’excellence et la sécurité (IDEeS);2023-2024;National Defence;Défense nationale;133
1065;Mobilizing Insights in Defence and Security (MINDS);Mobilisation des idées nouvelles en matière de défense et de sécurité (MINDS);2023-2024;National Defence;Défense nationale;133
1066;Ministerial Correspondence Unit;Unité de la correspondance ministérielle;2023-2024;National Defence;Défense nationale;133
1088;Special Access Programs;Programmes d'accès spéciale;2022-2023;Health Canada;Santé Canada;127
1089;Food Market Authorization and Standards;Autorisation et normes du marché alimentaire;2023-2024;Health Canada;Santé Canada;127
1090;Wage Earner Protection Program;Programme de protection des salariés;2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128
1091;Analytical testing services;Services d’analyse;2018-2019;Canadian Grain Commission;Commission canadienne des grains;69
1092;Science Horizons Youth Internship Program;Programme de stages Horizons Sciences pour les jeunes;2023-2024;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137
1093;General Enquiry and Referral Telephone Service (1-800 O Canada);Demande de renseignements généraux et service d’aiguillage par téléphone (1-800 O Canada);2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128
1094;People Information Management Automated Request Tracker - Information/Data Request Service;Renseignements de gestion des personnes et données sur les demandes de service;2023-2024;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326
1095;National Print Services;Service d'impression national;2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136
1096;Occupational Health and Safety Tribunal Canada;Tribunal de santé et sécurité au travail Canada;2018-2019;Employment and Social Development Canada;Emploi et Développement social Canada;128
1097;Individual Income Tax Returns;Déclaration d'impôt sur le revenus des particuliers;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1098;Authorize a Representative;Autoriser un Représentant;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1099;GST/HST Returns;Production d'une déclaration de la TPS/TVH;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1100;GST/HST Rulings;Décisions en matière de TPS/TVH ;2022-2023;Canada Revenue Agency;Agence du revenu du Canada;46
1101;T2 Corporation Income Tax Returns;Déclaration de revenus des sociétés T2;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1102;Excise Duty, Excise Tax,  Air Travellers Security Charge, and Fuel Charge returns;"Droits d'accise, taxes d'accise, droit pour la sécurité des passagers du transport aérien, et 
déclaration de la redevance sur les combustibles";2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1103;IT Interoperability  - GC Interop;Interopérabilité TI - GC Interop;2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136
1104;Income Tax Rulings;Décisions en Impôt;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1105;Charity Information Return Filing;Déclaration de renseignements des organismes de bienfaisance;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1106;Partnership Information Returns;Déclaration de Renseignements des Sociétés de Personnes;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1107;Canada child benefit (CCB)  applications;Les demandes d'Allocation canadienne pour enfants (ACE);2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1108;Tax Credit Application;Demande de crédit d'impôt;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1109;Children's Special Allowances (CSA)  applications;Les demandes d'Allocations Spéciales pour Enfants (ASE);2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1110;Advanced Canada workers benefit (ACWB);Avance de l’allocation canadienne pour les travailleurs (AACT);2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1111;Provincial and territorial tax credit payments;Les versements de crédits d'impôt provinciaux et territoriaux;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1112;Provincial and territorial child benefit program payments;Les versements provinciaux et territoriaux pour les programmes de prestations pour enfants;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1113;Formal Review Request (Objections);Demande de vérification officielle (Oppositions);2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1114;Public Enquiries;Demandes de renseignement;2023-2024;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326
1115;Trust Income Tax Returns;Dépôt des déclarations de revenus des fiducies;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1116;Business Number (BN) Registration;Inscription d'un Numéro d'Entreprise (NE);2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1117;Access to Information and Privacy;Accès à l'information et à la protection des renseignements personnels;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1118;Prime Minister's Email;Courriel du premier ministre;2019-2020;Privy Council Office;Bureau du Conseil privé;278
1119;Copyright Tariff Setting;Établissement de tarifs liés au droit d’auteur;2023-2024;Copyright Board Canada;Commission du droit d'auteur Canada;114
1120;Issuance of licences for the use of copyright works when the owner is unlocatable;Délivrance de licences pour les oeuvres protégées par un droit d'auteur lorsque le titulaire est introuvable;2023-2024;Copyright Board Canada;Commission du droit d'auteur Canada;114
1121;Public Notices of funding opportunities;Avis publics concernant les possibilités de financement;2023-2024;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74
1122;Public enquiries;Demandes de renseignements du publique;2023-2024;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74
1123;Public Notices of Successful Funding Applications;Avis publics concernant les demandes de financement retenues;2023-2024;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74
1126;Funding transfers to administering institutions;Transfert des fonds aux établissements administrateurs;2018-2019;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74
1127;Direct funding payments;Versement direct des fonds;2018-2019;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74
1128;Grants and Awards Management;Gestion des subventions et bourses;2018-2019;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74
1129;Access to Information and Privacy;Loi sur l’accès à l’information et Loi sur la protection des renseignements personnels;2023-2024;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74
1130;GCshare;GCpartage;2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136
1131;Funding Services;Services de financement;2019-2020;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1132;Diagnostic Testing and Reference Services;Tests de diagnostic et Services de référence;2023-2024;Public Health Agency of Canada;Agence de la santé publique du Canada;280
1133;Training and Guidance on the Duty to Consult;Formation et conseils sur l'obligation de consulter;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1134;Aboriginal and Treaty Rights Information System (ATRIS) and Training on using the system.;Système d'information sur les droits ancestraux et issus de traités (SIDAIT) et formation sur l'utilisation du système.;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1135;Modern Treaty Management Environment (MTME);Environnement de gestion des traités modernes (EGTM);2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1136;Consultation Protocols and Resource Centres;Protocoles de consultation et centres de ressources;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1137;Executive Correspondence;Correspondance de haute gestion;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1138;Training & Education on Modern treaties & Self-Government Agreements;Formation et éducation sur les traités modernes et les ententes sur l’autonomie gouvernementale;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1139;"Individual Tax Enquiries 
(Contact Centre)";Demandes de renseignements sur l'impôt des particuliers (Centre de contact);2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1140;The First Nations Fiscal Management Act and its institutions.;La Loi sur la gestion financière des Premières Nations et ses institutions.;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1141;"Business Enquiries 
(Contact Centre)";Demandes de renseignements des entreprises (Centre de contact);2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1142;Microbiological Emergency Response Team;Équipe d'intervention d'urgence;2023-2024;Public Health Agency of Canada;Agence de la santé publique du Canada;280
1143;"Benefit Enquiries 
(Contact Centre)";Demandes de renseignements sur les prestations (Centre de contact);2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1144;Pay and Benefits;Rémunération et avantages sociaux;2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136
1145;Maintain and update the Indian Register;Tenir le Registre des Indiens et le mettre à jour;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1146;Disability Tax Credit;Crédit d'impôt pour personnes handicapées;2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46
1147;My Government of Canada Human Resources (MyGCHR);Mes ressources humaines du gouvernement du Canada (MesRHGC);2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136
1148;Secure Certificate of Indian Status;Certificat sécurisé de statut d'Indien;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1149;Canada.ca;Canada.ca;2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128
1150;Treaty Payments Events;Paiement événements dans les traités;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1151;Treaty Annuity Payments;Paiement des annuités prévues dans les traités;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1153;Complaint Management - Human Rights;Gestion des plaintes - Droits de la personne;2023-2024;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71
1154;Registration of persons with a priority entitlement;Inscription des personnes bénéficiant d'un droit de priorité;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1155;Identification of persons with a priority entitlement to vacant positions;Identification des personnes ayant le droit de priorité aux postes vacants;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1156;Process permission requests from public servants seeking to be a candidate in an election;Traiter les demandes de permission des fonctionnaires souhaitant se porter candidats à une élection;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1157;Targeted Contribution Funding to Support Climate Change Projects;Fonds de contribution ciblés pour soutenir les projets liés aux changements climatiques;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1158;Official Language proficiency: Exclusions on medical grounds;Compétence en matière de langues officielles : Exemptions pour des raisons d'ordre médical;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1159;Provide minerals prospecting permits;Délivrer des permis de prospection;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1160;Provide mineral claims;Délivrer des claims miniers;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1161;Provide mining leases;Délivrer des baux miniers;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1162;Provide licenses to prospect for minerals;Délivrer des licences de prospection des minéraux;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1163;Provide coal exploration licenses, location permits and leases;Délivrer des permis de recherche de gisement de houille, des permis et des concessions d'un emplacement;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1164;Provide Crown land use permits;Fournir des permis d'utilisation des terres de la Couronne;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1165;Provide Crown land surface leases;Fournir des baux de surface pour les terres de la Couronne.;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1166;Northern Participant Funding Program;Programme d'aide financière aux participants du Nord;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1167;Provide funding and advice to support Indigenous entrepreneurship and business d;Fournir du financement et des conseils pour soutenir l’entrepreneuriat autochtone et le développement des entreprises.;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1172;"FSWEP; Ongoing student recruitment inventory for hiring managers";Programme fédéral d'expérience de travail étudiant: Répertoire d'étudiants pour les gestionnaires;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1173;Compliance - Employment Equity;Conformité - Équité en matière d'emploi;2023-2024;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71
1176;"Post-secondary Co-op / Internship Program (CO-OP); Recruitment options for managers";Programme postsecondaire d'enseignement coopératif / de stages: Options de recrutement pour les gestionnaires;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1178;Provide funding and advice to support First Nation Economic Development Capacity;Fournir des conseils et du financement afin d’appuyer la capacité et la préparation du développement économique des Premières Nations.;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1179;"Research Affiliate Program (RAP); Recruitment options for managers";Programme des adjoints de recherche: Options de recrutement pour les gestionnaires;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1180;"Post-Secondary Recruitment Program (PSR); Recruitment options for managers";Programme de recrutement postsecondaire: Options de recrutement pour les gestionnaires;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1182;Indian Land Registry;Registre des terres indiennes;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1183;"Recruitment of Policy leaders (RPL); Recruitment options for managers";Recrutement de leaders en politiques: Options de recrutement pour les gestionnaires;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1187;Access to Information and Privacy Request Services;Service de demandes d'accès à l'information et protection des renseignements personnels;2021-2022;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71
1188;With First Nation consent, administer and process additions to reserve applicati;Avec le consentement des Premières Nations, administrer et traiter les demandes d’ajout aux réserves afin de soutenir le développement communautaire et économique durable des Premières Nations.;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1190;Additions to Reserve;Ajouts aux réserves;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1193;Regulatory Development under the First Nations Commercial and Industrial Develop;Développement de règlements en vertu de la Loi sur le développement commercial et industriel des Premières Nations;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1195;"Public Service Resourcing System (PSRS); PSRS Help desk";Système de ressourcement de la fonction publique (SRFP): Service de dépannage du SRFP;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1196;Procurement Strategy for Aboriginal Business and the Indigenous Business Directo;Stratégie d'approvisionnement auprès des entreprises autochtones et Le répertoire des entreprises autochtones;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1197;Indigenous Business Directory;Annuaire des entreprises autochtone;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1198;Meeting Statutory/ Regulatory Obligations with Respect to Elections and Lawmakin;Respect des obligations statutaires ou réglementaires en matière d’élections et de législation;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1199;Access to Capital;Accès au capital;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
12;Procurement Training Services;Services de formation sur l'approvisionnement;2018-2019;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136
1200;Prime Minister's Website;Site Web du premier ministre;2019-2020;Privy Council Office;Bureau du Conseil privé;278
1202;"Personnel Psychology Centre; Assessment accommodation";Centre de psychologie du personnel: Mesures d'adaptation en matière d'évaluation;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1204;"Personnel Psychology Centre; Test Services";Centre de psychologie du personnel: Services d'évaluation;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1208;Environmental Funding - Community Interaction Program;Programme Interactions communautaires;2023-2024;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137
1210;"Personnel Psychology Centre;Consultation Services";Centre de psychologie du personnel: Services de consultation;2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282
1211;Measuring Device Prototype Approvals (new approvals);Approbation des prototypes d'appareils de mesure (nouvelles approbations);2021-2022;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130
1212;First Nation Land Management;Gestion des terres des Premières Nations;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1213;Reserve Land and Environment Management Program;Programme de gestion de l'environnement et des terres de réserves;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1214;Matrimonial Real Property;Biens Immobiliers Matrimoniaux;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1215;Land Use Planning;Planification de l'utilisation des terres;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1216;First Nations Solid Waste Management Initiative;Initiative de gestion des matières résiduelles des Premières Nations;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1217;Environmental Review Process;Processus d'évaluation environnementale;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
