department_en;org_id;fiscal_yr;service_id;service_name_en;service_name_fr;program_id;issue;description_en;action_en;description_fr;action_fr;context
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1012;Intergovernmental and International Relations;Relations intergouvernementales et internationales;BGV04,BTD02,BTX05,BUV04,BWM15,BWW08;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BGV04: Impact Assessment Agency of Canada/Agence d'évaluation d'impact du Canada<>BTD02: Canada Energy Regulator/Régie de l'énergie du Canada<>BTX05: Transport Canada/Transports Canada<>BUV04: Department of Finance Canada/Ministère des Finances Canada<>BWW08: Privy Council Office/Bureau du Conseil privé
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1019;Métis Housing;Logement des Métis;BWT04;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BWT04: Department of Indigenous Services/Ministère des Services aux Autochtones
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1019;Métis Housing;Logement des Métis;BWT04;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 6.0
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1023;Inuit Housing;Logement des Inuit;BWT04;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BWT04: Department of Indigenous Services/Ministère des Services aux Autochtones
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1023;Inuit Housing;Logement des Inuit;BWT04;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 3.0
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1160;Provide mineral claims;Délivrer des claims miniers;BNQ05,BWR06;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BNQ05: National Research Council Canada/Conseil national de recherches Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1161;Provide mining leases;Délivrer des baux miniers;BNQ05,BWR06;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BNQ05: National Research Council Canada/Conseil national de recherches Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1162;Provide licenses to prospect for minerals;Délivrer des licences de prospection des minéraux;BNQ05,BWR06;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BNQ05: National Research Council Canada/Conseil national de recherches Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1163;Provide coal exploration licenses, location permits and leases;Délivrer des permis de recherche de gisement de houille, des permis et des concessions d'un emplacement;BNQ05,BWR06;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BNQ05: National Research Council Canada/Conseil national de recherches Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1164;Provide Crown land use permits;Fournir des permis d'utilisation des terres de la Couronne;BNQ05;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BNQ05: National Research Council Canada/Conseil national de recherches Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1165;Provide Crown land surface leases;Fournir des baux de surface pour les terres de la Couronne.;BNQ05;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BNQ05: National Research Council Canada/Conseil national de recherches Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;1483;Provide crown land quarry permits/leases;Fournir des permis ou des baux d'exploitation de carrière sur des terres de la Couronne;BNQ05;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BNQ05: National Research Council Canada/Conseil national de recherches Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2130;Access to Information;Accès à l'information;BSJ03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BSJ03: Library and Archives Canada/Bibliothèque et Archives Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2133;Privacy;Protection des renseignements personnels;BSJ03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BSJ03: Library and Archives Canada/Bibliothèque et Archives Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2515;Northern Contaminated Sites Program;Programme des sites contaminés du Nord;BWR08;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 21.0
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2559;Missing and Murdered Indigenous Women and Girls Secretariat;Le Secretariat pour les femmes et les filles autochtones disparues et assassinées;BWM15,BWM16;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 46.0
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2562;Reconciliation Secretariat Branch;Direction générale du Secrétariat de la réconciliation;BWM15,BWM16;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 72.0
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2563;Claims Assessment;Évaluation des revendications;BGV04;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BGV04: Impact Assessment Agency of Canada/Agence d'évaluation d'impact du Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2564;Contribution and Loan Funding to support Indigenous Communities Programs;Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. s;BGV04;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BGV04: Impact Assessment Agency of Canada/Agence d'évaluation d'impact du Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2565;Negotiations;Négociations;BGV04;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BGV04: Impact Assessment Agency of Canada/Agence d'évaluation d'impact du Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2566;BC Treaty Funding;Financement des traités CB;BGV04;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BGV04: Impact Assessment Agency of Canada/Agence d'évaluation d'impact du Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2567;Surplus Federal Real Property Initiative;Initiative sur les biens immobiliers excédentaires fédéraux;BGV04;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BGV04: Impact Assessment Agency of Canada/Agence d'évaluation d'impact du Canada
Crown-Indigenous Relations and Northern Affairs Canada;129;2023-2024;2567;Surplus Federal Real Property Initiative;Initiative sur les biens immobiliers excédentaires fédéraux;BGV04;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 21.0
Department of Indigenous Services;348;2023-2024;1778;Supplementary Health Benefits - Direct Service Delivery;Prestations de santé supplémentaires – Prestation directe de services.;BYP05;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 238315.0
Department of Indigenous Services;348;2023-2024;1804;Jordan's Principle: Direct Service Delivery;Principe de Jordan: Prestation directe de services;BYP06;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 202076.0
Department of Indigenous Services;348;2023-2024;2043;Treaty Payments Events;Événements de paiement de traités;BYP18;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 8.0
Department of Indigenous Services;348;2023-2024;SRV03382;Inuit Child First Initiative: Direct Service Delivery;L'Initiative : Les enfants inuits d'abord : Prestation directe de services;BYP06;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 17952.0
Employment and Social Development Canada;128;2023-2024;1093;General Enquiry and Referral Telephone Service (1-800 O Canada);Demande de renseignements généraux et service d’aiguillage par téléphone (1-800 O Canada);BGQ01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1814066.0
Employment and Social Development Canada;128;2023-2024;1149;Canada.ca;Canada.ca;BGQ02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 8760.0
Employment and Social Development Canada;128;2023-2024;1252;In-Person Service;Service en personne;BGQ03;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 41243076.0
Employment and Social Development Canada;128;2023-2024;1295;Labour Market Information;Information sur le marché du travail;BGO05;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 3736.0
Employment and Social Development Canada;128;2023-2024;1322;Canada Education Savings Grant and Canada Learning Bond;Subvention canadienne pour l’épargne-études et Bon d’études canadien;BGO18;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 63042280.0
