fiscal_yr;org_id;department_en;department_fr;online_e2e_count;service_count;online_e2e_pc;num_applications_online;num_applications_by_phone;num_applications_by_mail;num_applications_in_person;num_applications_by_other_fax_and_email;service_with_std_count;service_count;services_with_standards_percentage;service_standard_met;service_standard_count;standards_met_percentage
2018-2019;347;Invest in Canada Hub;Investir au Canada;0;5;0.0;0.0;0.0;0.0;0.0;0.0;0;5;0.0;;;
2018-2019;199;Library and Archives Canada;Bibliothèque et Archives Canada;0;8;0.0;11954.0;0.0;29.0;2675.0;0.0;6;8;0.75;3.0;6.0;0.5
2018-2019;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;0;2;0.0;0.0;0.0;0.0;0.0;0.0;0;2;0.0;;;
2018-2019;133;National Defence;Défense nationale;1;11;0.09090909090909091;5312.0;0.0;4265.0;30630.0;6368.0;0;11;0.0;;;
2018-2019;223;National Film Board;Office national du film;1;3;0.3333333333333333;1.0;0.0;30.0;0.0;12625.0;3;3;1.0;5.0;6.0;0.8333333333333334
2018-2019;228;National Research Council Canada;Conseil national de recherches Canada;6;15;0.4;0.0;0.0;1200.0;2.0;15544.0;12;15;0.8;12.0;19.0;0.631578947368421
2018-2019;134;Natural Resources Canada;Ressources naturelles Canada;14;33;0.42424242424242425;3357.0;0.0;5505.0;65.0;3392.0;3;33;0.09090909090909091;3.0;3.0;1.0
2018-2019;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;5;6;0.8333333333333334;27528.0;0.0;0.0;0.0;0.0;6;6;1.0;0.0;0.0;
2018-2019;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;2;6;0.3333333333333333;300.0;0.0;23800.0;0.0;936.0;0;6;0.0;;;
2018-2019;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;0;7;0.0;0.0;0.0;0.0;0.0;11.0;7;7;1.0;9.0;10.0;0.9
2018-2019;263;Parks Canada;Parcs Canada;0;14;0.0;0.0;0.0;36.0;0.0;0.0;4;14;0.2857142857142857;5.0;6.0;0.8333333333333334
2018-2019;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;4;11;0.36363636363636365;0.0;0.0;13878.0;0.0;367.0;4;11;0.36363636363636365;4.0;4.0;1.0
2018-2019;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;1;2;0.5;1.0;0.0;16.0;0.0;32.0;1;2;0.5;0.0;1.0;0.0
2018-2019;552;Polar Knowledge Canada;Savoir polaire Canada;0;3;0.0;400.0;0.0;0.0;0.0;2.0;3;3;1.0;0.0;0.0;
2018-2019;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;2;4;0.5;1713.0;0.0;18.0;12.0;29.0;3;4;0.75;6.0;6.0;1.0
2018-2019;278;Privy Council Office;Bureau du Conseil privé;1;11;0.09090909090909091;32717.0;0.0;492414.0;0.0;1539546.0;0;11;0.0;;;
2018-2019;280;Public Health Agency of Canada;Agence de la santé publique du Canada;1;13;0.07692307692307693;457.0;0.0;46976.0;0.0;189114.0;12;13;0.9230769230769231;12.0;17.0;0.7058823529411765
2018-2019;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;0;1;0.0;49.0;0.0;105.0;0.0;28.0;0;1;0.0;;;
2018-2019;135;Public Safety Canada;Sécurité publique Canada;0;53;0.0;1286.0;0.0;6.0;1.0;31.0;34;53;0.6415094339622641;45.0;52.0;0.8653846153846154
2018-2019;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;17;25;0.68;1266346.0;0.0;68.0;0.0;5653.0;13;25;0.52;7.0;13.0;0.5384615384615384
2018-2019;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;13;43;0.3023255813953488;715673.0;0.0;349155.0;42685.0;219509.0;29;43;0.6744186046511628;44.0;59.0;0.7457627118644068
2018-2019;296;RCMP External Review Committee;Comité externe d'examen de la GRC;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;1.0;1.0;1.0
2018-2019;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;2;15;0.13333333333333333;321383.0;0.0;308692.0;700000.0;158344.0;13;15;0.8666666666666667;4.0;18.0;0.2222222222222222
2018-2019;305;Shared Services Canada;Services partagés Canada;7;26;0.2692307692307692;7514164.0;0.0;0.0;0.0;0.0;17;26;0.6538461538461539;0.0;20.0;0.0
2018-2019;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;3;7;0.42857142857142855;9186.0;0.0;563.0;0.0;288.0;7;7;1.0;5.0;12.0;0.4166666666666667
2018-2019;313;Statistics Canada;Statistique Canada;21;23;0.9130434782608695;58549.0;0.0;10.0;128.0;40515.0;23;23;1.0;3.0;11.0;0.2727272727272727
2018-2019;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;0;3;0.0;39.0;0.0;790.0;0.0;0.0;3;3;1.0;5.0;5.0;1.0
2018-2019;218;The National Battlefields Commission;Commission des champs de bataille nationaux;3;7;0.42857142857142855;757.0;0.0;0.0;14931.0;827.0;5;7;0.7142857142857143;5.0;5.0;1.0
2018-2019;138;Transport Canada;Transports Canada;0;96;0.0;85951.0;0.0;2770.0;0.0;256610.0;60;96;0.625;74.0;151.0;0.4900662251655629
2018-2019;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;0;3;0.0;0.0;0.0;0.0;0.0;0.0;0;3;0.0;;;
2018-2019;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;3;7;0.42857142857142855;6388.0;0.0;94.0;0.0;4735.0;2;7;0.2857142857142857;1.0;1.0;1.0
2018-2019;139;Veterans Affairs Canada;Anciens Combattants Canada;16;30;0.5333333333333333;34381.0;0.0;15162.0;0.0;118.0;16;30;0.5333333333333333;16.0;21.0;0.7619047619047619
2018-2019;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);0;2;0.0;10.0;0.0;21.0;0.0;0.0;2;2;1.0;1.0;2.0;0.5
2019-2020;539;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;0;5;0.0;156.0;0.0;19.0;0.0;31.0;2;5;0.4;1.0;1.0;1.0
2019-2020;1;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;9;35;0.2571428571428571;181754.0;0.0;23962.0;11.0;4288.0;35;35;1.0;117.0;134.0;0.8731343283582089
2019-2020;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;1;5;0.2;50.0;108.0;2744.0;0.0;0.0;3;5;0.6;4.0;7.0;0.5714285714285714
2019-2020;26;Canada Border Services Agency;Agence des services frontaliers du Canada;4;42;0.09523809523809523;19834207.0;721903.0;351683.0;95895634.0;76217.0;27;42;0.6428571428571429;33.0;44.0;0.75
2019-2020;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;0;3;0.0;635.0;0.0;16.0;8.0;553.0;3;3;1.0;8.0;9.0;0.8888888888888888
2019-2020;221;Canada Energy Regulator;Régie de l'énergie du Canada;0;16;0.0;307.0;0.0;0.0;0.0;747.0;16;16;1.0;12.0;18.0;0.6666666666666666
2019-2020;46;Canada Revenue Agency;Agence du revenu du Canada;6;24;0.25;110717496.0;153595.0;23792901.0;1127.0;51002.0;13;24;0.5416666666666666;14.0;18.0;0.7777777777777778
2019-2020;47;Canada School of Public Service;École de la fonction publique du Canada;1;3;0.3333333333333333;0.0;0.0;0.0;0.0;493.0;2;3;0.6666666666666666;3.0;4.0;0.75
2019-2020;65;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;1;9;0.1111111111111111;17496.0;1.0;24714.0;543893.0;550.0;9;9;1.0;6.0;15.0;0.4
2019-2020;69;Canadian Grain Commission;Commission canadienne des grains;0;14;0.0;16062.0;0.0;0.0;0.0;29867.0;11;14;0.7857142857142857;10.0;10.0;1.0
2019-2020;122;Canadian Heritage;Patrimoine canadien;0;27;0.0;5522.0;0.0;0.0;0.0;10884.0;23;27;0.8518518518518519;44.0;50.0;0.88
2019-2020;71;Canadian Human Rights Commission;Commission canadienne des droits de la personne;1;3;0.3333333333333333;2146.0;0.0;351.0;0.0;9599.0;1;3;0.3333333333333333;0.0;1.0;0.0
2019-2020;74;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;0;6;0.0;10681.0;0.0;0.0;0.0;31886.0;2;6;0.3333333333333333;2.0;3.0;0.6666666666666666
2019-2020;76;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;0;2;0.0;0.0;101.0;0.0;0.0;191.0;2;2;1.0;0.0;3.0;0.0
2019-2020;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;1;3;0.3333333333333333;131.0;0.0;0.0;0.0;30.0;2;3;0.6666666666666666;1.0;4.0;0.25
2019-2020;87;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;0;7;0.0;0.0;0.0;147.0;0.0;3144.0;7;7;1.0;7.0;11.0;0.6363636363636364
2019-2020;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;2;4;0.5;74305.0;4770.0;5.0;0.0;0.0;4;4;1.0;12.0;13.0;0.9230769230769231
2019-2020;95;Canadian Space Agency;Agence spatiale canadienne;2;11;0.18181818181818182;9354.0;0.0;616.0;0.0;60.0;11;11;1.0;13.0;15.0;0.8666666666666667
2019-2020;99;Canadian Transportation Agency;Office des transports du Canada;0;6;0.0;0.0;0.0;0.0;0.0;0.0;4;6;0.6666666666666666;5.0;6.0;0.8333333333333334
2019-2020;297;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;0;3;0.0;2002.0;1238.0;182.0;0.0;219.0;0;3;0.0;;;
2019-2020;114;Copyright Board Canada;Commission du droit d'auteur Canada;0;3;0.0;0.0;0.0;0.0;0.0;0.0;2;3;0.6666666666666666;0.0;2.0;0.0
2019-2020;117;Correctional Service Canada;Service correctionnel Canada;1;3;0.3333333333333333;0.0;0.0;7498.0;0.0;0.0;3;3;1.0;1.0;6.0;0.16666666666666666
2019-2020;118;Courts Administration Service;Service administratif des tribunaux judiciaires;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;0.0;1.0;0.0
2019-2020;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;4;32;0.125;2044.0;0.0;201.0;0.0;3839.0;10;32;0.3125;3.0;5.0;0.6
2019-2020;124;Department of Finance Canada;Ministère des Finances Canada;0;3;0.0;681.0;480.0;77.0;0.0;7159.0;1;3;0.3333333333333333;0.0;0.0;
2019-2020;348;Department of Indigenous Services;Ministère des Services aux Autochtones;8;88;0.09090909090909091;1058.0;0.0;38795.0;63450.0;1765.0;10;88;0.11363636363636363;2.0;14.0;0.14285714285714285
2019-2020;132;Department of Justice Canada;Ministère de la Justice Canada;1;7;0.14285714285714285;174106.0;0.0;128.0;0.0;492.0;6;7;0.8571428571428571;14.0;16.0;0.875
2019-2020;128;Employment and Social Development Canada;Emploi et Développement social Canada;12;29;0.41379310344827586;7424079.0;4511.0;2283731.0;11592576.0;3407541.0;28;29;0.9655172413793104;51.0;65.0;0.7846153846153846
2019-2020;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;8;43;0.18604651162790697;66543.0;155.0;9243.0;252.0;155789.0;35;43;0.813953488372093;63.0;90.0;0.7
2019-2020;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;0;4;0.0;3.0;0.0;0.0;0.0;0.0;0;4;0.0;;;
2019-2020;150;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;0;2;0.0;0.0;0.0;0.0;1946.0;5209.0;1;2;0.5;4.0;4.0;1.0
2019-2020;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;0;3;0.0;11.0;9265.0;0.0;0.0;3719.0;2;3;0.6666666666666666;2.0;3.0;0.6666666666666666
2019-2020;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;2;7;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;5;7;0.7142857142857143;0.0;8.0;0.0
2019-2020;125;Fisheries and Oceans Canada;Pêches et Océans Canada;4;64;0.0625;446478.0;0.0;887.0;182939.0;1755734.0;63;64;0.984375;76.0;96.0;0.7916666666666666
2019-2020;126;Global Affairs Canada;Affaires mondiales Canada;7;35;0.2;319933.0;0.0;15200.0;22000.0;10.0;4;35;0.11428571428571428;0.0;2.0;0.0
2019-2020;127;Health Canada;Santé Canada;2;82;0.024390243902439025;376.0;0.0;19636.0;0.0;281383.0;48;82;0.5853658536585366;34.0;53.0;0.6415094339622641
2019-2020;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;1;12;0.08333333333333333;0.0;0.0;0.0;0.0;2223.0;12;12;1.0;18.0;22.0;0.8181818181818182
2019-2020;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;1;6;0.16666666666666666;258.0;0.0;0.0;0.0;0.0;1;6;0.16666666666666666;0.0;1.0;0.0
2019-2020;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;20;72;0.2777777777777778;8142227.0;0.0;5452420.0;1907813.0;448145.0;24;72;0.3333333333333333;32.0;47.0;0.6808510638297872
2019-2020;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;6;12;0.5;3040.0;0.0;58.0;1246.0;523.0;8;12;0.6666666666666666;5.0;7.0;0.7142857142857143
2019-2020;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;14;47;0.2978723404255319;6522966.0;7137.0;152412.0;0.0;49600.0;41;47;0.8723404255319149;117.0;151.0;0.7748344370860927
2019-2020;347;Invest in Canada Hub;Investir au Canada;0;3;0.0;25.0;0.0;0.0;192.0;0.0;0;3;0.0;;;
2019-2020;199;Library and Archives Canada;Bibliothèque et Archives Canada;1;9;0.1111111111111111;18556.0;0.0;3.0;1868.0;94580.0;2;9;0.2222222222222222;1.0;2.0;0.5
2019-2020;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;0;2;0.0;0.0;0.0;0.0;0.0;42.0;0;2;0.0;;;
2019-2020;133;National Defence;Défense nationale;2;10;0.2;105.0;0.0;472.0;30527.0;2445.0;5;10;0.5;10.0;11.0;0.9090909090909091
2019-2020;223;National Film Board;Office national du film;0;3;0.0;13.0;0.0;30.0;0.0;9471.0;3;3;1.0;5.0;6.0;0.8333333333333334
2019-2020;228;National Research Council Canada;Conseil national de recherches Canada;6;15;0.4;130654.0;10380.0;0.0;0.0;27142.0;12;15;0.8;13.0;21.0;0.6190476190476191
2019-2020;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;0;2;0.0;0.0;0.0;0.0;0.0;0.0;0;2;0.0;;;
2019-2020;134;Natural Resources Canada;Ressources naturelles Canada;14;33;0.42424242424242425;0.0;0.0;0.0;0.0;0.0;4;33;0.12121212121212122;0.0;3.0;0.0
2019-2020;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;5;6;0.8333333333333334;15402.0;0.0;0.0;0.0;0.0;6;6;1.0;7.0;10.0;0.7
2019-2020;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;2;6;0.3333333333333333;300.0;0.0;23769.0;0.0;934.0;0;6;0.0;;;
2019-2020;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;0;8;0.0;44.0;0.0;51.0;0.0;1533.0;7;8;0.875;8.0;9.0;0.8888888888888888
2019-2020;263;Parks Canada;Parcs Canada;0;12;0.0;91667.0;397654.0;0.0;105109.0;0.0;3;12;0.25;2.0;2.0;1.0
2019-2020;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;5;11;0.45454545454545453;0.0;0.0;10487.0;0.0;21204.0;6;11;0.5454545454545454;7.0;8.0;0.875
2019-2020;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;1;2;0.5;29.0;0.0;0.0;0.0;176.0;1;2;0.5;1.0;1.0;1.0
2019-2020;552;Polar Knowledge Canada;Savoir polaire Canada;0;2;0.0;103.0;0.0;0.0;0.0;0.0;2;2;1.0;2.0;2.0;1.0
2019-2020;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;2;4;0.5;522.0;0.0;5.0;5.0;68.0;3;4;0.75;6.0;6.0;1.0
2019-2020;278;Privy Council Office;Bureau du Conseil privé;1;6;0.16666666666666666;0.0;14916.0;291932.0;0.0;13374010.0;0;6;0.0;;;
2019-2020;280;Public Health Agency of Canada;Agence de la santé publique du Canada;1;13;0.07692307692307693;570.0;84.0;29.0;825.0;2757.0;12;13;0.9230769230769231;15.0;17.0;0.8823529411764706
2019-2020;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;0;1;0.0;56.0;0.0;7.0;0.0;3.0;0;1;0.0;;;
2019-2020;135;Public Safety Canada;Sécurité publique Canada;0;54;0.0;2342.0;0.0;37.0;0.0;383.0;34;54;0.6296296296296297;1.0;1.0;1.0
2019-2020;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;13;25;0.52;836551.0;443.0;56.0;0.0;7613.0;15;25;0.6;9.0;15.0;0.6
2019-2020;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;10;46;0.21739130434782608;761335.0;987.0;374166.0;41025.0;240121.0;30;46;0.6521739130434783;45.0;56.0;0.8035714285714286
2019-2020;296;RCMP External Review Committee;Comité externe d'examen de la GRC;0;1;0.0;0.0;0.0;0.0;0.0;5.0;1;1;1.0;0.0;1.0;0.0
2019-2020;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;2;18;0.1111111111111111;356758.0;0.0;286295.0;637363.0;161075.0;13;18;0.7222222222222222;11.0;21.0;0.5238095238095238
2019-2020;305;Shared Services Canada;Services partagés Canada;5;12;0.4166666666666667;10554807.0;0.0;0.0;0.0;0.0;10;12;0.8333333333333334;0.0;14.0;0.0
2019-2020;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;3;7;0.42857142857142855;11091.0;0.0;0.0;0.0;50.0;7;7;1.0;9.0;13.0;0.6923076923076923
2019-2020;313;Statistics Canada;Statistique Canada;21;23;0.9130434782608695;63983.0;0.0;0.0;128.0;61481.0;23;23;1.0;0.0;0.0;
2019-2020;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;0;3;0.0;12.0;0.0;323.0;0.0;20.0;3;3;1.0;2.0;5.0;0.4
2019-2020;218;The National Battlefields Commission;Commission des champs de bataille nationaux;4;7;0.5714285714285714;1120.0;12.0;1.0;14828.0;1098.0;4;7;0.5714285714285714;4.0;4.0;1.0
2019-2020;138;Transport Canada;Transports Canada;1;102;0.00980392156862745;425092.0;0.0;63520.0;7980.0;294889.0;66;102;0.6470588235294118;92.0;174.0;0.5287356321839081
2019-2020;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;0;5;0.0;0.0;0.0;0.0;0.0;3881.0;0;5;0.0;;;
2019-2020;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;10;15;0.6666666666666666;1393123.0;0.0;50.0;0.0;3183.0;7;15;0.4666666666666667;6.0;12.0;0.5
2019-2020;139;Veterans Affairs Canada;Anciens Combattants Canada;15;28;0.5357142857142857;91345.0;0.0;16159.0;0.0;15033.0;17;28;0.6071428571428571;17.0;22.0;0.7727272727272727
2019-2020;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);0;2;0.0;18.0;0.0;3.0;0.0;12.0;2;2;1.0;1.0;2.0;0.5
2019-2020;246;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;0;3;0.0;7.0;0.0;0.0;0.0;41.0;3;3;1.0;2.0;4.0;0.5
