fiscal_yr;service_id;online_interaction_point;activation;online_interaction_point_sort
2022-2023;1065;issuance;N;5
2022-2023;1065;feedback;N;6
2022-2023;1066;registration;;1
2022-2023;1066;authentication;;2
2022-2023;1066;application;;3
2022-2023;1066;decision;;4
2022-2023;1066;issuance;;5
2022-2023;1066;feedback;Y;6
2022-2023;1088;registration;N;1
2022-2023;1088;authentication;;2
2022-2023;1088;application;;3
2022-2023;1088;decision;N;4
2022-2023;1088;issuance;N;5
2022-2023;1088;feedback;N;6
2022-2023;1089;registration;;1
2022-2023;1089;authentication;;2
2022-2023;1089;application;Y;3
2022-2023;1089;decision;;4
2022-2023;1089;issuance;;5
2022-2023;1089;feedback;Y;6
2022-2023;1090;registration;;1
2022-2023;1090;authentication;Y;2
2022-2023;1090;application;Y;3
2022-2023;1090;decision;;4
2022-2023;1090;issuance;N;5
2022-2023;1090;feedback;Y;6
2018-2019;1091;registration;N;1
2018-2019;1091;authentication;N;2
2018-2019;1091;application;N;3
2018-2019;1091;decision;N;4
2018-2019;1091;issuance;N;5
2018-2019;1091;feedback;N;6
2022-2023;1092;registration;;1
2022-2023;1092;authentication;;2
2022-2023;1092;application;;3
2022-2023;1092;decision;;4
2022-2023;1092;issuance;;5
2022-2023;1092;feedback;;6
2022-2023;1093;registration;;1
2022-2023;1093;authentication;;2
2022-2023;1093;application;;3
2022-2023;1093;decision;;4
2022-2023;1093;issuance;;5
2022-2023;1093;feedback;;6
2022-2023;1094;registration;Y;1
2022-2023;1094;authentication;Y;2
2022-2023;1094;application;Y;3
2022-2023;1094;decision;;4
2022-2023;1094;issuance;;5
2022-2023;1094;feedback;Y;6
2022-2023;1095;registration;;1
2022-2023;1095;authentication;;2
2022-2023;1095;application;;3
2022-2023;1095;decision;;4
2022-2023;1095;issuance;;5
2022-2023;1095;feedback;;6
2018-2019;1096;registration;N;1
2018-2019;1096;authentication;N;2
2018-2019;1096;application;N;3
2018-2019;1096;decision;N;4
2018-2019;1096;issuance;N;5
2018-2019;1096;feedback;N;6
2022-2023;1097;registration;Y;1
2022-2023;1097;authentication;Y;2
2022-2023;1097;application;Y;3
2022-2023;1097;decision;Y;4
2022-2023;1097;issuance;Y;5
2022-2023;1097;feedback;Y;6
2022-2023;1098;registration;Y;1
2022-2023;1098;authentication;Y;2
2022-2023;1098;application;Y;3
2022-2023;1098;decision;Y;4
2022-2023;1098;issuance;;5
2022-2023;1098;feedback;Y;6
2022-2023;1099;registration;Y;1
2022-2023;1099;authentication;Y;2
2022-2023;1099;application;Y;3
2022-2023;1099;decision;Y;4
2022-2023;1099;issuance;Y;5
2022-2023;1099;feedback;Y;6
2022-2023;1100;registration;Y;1
2022-2023;1100;authentication;Y;2
2022-2023;1100;application;Y;3
2022-2023;1100;decision;N;4
2022-2023;1100;issuance;N;5
2022-2023;1100;feedback;N;6
2022-2023;1101;registration;Y;1
2022-2023;1101;authentication;Y;2
2022-2023;1101;application;Y;3
2022-2023;1101;decision;Y;4
2022-2023;1101;issuance;Y;5
2022-2023;1101;feedback;Y;6
2022-2023;1102;registration;N;1
2022-2023;1102;authentication;Y;2
2022-2023;1102;application;Y;3
2022-2023;1102;decision;Y;4
2022-2023;1102;issuance;Y;5
2022-2023;1102;feedback;Y;6
2022-2023;1103;registration;;1
2022-2023;1103;authentication;Y;2
2022-2023;1103;application;;3
2022-2023;1103;decision;;4
2022-2023;1103;issuance;;5
2022-2023;1103;feedback;;6
2022-2023;1104;registration;;1
2022-2023;1104;authentication;;2
2022-2023;1104;application;;3
2022-2023;1104;decision;;4
2022-2023;1104;issuance;;5
2022-2023;1104;feedback;;6
2022-2023;1105;registration;Y;1
2022-2023;1105;authentication;Y;2
2022-2023;1105;application;Y;3
2022-2023;1105;decision;Y;4
2022-2023;1105;issuance;;5
2022-2023;1105;feedback;N;6
2022-2023;1106;registration;Y;1
2022-2023;1106;authentication;Y;2
2022-2023;1106;application;Y;3
2022-2023;1106;decision;Y;4
2022-2023;1106;issuance;Y;5
2022-2023;1106;feedback;Y;6
2022-2023;1107;registration;Y;1
2022-2023;1107;authentication;Y;2
2022-2023;1107;application;Y;3
2022-2023;1107;decision;Y;4
2022-2023;1107;issuance;Y;5
2022-2023;1107;feedback;N;6
2022-2023;1108;registration;Y;1
2022-2023;1108;authentication;Y;2
2022-2023;1108;application;Y;3
2022-2023;1108;decision;Y;4
2022-2023;1108;issuance;Y;5
2022-2023;1108;feedback;N;6
2022-2023;1109;registration;Y;1
2022-2023;1109;authentication;Y;2
2022-2023;1109;application;Y;3
2022-2023;1109;decision;Y;4
2022-2023;1109;issuance;Y;5
2022-2023;1109;feedback;N;6
2022-2023;1110;registration;Y;1
2022-2023;1110;authentication;Y;2
2022-2023;1110;application;Y;3
2022-2023;1110;decision;Y;4
2022-2023;1110;issuance;Y;5
2022-2023;1110;feedback;N;6
2022-2023;1111;registration;Y;1
2022-2023;1111;authentication;Y;2
2022-2023;1111;application;Y;3
2022-2023;1111;decision;Y;4
2022-2023;1111;issuance;Y;5
2022-2023;1111;feedback;N;6
2022-2023;1112;registration;Y;1
2022-2023;1112;authentication;Y;2
2022-2023;1112;application;Y;3
2022-2023;1112;decision;Y;4
2022-2023;1112;issuance;Y;5
2022-2023;1112;feedback;N;6
2022-2023;1113;registration;Y;1
2022-2023;1113;authentication;Y;2
2022-2023;1113;application;Y;3
2022-2023;1113;decision;Y;4
2022-2023;1113;issuance;Y;5
2022-2023;1113;feedback;Y;6
2022-2023;1114;registration;;1
2022-2023;1114;authentication;;2
2022-2023;1114;application;N;3
2022-2023;1114;decision;;4
2022-2023;1114;issuance;Y;5
2022-2023;1114;feedback;Y;6
2022-2023;1115;registration;Y;1
2022-2023;1115;authentication;Y;2
2022-2023;1115;application;Y;3
2022-2023;1115;decision;N;4
2022-2023;1115;issuance;N;5
2022-2023;1115;feedback;N;6
2022-2023;1116;registration;Y;1
2022-2023;1116;authentication;Y;2
2022-2023;1116;application;Y;3
2022-2023;1116;decision;Y;4
2022-2023;1116;issuance;Y;5
2022-2023;1116;feedback;Y;6
2022-2023;1117;registration;;1
2022-2023;1117;authentication;Y;2
2022-2023;1117;application;Y;3
2022-2023;1117;decision;;4
2022-2023;1117;issuance;N;5
2022-2023;1117;feedback;Y;6
2019-2020;1118;registration;;1
2019-2020;1118;authentication;;2
2019-2020;1118;application;;3
2019-2020;1118;decision;;4
2019-2020;1118;issuance;;5
2019-2020;1118;feedback;;6
2021-2022;1119;registration;N;1
2021-2022;1119;authentication;N;2
2021-2022;1119;application;Y;3
2021-2022;1119;decision;N;4
2021-2022;1119;issuance;N;5
2021-2022;1119;feedback;N;6
2021-2022;1120;registration;;1
2021-2022;1120;authentication;;2
2021-2022;1120;application;Y;3
2021-2022;1120;decision;Y;4
2021-2022;1120;issuance;Y;5
2021-2022;1120;feedback;Y;6
2022-2023;1121;registration;;1
2022-2023;1121;authentication;;2
2022-2023;1121;application;;3
2022-2023;1121;decision;;4
2022-2023;1121;issuance;;5
2022-2023;1121;feedback;;6
2022-2023;1122;registration;;1
2022-2023;1122;authentication;;2
2022-2023;1122;application;;3
2022-2023;1122;decision;;4
2022-2023;1122;issuance;;5
2022-2023;1122;feedback;;6
2022-2023;1123;registration;;1
2022-2023;1123;authentication;;2
2022-2023;1123;application;;3
2022-2023;1123;decision;;4
2022-2023;1123;issuance;;5
2022-2023;1123;feedback;;6
2018-2019;1126;registration;N;1
2018-2019;1126;authentication;N;2
2018-2019;1126;application;N;3
2018-2019;1126;decision;N;4
2018-2019;1126;issuance;N;5
2018-2019;1126;feedback;;6
2018-2019;1127;registration;N;1
2018-2019;1127;authentication;N;2
2018-2019;1127;application;N;3
2018-2019;1127;decision;N;4
2018-2019;1127;issuance;N;5
2018-2019;1127;feedback;N;6
2018-2019;1128;registration;N;1
2018-2019;1128;authentication;N;2
2018-2019;1128;application;N;3
2018-2019;1128;decision;N;4
2018-2019;1128;issuance;N;5
2018-2019;1128;feedback;N;6
2022-2023;1129;registration;Y;1
2022-2023;1129;authentication;N;2
2022-2023;1129;application;N;3
2022-2023;1129;decision;N;4
2022-2023;1129;issuance;N;5
2022-2023;1129;feedback;N;6
2022-2023;1130;registration;;1
2022-2023;1130;authentication;;2
2022-2023;1130;application;;3
2022-2023;1130;decision;;4
2022-2023;1130;issuance;;5
2022-2023;1130;feedback;;6
2019-2020;1131;registration;;1
2019-2020;1131;authentication;;2
2019-2020;1131;application;;3
2019-2020;1131;decision;;4
2019-2020;1131;issuance;;5
2019-2020;1131;feedback;;6
2022-2023;1132;registration;;1
2022-2023;1132;authentication;N;2
2022-2023;1132;application;N;3
2022-2023;1132;decision;N;4
2022-2023;1132;issuance;N;5
2022-2023;1132;feedback;N;6
2022-2023;1133;registration;;1
2022-2023;1133;authentication;;2
2022-2023;1133;application;;3
2022-2023;1133;decision;;4
2022-2023;1133;issuance;;5
2022-2023;1133;feedback;N;6
2022-2023;1134;registration;Y;1
2022-2023;1134;authentication;Y;2
2022-2023;1134;application;;3
2022-2023;1134;decision;;4
2022-2023;1134;issuance;;5
2022-2023;1134;feedback;N;6
2022-2023;1135;registration;Y;1
2022-2023;1135;authentication;Y;2
2022-2023;1135;application;N;3
2022-2023;1135;decision;;4
2022-2023;1135;issuance;;5
2022-2023;1135;feedback;Y;6
2022-2023;1136;registration;;1
2022-2023;1136;authentication;;2
2022-2023;1136;application;;3
2022-2023;1136;decision;;4
2022-2023;1136;issuance;;5
2022-2023;1136;feedback;N;6
2022-2023;1137;registration;;1
2022-2023;1137;authentication;;2
2022-2023;1137;application;Y;3
2022-2023;1137;decision;N;4
2022-2023;1137;issuance;N;5
2022-2023;1137;feedback;N;6
2022-2023;1138;registration;;1
2022-2023;1138;authentication;;2
2022-2023;1138;application;;3
2022-2023;1138;decision;;4
2022-2023;1138;issuance;;5
2022-2023;1138;feedback;N;6
2022-2023;1139;registration;;1
2022-2023;1139;authentication;;2
2022-2023;1139;application;;3
2022-2023;1139;decision;;4
2022-2023;1139;issuance;;5
2022-2023;1139;feedback;;6
2018-2019;1140;registration;;1
2018-2019;1140;authentication;;2
2018-2019;1140;application;;3
2018-2019;1140;decision;;4
2018-2019;1140;issuance;;5
2018-2019;1140;feedback;;6
2022-2023;1141;registration;;1
2022-2023;1141;authentication;;2
2022-2023;1141;application;;3
2022-2023;1141;decision;;4
2022-2023;1141;issuance;;5
2022-2023;1141;feedback;;6
2022-2023;1142;registration;;1
2022-2023;1142;authentication;;2
2022-2023;1142;application;;3
2022-2023;1142;decision;;4
2022-2023;1142;issuance;;5
2022-2023;1142;feedback;;6
2022-2023;1143;registration;;1
2022-2023;1143;authentication;;2
2022-2023;1143;application;;3
2022-2023;1143;decision;;4
2022-2023;1143;issuance;;5
2022-2023;1143;feedback;;6
2022-2023;1144;registration;;1
2022-2023;1144;authentication;;2
2022-2023;1144;application;;3
2022-2023;1144;decision;;4
2022-2023;1144;issuance;;5
2022-2023;1144;feedback;Y;6
2018-2019;1145;registration;N;1
2018-2019;1145;authentication;N;2
2018-2019;1145;application;N;3
2018-2019;1145;decision;N;4
2018-2019;1145;issuance;N;5
2018-2019;1145;feedback;N;6
2022-2023;1146;registration;Y;1
2022-2023;1146;authentication;Y;2
2022-2023;1146;application;Y;3
2022-2023;1146;decision;N;4
2022-2023;1146;issuance;N;5
2022-2023;1146;feedback;N;6
2022-2023;1147;registration;;1
2022-2023;1147;authentication;Y;2
2022-2023;1147;application;;3
2022-2023;1147;decision;;4
2022-2023;1147;issuance;;5
2022-2023;1147;feedback;;6
2018-2019;1148;registration;N;1
2018-2019;1148;authentication;N;2
2018-2019;1148;application;N;3
2018-2019;1148;decision;N;4
2018-2019;1148;issuance;N;5
2018-2019;1148;feedback;N;6
2022-2023;1149;registration;;1
2022-2023;1149;authentication;;2
2022-2023;1149;application;;3
2022-2023;1149;decision;;4
2022-2023;1149;issuance;Y;5
2022-2023;1149;feedback;Y;6
2018-2019;1150;registration;;1
2018-2019;1150;authentication;;2
2018-2019;1150;application;;3
2018-2019;1150;decision;;4
2018-2019;1150;issuance;;5
2018-2019;1150;feedback;;6
2018-2019;1151;registration;N;1
2018-2019;1151;authentication;N;2
2018-2019;1151;application;N;3
2018-2019;1151;decision;N;4
2018-2019;1151;issuance;N;5
2018-2019;1151;feedback;N;6
2022-2023;1153;registration;N;1
2022-2023;1153;authentication;N;2
2022-2023;1153;application;N;3
2022-2023;1153;decision;N;4
2022-2023;1153;issuance;N;5
2022-2023;1153;feedback;N;6
2022-2023;1154;registration;Y;1
2022-2023;1154;authentication;Y;2
2022-2023;1154;application;Y;3
2022-2023;1154;decision;Y;4
2022-2023;1154;issuance;Y;5
2022-2023;1154;feedback;Y;6
2022-2023;1155;registration;Y;1
2022-2023;1155;authentication;Y;2
2022-2023;1155;application;Y;3
2022-2023;1155;decision;Y;4
2022-2023;1155;issuance;Y;5
2022-2023;1155;feedback;Y;6
2019-2020;1156;registration;N;1
2019-2020;1156;authentication;N;2
2019-2020;1156;application;N;3
2019-2020;1156;decision;N;4
2019-2020;1156;issuance;N;5
2019-2020;1156;feedback;N;6
2022-2023;1157;registration;;1
2022-2023;1157;authentication;;2
2022-2023;1157;application;N;3
2022-2023;1157;decision;;4
2022-2023;1157;issuance;;5
2022-2023;1157;feedback;N;6
2022-2023;1158;registration;;1
2022-2023;1158;authentication;;2
2022-2023;1158;application;;3
2022-2023;1158;decision;;4
2022-2023;1158;issuance;;5
2022-2023;1158;feedback;;6
2018-2019;1159;registration;N;1
2018-2019;1159;authentication;N;2
2018-2019;1159;application;N;3
2018-2019;1159;decision;N;4
2018-2019;1159;issuance;N;5
2018-2019;1159;feedback;N;6
2022-2023;1160;registration;Y;1
2022-2023;1160;authentication;Y;2
2022-2023;1160;application;Y;3
2022-2023;1160;decision;Y;4
2022-2023;1160;issuance;Y;5
2022-2023;1160;feedback;Y;6
2022-2023;1161;registration;Y;1
2022-2023;1161;authentication;Y;2
2022-2023;1161;application;;3
2022-2023;1161;decision;Y;4
2022-2023;1161;issuance;Y;5
2022-2023;1161;feedback;Y;6
2022-2023;1162;registration;Y;1
2022-2023;1162;authentication;Y;2
2022-2023;1162;application;Y;3
2022-2023;1162;decision;Y;4
2022-2023;1162;issuance;Y;5
2022-2023;1162;feedback;Y;6
2022-2023;1163;registration;;1
2022-2023;1163;authentication;;2
2022-2023;1163;application;;3
2022-2023;1163;decision;;4
2022-2023;1163;issuance;;5
2022-2023;1163;feedback;;6
2022-2023;1164;registration;;1
2022-2023;1164;authentication;;2
2022-2023;1164;application;;3
2022-2023;1164;decision;;4
2022-2023;1164;issuance;;5
2022-2023;1164;feedback;;6
2022-2023;1165;registration;;1
2022-2023;1165;authentication;;2
2022-2023;1165;application;;3
2022-2023;1165;decision;;4
2022-2023;1165;issuance;;5
2022-2023;1165;feedback;;6
2022-2023;1166;registration;;1
2022-2023;1166;authentication;;2
2022-2023;1166;application;N;3
2022-2023;1166;decision;Y;4
2022-2023;1166;issuance;;5
2022-2023;1166;feedback;Y;6
2018-2019;1167;registration;;1
2018-2019;1167;authentication;;2
2018-2019;1167;application;;3
2018-2019;1167;decision;;4
2018-2019;1167;issuance;;5
2018-2019;1167;feedback;;6
2022-2023;1172;registration;Y;1
2022-2023;1172;authentication;Y;2
