"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP11","Return of Payments",,-25522294.45,,,,0.00,,,,"The $25.5 million is related to a return of funding from statutory grant and contribution programs that have expired and are not included in the current Program Inventory, of which $25.3 million relates to the Hog Industry Loan Loss Reserve program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS01","Management and Oversight Services - Department of Agriculture and Agri-Food",40241449.00,41578455.08,39599338.00,39618377.00,297.00,294.00,297.00,297.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS02","Communications Services - Department of Agriculture and Agri-Food",12459984.00,12506256.02,12261168.00,12267062.00,97.00,92.00,97.00,97.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS03","Legal Service - Department of Agriculture and Agri-Food",3787099.00,3203696.12,3726670.00,3728462.00,6.00,6.00,6.00,6.00,,"Actual spending was less than planned spending primarily due to a realignment among programs."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS04","Human Resources Management Services - Department of Agriculture and Agri-Food",22588069.00,22163850.91,22227645.00,22238331.00,204.00,190.00,204.00,204.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS05","Financial Management Services - Department of Agriculture and Agri-Food",25016689.00,11276872.51,24617512.00,24629348.00,192.00,188.00,192.00,192.00,,"Actual spending was less than planned spending primarily due to a realignment among programs."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS06","Information Management Services - Department of Agriculture and Agri-Food",19635937.00,24010756.30,19322617.00,19331907.00,128.00,124.00,128.00,128.00,,"Actual spending was more than planned spending primarily due to amounts carried forward from 2017-18 for investment in Information Management, and a realignment among programs."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS07","Information Technology Management Services - Department of Agriculture and Agri-Food",21009697.00,43483131.84,20674458.00,20684397.00,152.00,171.00,152.00,152.00,,"Actual spending was more than planned spending primarily due to amounts carried forward from 2017-18 for investment in Information Technology, and a realignment among programs. 

Increase in full-time equivalents is primarily due to the shift from operating contractors/professional services to full-time equivalents for Information Technology support."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS08","Real Property Management Services - Department of Agriculture and Agri-Food",5107727.00,10747261.94,5026226.00,5028642.00,46.00,42.00,46.00,46.00,,"Actual spending was more than planned spending primarily due to increased accommodations and security costs."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS09","Materiel Management Services - Department of Agriculture and Agri-Food",272059.00,253665.17,267718.00,267846.00,2.00,1.00,2.00,2.00,,"Actual full-time equivalents were lower than planned primarily due to a realignment among programs in response to shifting priorities."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Internal Services","ISS0Z","Acquisition Management Services - Department of Agriculture and Agri-Food",1408060.00,1598280.40,1385593.00,1386259.00,16.00,16.00,16.00,16.00,,"Actual spending was more than planned spending primarily due to amounts carried forward from 2017-18 and a realignment among programs."
"FY 2018-19",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED01","Inclusive Communities",26882474.00,38934704.33,26785895.00,26785895.00,32.00,39.00,32.00,32.00,,
"FY 2018-19",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED02","Diversified Communities",70434817.00,58179725.77,70387003.00,70387003.00,84.00,71.00,84.00,84.00,,
"FY 2018-19",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED03","Research and Development and Commercialisation",60369924.00,59981940.39,42834886.00,42834886.00,38.00,56.00,38.00,38.00,,
"FY 2018-19",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED04","Innovation Ecosystem",60369924.00,47434874.40,42834886.00,42834886.00,38.00,15.00,38.00,38.00,,
"FY 2018-19",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED05","Business Growth",47309476.00,85160406.47,46847354.00,46847354.00,78.00,92.00,78.00,78.00,,
"FY 2018-19",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED06","Trade and Investment",23803837.00,19784891.53,23935924.00,23859924.00,53.00,40.00,53.00,53.00,,
"FY 2018-19",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED07","Policy Research and Engagement",11270588.00,13877883.38,10813625.00,10813625.00,68.00,65.00,68.00,68.00,,
"FY 2018-19",12,"Atlantic Canada Opportunities Agency","Internal Services","ISS00","Internal Services - Atlantic Canada Opportunities Agency",26917122.00,26243126.20,26820622.00,26927958.00,199.00,194.00,199.00,199.00,,
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF01","Targeting",81791182.00,75763544.23,81779566.00,81782310.00,338.00,321.00,338.00,338.00,,
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF02","Intelligence Collection and Analysis",75739388.00,89866425.79,75604744.00,75438003.00,659.00,575.00,659.00,659.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF03","Security Screening",9538462.00,14350701.17,9538387.00,9539350.00,102.00,130.00,102.00,102.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF04","Traveller Facilitation and Compliance",512555202.00,703249004.13,488649856.00,480215241.00,5035.00,4836.00,5035.00,5015.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF05","Commercial-Trade Facilitation and Compliance",307353288.00,402884168.00,272835586.00,271513705.00,2935.00,3129.00,2903.00,2905.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF06","Anti-Dumping and Countervailing",4758377.00,7592138.14,4758198.00,4758777.00,50.00,74.00,50.00,50.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF07","Trusted Traveller",14633811.00,19560983.02,14618248.00,14620812.00,245.00,259.00,245.00,245.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF08","Trusted Trader",14076703.00,13486313.73,14074304.00,14075264.00,120.00,96.00,120.00,120.00,,"Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF09","Recourse",10779641.00,14856236.17,10643066.00,10645151.00,119.00,120.00,118.00,118.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF10","Force Generation",42655450.00,62284639.91,42235277.00,42242238.00,308.00,376.00,306.00,306.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF11","Buildings and Equipment",160618432.00,120347771.19,111479990.00,94420062.00,225.00,90.00,223.00,223.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Border Management","BUF12","Field Technology Support",44711553.00,28355591.21,47606570.00,36969627.00,121.00,122.00,121.00,121.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Border Enforcement","BUG01","Immigration Investigations",43150364.00,59953129.24,43275973.00,43513404.00,433.00,493.00,436.00,436.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Border Enforcement","BUG02","Detentions",50535504.00,65259045.00,48473019.00,49038338.00,133.00,128.00,128.00,130.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Border Enforcement","BUG03","Hearings",27238208.00,37340859.89,27072295.00,27069653.00,280.00,336.00,280.00,279.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Border Enforcement","BUG04","Removals",35026653.00,42297978.46,36049203.00,36679170.00,278.00,281.00,280.00,280.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Border Enforcement","BUG05","Criminal Investigations",39140805.00,41750123.53,38609479.00,38075522.00,381.00,303.00,385.00,384.00,,"Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Internal Services","ISS01","Management and Oversight Services - Canada Border Services Agency",65929662.00,69961121.47,66002999.00,65932819.00,614.00,563.00,616.00,615.00,,
"FY 2018-19",26,"Canada Border Services Agency","Internal Services","ISS02","Communications Services - Canada Border Services Agency",9810900.00,11539716.34,9524994.00,9501087.00,104.00,110.00,101.00,100.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Internal Services","ISS03","Legal Service - Canada Border Services Agency",23777758.00,18789183.47,23652508.00,23171312.00,19.00,9.00,19.00,19.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Internal Services","ISS04","Human Resources Management Services - Canada Border Services Agency",59087353.00,61895746.93,59078812.00,59040107.00,603.00,610.00,603.00,603.00,,
"FY 2018-19",26,"Canada Border Services Agency","Internal Services","ISS05","Financial Management Services - Canada Border Services Agency",23060732.00,26633200.88,23130283.00,23086524.00,234.00,236.00,234.00,234.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
"FY 2018-19",26,"Canada Border Services Agency","Internal Services","ISS06","Information Management Services - Canada Border Services Agency",9031549.00,6135970.96,9014016.00,9015305.00,68.00,56.00,68.00,68.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
"FY 2018-19",26,"Canada Border Services Agency","Internal Services","ISS07","Information Technology Management Services - Canada Border Services Agency",112523741.00,125664491.73,111954699.00,111136750.00,418.00,439.00,419.00,419.00,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
